gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Dctn6	0.44	0.41	0.41	0.61	1.0	-778.29474	-759.7416	-767.1732	-771.1616	0.0	-3.0978737	-9.657483221286949	4.276288457227997	0.35909090909090907	316
Pknox2	0.48	0.39	0.39	0.55	1.0	-219.61838	-212.23628	-219.16597	-213.35239	0.0	-2.7212853	-11.762416543254549	5.165061733610493	0.07045454545454545	62
Trim34a	0.41	0.48	0.41	0.54	1.0	-383.7153	-376.95663	-380.1573	-380.61407	0.0	-1.3468456	-11.036988964189753	3.2117745321771243	0.14204545454545456	125
Zc3h18	0.4	0.4	0.4	0.5	1.0	-526.89197	-513.8299	-526.3011	-514.0684	0.0	-5.5691957	-10.4658702331181	3.8083715221887764	0.21022727272727273	185
Inca1	0.1999999999999999	0.4599999999999999	0.1999999999999999	0.68	0.9599999999999996	-41.95112	-39.323658	-40.72578	-40.908237	0.0	-0.45291746	-14.152681717064723	6.261623740076559	0.007954545454545454	7
Plac9b	0.2	0.4599999999999999	0.2	0.39	1.0	-419.684	-416.12524	-420.0808	-416.3648	0.0	-1.441503	-10.881871742551787	3.263344530365811	0.1625	143
Asxl3	0.33	0.37	0.33	0.6	1.0	-7.9892526	-7.8478026	-8.186907	-7.6573486	0.0	-0.14414404	-15.995048769000263	3.3725600063609695	0.0011363636363636363	1
Jag2	0.0899999999999999	0.43	0.0899999999999999	0.42	1.0	-316.8937	-310.6452	-314.3891	-312.85538	0.0	-1.7538245	-11.519377941664654	6.217420073396272	0.06818181818181818	60
Pdzd4	0.25	0.36	0.25	0.52	1.0	-79.28609	-77.596664	-79.50835	-77.19442	0.0	-0.9083995	-13.272588571751601	0.2614063400476825	0.017045454545454544	15
Clk2	0.2099999999999999	0.42	0.2099999999999999	0.47	1.0	-293.96524	-290.36328	-293.14062	-291.40753	0.0	-1.1107988	-11.383299484509127	0.1362915516861003	0.1	88
Hcn4	0.3299999999999999	0.49	0.3299999999999999	0.65	1.0	-5.630185	-6.205774	-5.6924047	-6.12391	0.8919026	0.21442196	-15.989502874230077	6.138430873732508	0.0011363636363636363	1
Dcdc2a	0.26	0.38	0.26	0.64	1.0	-147.6942	-142.68011	-147.55293	-143.34248	0.0	-1.8899258	-12.528667185124547	2.9499673671581026	0.03068181818181818	27
