gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.313006	2.5406945	2.6639562	2.5033665
Pknox2	1.4499053	1.5619682	1.7254294	1.3120364
Trim34a	1.6826302	1.9181774	2.0542312	1.7425447
Zc3h18	1.9924825	2.1282082	2.4089463	2.0145886
Inca1	0.47879735	0.5260215	-0.10572277	0.21777745
Plac9b	0.81001717	2.1474426	2.090481	2.0425675
Asxl3	-0.046169862	-0.09938292	0.4808199	-0.04238496
Jag2	1.5769378	1.9137481	0.094675645	1.8043137
Pdzd4	0.6430363	1.034939	0.27396163	0.7977494
Clk2	1.6199735	1.8918473	1.4445182	1.6759362
Hcn4	0.09360342	-0.07207464	-0.07991885	-0.0301104
Dcdc2a	0.80188	1.095163	1.5565253	1.0122644
Utp15	1.6866336	1.6896753	1.5574292	1.5662109
Chaf1a	0.9911725	1.3550676	0.7317213	0.4648614
Smim15	2.3059318	2.6118941	2.5551152	2.017045
Mrps35	1.6540672	2.183114	1.8264731	1.8967282
Klf10	1.7172768	2.8624616	2.9825637	1.95871
Taf12	2.073343	2.32803	2.4880092	1.6947247
Rpl36al	2.9730988	3.0416894	3.146535	3.0964444
Ska1	0.32789597	-0.1876957	0.26020205	-0.11540305
Nynrin	1.8749769	1.8728088	1.6453604	1.3977318
Gm1976	0.8161334	1.1648726	0.25785932	0.20851362
Nedd9	2.0911896	2.0915842	2.8842921	2.4411578
Itga5	2.7765229	2.181711	2.8560786	2.6289055
Bms1	2.2249672	1.8058283	2.5091484	1.8862041
Gata4	0.5512305	0.4821531	0.70393264	-0.39968136
Dusp19	0.98927164	1.603571	1.683173	1.5172762
Gm26901	-0.037438437	-0.09628048	0.25223738	-0.09642399
Zfp280d	2.2042975	2.144412	2.4291697	2.0860727
Psma3	2.758537	2.8340871	2.9118686	2.9166615
1300017J02Rik	0.31520948	0.19719148	0.15498284	0.23930117
D930048N14Rik	0.7028335	0.92153394	0.1788839	0.46555713
mt-Co2	2.9768329	3.181404	3.2085514	3.1768112
Thnsl2	0.40758878	1.041555	1.2928911	0.99623924
Ly96	1.9139373	1.5039147	2.2717519	1.8557594
Txndc17	2.8591042	3.051289	2.7113643	2.8899665
Trabd	2.0162082	2.0614266	2.3713343	2.0366309
Gngt2	1.9530631	2.5886726	2.7597315	2.799273
5730409E04Rik	1.1404523	1.5754185	2.0299985	2.1429534
Crybb1	-0.027265325	-0.07902824	-0.08609443	-0.043715753
Erf	1.91574	2.206871	2.323702	2.0106819
Tmem138	1.5057663	1.6241717	1.0264885	1.4254408
Zfp384	0.5777267	1.8762155	2.1238604	1.3640201
Fbxo10	1.0287788	-0.07148293	1.4132264	1.086936
Gm16933	0.4482514	-0.01737729	0.5027056	0.23272179
Enc1	1.4612696	1.4758877	2.2005577	1.963679
Gm43137	-0.17151052	0.15123548	0.30689391	0.42457458
1700001C19Rik	-0.17861727	0.2912548	0.32924324	0.4599893
Repin1	1.0709002	1.6142709	0.92463315	0.7310553
Slc30a7	1.9001949	2.1184034	2.1184056	1.8347377
Fgl1	0.2527364	0.31680804	0.27310938	0.34239253
Eya1	1.4980185	1.6516927	1.1120483	1.0634753
Impa2	1.3209227	1.5715467	1.3504033	1.253856
Gm30806	-0.016976109	0.2944504	-0.04260107	-0.048052214
Ppib	2.883354	3.1433785	3.183226	3.049879
Nt5dc3	1.5042415	0.6103059	1.569129	1.0505843
Arhgef16	0.018316282	1.2298813	-0.6872794	0.6998074
Timm9	1.80045	1.9718331	2.1012132	2.0691366
Dll4	2.1729748	2.240654	2.0964863	1.5624021
Nmnat2	0.9438872	1.5447475	1.4436103	1.0823678
Wdr73	1.5633818	1.6514834	1.806603	1.0377804
Lmbrd2	2.091297	0.84330255	2.267554	2.0236416
Zfp438	1.1999255	0.6301081	0.8782187	-0.5989691
Gm14486	-0.090475194	-0.15738082	0.45260286	0.36523435
