gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.3875334	2.605404	2.694572	2.4738944
Pknox2	1.4245089	1.8129909	1.8070202	1.34187
Trim34a	1.8434119	2.0830536	2.0884995	1.8984942
Zc3h18	2.114263	2.3569114	2.3928034	2.1340113
Inca1	0.16585666	0.78557724	0.61602324	0.45538116
Plac9b	1.5843014	2.0513282	2.1796706	1.8667074
Asxl3	0.16882189	0.27763253	0.059760004	0.18323438
Jag2	1.6013207	1.7508703	1.3029009	1.5712262
Pdzd4	0.72295433	0.9010738	0.96047807	0.8194891
Clk2	1.5651062	1.8231934	1.895252	1.6756207
Hcn4	-0.39119926	0.23990938	0.27096593	0.15998715
Dcdc2a	1.1970595	1.3144704	1.4397198	1.3317059
Utp15	1.4680246	1.7971021	1.8823391	1.7037297
Chaf1a	1.0532756	1.0386126	1.3007873	1.0539242
Smim15	2.3866856	2.5766644	2.5431995	2.2603943
Mrps35	1.8693815	2.0776362	2.1082344	1.8258066
Klf10	2.1052525	2.7639112	2.7863832	2.2392495
Taf12	2.1215053	2.3806415	2.3420665	2.0836678
Rpl36al	2.999076	3.1293473	3.1521893	3.1055949
Ska1	-0.048221014	0.37133002	0.30849355	0.30096066
Nynrin	1.6032797	1.9412044	2.0014083	1.7608012
Gm1976	0.93297243	0.99434805	0.9485247	0.8797785
Nedd9	2.3484163	2.3913956	2.6596186	2.543933
Itga5	2.68532	2.5468621	2.8369834	2.6665165
Bms1	2.1117246	2.2776554	2.375003	2.152229
Gata4	0.3600767	0.60865134	0.8386157	0.48108852
Dusp19	1.4792578	1.7308159	1.7671674	1.5570139
Gm26901	0.17020437	0.28227034	-0.21946616	0.21076497
Zfp280d	2.0939178	2.3517692	2.415143	2.17247
Psma3	2.8364542	2.9030156	2.97917	2.838071
1300017J02Rik	0.12489521	0.5800923	0.29543447	0.26659197
D930048N14Rik	0.40282887	0.770734	0.87232655	0.79624325
mt-Co2	2.4752483	2.844863	2.982711	3.0311153
Thnsl2	0.95487773	1.185798	1.2460464	1.0595058
Ly96	1.9003279	1.9471319	2.2177489	1.8643492
Txndc17	2.9131281	3.0352802	2.8640065	2.9193206
Trabd	2.0159657	2.2857704	2.318573	2.0172842
Gngt2	2.3593302	2.645784	2.8482559	2.6871285
5730409E04Rik	1.6531336	1.9688714	2.0815864	1.6915655
Crybb1	-0.3190412	0.2700105	0.26470792	0.20044458
Erf	2.0375001	2.327974	2.3060448	2.1069138
Tmem138	1.2910028	1.6855519	1.6841301	1.5453911
Zfp384	1.3836131	1.9156514	1.9751555	1.698413
Fbxo10	1.082573	1.0237697	1.4037188	0.8761491
Gm16933	0.43372825	0.63900554	0.53764963	0.41742682
Enc1	1.7597858	1.871261	2.0370374	1.8108417
Gm43137	0.34751964	0.34413216	0.46388555	0.3904007
1700001C19Rik	0.36717543	0.31010932	0.33552268	0.29773784
Repin1	1.079465	1.3398974	1.4973074	1.2352412
Slc30a7	1.935158	2.2038357	2.2307105	1.9674296
Fgl1	0.09194915	0.51381034	0.52338237	0.39970446
Eya1	1.3330499	1.5759954	1.5125257	1.4012926
Impa2	1.4218059	1.61604	1.6482905	1.3929422
Gm30806	0.15263371	-0.22150487	0.22710092	0.19242509
Ppib	2.938368	3.2166219	3.2270696	3.0337827
Nt5dc3	1.2219945	1.3866267	1.5972127	1.4061037
Arhgef16	0.70000005	0.69115907	0.64470106	0.78506106
Timm9	1.8194696	2.2447147	2.2060027	1.8954917
Dll4	2.044088	2.2750807	2.3243153	1.936338
Nmnat2	1.3349336	1.5855616	1.5327631	1.4546291
Wdr73	1.5502394	1.7639548	1.8111762	1.5773251
Lmbrd2	1.8576523	1.6787193	2.2931478	1.8291676
Zfp438	0.24711855	1.0829897	1.1910785	0.731837
Gm14486	0.26100725	0.36240697	0.4099033	0.03477011
Ift122	1.5391032	1.6814998	1.725353	1.4227545
Morn5	0.17638613	-0.061493974	0.277051	0.19962636
Clcf1	1.1818724	1.4788296	1.4105293	1.1892127
Aspm	0.8644994	0.4147319	0.75986165	0.6234409
Btg3	2.2819753	2.5264435	2.582989	2.3092415
Hist1h4i	0.6212442	0.7577718	0.7360663	0.63038296
Rnf150	-1.178214	0.50150496	0.5454339	0.4069994
Git1	2.2370517	2.5839221	2.4971986	2.330736
Gm42531	0.18713026	-0.15501085	0.28507954	0.19285092
Lhfpl4	0.39781368	0.5310559	0.84720606	-0.15804233
Hnrnpm	2.644971	2.8092577	2.8077652	2.419075
E030013I19Rik	0.39718273	0.49002653	-0.17845827	0.38947192
Slc35b2	2.0001154	2.035389	2.242598	1.883052
Pcdhb8	0.08293894	0.5128267	0.72727984	0.36951908
Hdac8	1.2025702	1.5632507	1.5997562	1.4442168
Rsl1	1.1586547	1.2988001	1.4158635	1.3764824
Nckap5l	1.2605605	1.4921852	1.3763779	1.3200318
Trim41	1.7126772	2.0506496	2.0091422	1.8063127
Zfp628	0.99201536	1.3455571	0.96345955	1.2673864
Gm49544	0.2019034	0.23684023	-0.19507338	0.23120138
BC034090	0.9542606	1.1157405	1.2140914	1.0327138
Gm27003	0.5593071	0.27464527	0.6225326	0.49268255
Gm29488	0.49442592	0.80784535	0.7589559	0.6246766
Acrbp	0.9514111	1.1903529	1.4171544	0.69829035
Gm13594	0.6783313	0.9283683	0.5789348	0.8155314
Gm29358	0.9396881	0.99862367	1.0681164	0.69184214
Hdgfl3	2.3424232	2.7359788	2.7693112	2.5329878
A530032D15Rik	0.33494508	0.60874397	0.43177077	0.52558035
Ung	0.85677695	0.63326263	0.77679026	0.5051783
Arhgap1	2.0374033	2.3743389	2.343191	2.1517222
Gm38190	0.7201958	1.1022238	1.0440435	0.5785483
Gm16751	0.9171544	0.8216709	1.0906647	0.78520834
Pstpip2	0.18619536	0.26132733	-0.15756813	0.18296604
Brd2	2.6119015	2.6163192	2.9939175	2.7935405
Pim1	1.7390007	2.0289502	2.0849566	1.8627793
Gm13822	0.18869503	0.24953422	-0.18330655	0.17398274
Sf3b1	2.8231962	3.0125597	3.027414	2.8490853
Grk4	0.7541237	1.1969496	1.2351152	0.9721874
Sntb2	2.513239	2.607295	2.790104	2.4669049
Foxa2	1.2573892	1.3102928	1.623655	1.2320086
Uqcrc1	2.5545292	2.765724	2.8725266	2.6630602
Qtrt1	1.3866738	1.8465217	1.8796718	1.6281146
Nktr	2.5074832	2.6888714	2.6666894	2.4460766
Rbl1	1.5712844	1.6210277	1.8932408	1.5820352
Dffa	1.225207	1.6701118	1.6440241	1.258378
Ttc21b	1.327909	1.6835881	1.6810975	1.3685976
Rnf19a	2.3620317	2.460573	2.5602913	2.1267266
Fanci	-0.29176438	0.72664523	0.6863731	0.44406718
Lockd	0.7803174	1.0481747	1.1726139	0.8794641
Dnajc7	2.2769558	2.5373087	2.5650928	2.4027467
Vgf	-0.40423802	0.28461146	0.27232134	0.1880283
Comp	0.8671231	2.0143857	1.732179	1.3563446
Abl1	1.696589	2.0044708	2.0268981	1.8866584
Hbb-bs	1.0781404	1.0378805	1.2899685	0.9392049
Cdkl1	0.26856485	0.17846817	0.35369852	-0.31405088
Oas1c	0.70235306	1.3087999	1.1971723	0.83876896
Kif21a	0.7458793	1.1243296	1.0449648	0.8761879
Ssbp4	2.3678882	2.787736	2.6111152	2.553437
Vipr2	1.51181	1.8618346	1.7982576	1.6389798
Tusc2	1.9415874	2.3021042	2.1205475	2.0267103
Mrpl3	1.7965363	2.207519	2.15815	2.047263
Npc1	1.8508248	2.2246466	2.1623628	1.9540508
Cabp4	0.1647314	0.2461394	0.2642607	-0.3327672
Gm12043	0.32338664	0.11335925	0.3019644	0.30387598
2810457G06Rik	0.054210905	0.4931799	0.4916492	0.00631107
Gm15927	0.33576146	0.14163637	0.3582732	0.37397102
Slc24a5	1.5258293	1.7502455	1.7556007	1.567487
Csde1	2.8507762	2.985154	3.1633403	2.9470232
Etv5	0.0662459	0.4140906	0.61257833	0.5168984
Fbxw7	2.0141692	2.287968	2.3196723	2.04423
1700125G22Rik	0.28321677	0.39797568	0.1838541	-0.0053643677
Ccdc163	1.1352103	1.1005651	1.5303978	1.4764277
Plbd2	2.423391	2.6350102	2.7351785	2.4931357
Brpf1	1.669026	1.9586277	1.9951776	1.6262616
Zfp9	1.4053442	1.6216067	1.6587201	1.4497188
Gm10553	0.18280892	-0.35538045	0.2616369	0.16521336
Cbfb	2.0244718	2.3991508	2.3500066	2.103221
9230102K24Rik	0.18128249	0.25234702	0.2667358	-0.42608073
Gm42595	0.7937898	1.0489397	1.1333628	0.81448907
Gab1	1.9200418	2.0720644	2.1460552	1.9458579
Pkd2l2	-0.509048	0.4054059	0.5114646	0.34889576
Gm48914	0.34855825	0.46215314	0.037457455	0.39806098
Specc1l	2.1885922	2.3430257	2.5401075	2.1480322
Ntan1	2.5513651	2.7253258	2.670898	2.5254536
Josd1	1.7588328	2.1627483	2.181104	1.8802749
Cul1	2.4787133	2.7854958	2.6988056	2.426425
Sh3tc1	0.8888036	1.6367376	1.4459845	1.2583487
