gene	log_min	log_max
Dctn6	-11.354131	-7.900253
Pknox2	-13.41689	-9.963012
Trim34a	-12.652791	-9.198913
Zc3h18	-12.095134	-8.641255
Inca1	-15.690488	-12.236609
Plac9b	-12.488903	-9.035025
Asxl3	-17.636396	-14.182519
Jag2	-13.093102	-9.639224
Pdzd4	-14.863809	-11.40993
Clk2	-13.041278	-9.5873995
Hcn4	-17.636396	-14.182519
Dcdc2a	-14.08105	-10.6271715
Utp15	-13.136588	-9.68271
Chaf1a	-14.378301	-10.924422
Smim15	-11.572613	-8.118734
Mrps35	-12.580152	-9.126273
Klf10	-11.127628	-7.6737504
Taf12	-12.030596	-8.576717
Rpl36al	-9.308913	-5.8550353
Ska1	-16.94325	-13.489372
Nynrin	-12.865713	-9.411835
Gm1976	-14.863809	-11.40993
Nedd9	-11.335612	-7.8817344
Itga5	-10.7206745	-7.2667966
Bms1	-11.987423	-8.533545
Gata4	-15.844638	-12.390759
Dusp19	-13.359732	-9.905853
Gm26901	-17.636396	-14.182519
Zfp280d	-12.034279	-8.5804
Psma3	-10.198603	-6.7447248
1300017J02Rik	-16.250103	-12.796225
D930048N14Rik	-15.071448	-11.61757
mt-Co2	-7.1396933	-3.6858158
Thnsl2	-14.2352	-10.781322
Ly96	-12.449012	-8.995133
Txndc17	-10.02604	-6.572162
Trabd	-12.251903	-8.798024
Gngt2	-10.738692	-7.2848144
5730409E04Rik	-12.680571	-9.226692
Crybb1	-17.636396	-14.182519
Erf	-12.220297	-8.766418
Tmem138	-13.373717	-9.919839
Zfp384	-12.992006	-9.538128
Fbxo10	-14.2352	-10.781322
Gm16933	-16.026958	-12.573081
Enc1	-12.639185	-9.185307
Gm43137	-16.537785	-13.083907
1700001C19Rik	-16.537785	-13.083907
Repin1	-13.972836	-10.518957
Slc30a7	-12.506499	-9.052621
Fgl1	-16.250103	-12.796225
Eya1	-13.575954	-10.122076
Impa2	-13.575954	-10.122076
Gm30806	-17.636396	-14.182519
Ppib	-9.3316555	-5.8777776
Nt5dc3	-13.542053	-10.088175
Arhgef16	-15.071448	-11.61757
Timm9	-12.483106	-9.029227
Dll4	-12.211448	-8.757569
Nmnat2	-13.542053	-10.088175
Wdr73	-13.217557	-9.763679
Lmbrd2	-12.363398	-8.909519
Zfp438	-14.545355	-11.091476
Gm14486	-16.94325	-13.489372
Ift122	-13.332333	-9.878454
Morn5	-17.636396	-14.182519
Clcf1	-13.875197	-10.421319
Aspm	-15.071448	-11.61757
Btg3	-11.677973	-8.224094
Hist1h4i	-15.556956	-12.103078
Rnf150	-16.250103	-12.796225
Git1	-11.714819	-8.260941
Gm42531	-17.636396	-14.182519
Lhfpl4	-16.026958	-12.573081
Hnrnpm	-10.884128	-7.4302497
E030013I19Rik	-16.250103	-12.796225
Slc35b2	-12.34813	-8.894252
Pcdhb8	-16.250103	-12.796225
Hdac8	-13.593347	-10.139468
Rsl1	-13.947518	-10.49364
Nckap5l	-13.78625	-10.332372
Trim41	-12.659664	-9.205786
Zfp628	-14.202411	-10.748532
Gm49544	-17.636396	-14.182519
BC034090	-14.417521	-10.963643
Gm27003	-15.844638	-12.390759
Gm29488	-15.2385025	-11.784624
Acrbp	-14.110037	-10.656158
Gm13594	-14.99734	-11.543462
Gm29358	-14.8031845	-11.349306
Hdgfl3	-11.251204	-7.7973256
A530032D15Rik	-16.026958	-12.573081
Ung	-15.071448	-11.61757
Arhgap1	-12.083438	-8.6295595
Gm38190	-14.863809	-11.40993
Gm16751	-14.8031845	-11.349306
Pstpip2	-17.636396	-14.182519
Brd2	-10.4182205	-6.9643426
Pim1	-12.666584	-9.212706
Gm13822	-17.636396	-14.182519
Sf3b1	-10.246216	-6.792338
Grk4	-14.591875	-11.137997
Sntb2	-11.179628	-7.7257504
Foxa2	-13.875197	-10.421319
Uqcrc1	-10.9405985	-7.4867206
Qtrt1	-13.26695	-9.813071
Nktr	-11.195451	-7.741573
Rbl1	-13.147761	-9.693883
Dffa	-13.593347	-10.139468
Ttc21b	-13.525524	-10.071646
Rnf19a	-11.574941	-8.121062
Fanci	-16.026958	-12.573081
Lockd	-14.378301	-10.924422
Dnajc7	-11.615375	-8.161496
Vgf	-17.636396	-14.182519
Comp	-12.982437	-9.528559
Abl1	-12.592973	-9.139094
Hbb-bs	-14.08105	-10.6271715
Cdkl1	-16.94325	-13.489372
Oas1c	-14.4583435	-11.004465
Kif21a	-14.640665	-11.186787
Ssbp4	-11.055758	-7.6018806
Vipr2	-13.254371	-9.800492
Tusc2	-12.265759	-8.811881
Mrpl3	-12.318277	-8.864399
Npc1	-12.44344	-8.989562
Cabp4	-17.636396	-14.182519
Gm12043	-16.94325	-13.489372
2810457G06Rik	-15.844638	-12.390759
Gm15927	-16.537785	-13.083907
Slc24a5	-13.205581	-9.751702
Csde1	-9.929785	-6.475907
Etv5	-15.844638	-12.390759
Fbxw7	-12.247326	-8.7934475
1700125G22Rik	-16.94325	-13.489372
Ccdc163	-13.666105	-10.212227
Plbd2	-11.2716465	-7.8177686
Brpf1	-12.891465	-9.437587
Zfp9	-13.305664	-9.851786
Gm10553	-17.636396	-14.182519
Cbfb	-12.143336	-8.689458
9230102K24Rik	-17.636396	-14.182519
Gm42595	-14.8031845	-11.349306
Gab1	-12.580152	-9.126273
Pkd2l2	-16.537785	-13.083907
Gm48914	-16.537785	-13.083907
Specc1l	-11.91937	-8.465491
Ntan1	-11.031099	-7.5772214
Josd1	-12.542647	-9.088769
Cul1	-11.229518	-7.77564
Sh3tc1	-13.542053	-10.088175
Ggps1	-11.868076	-8.414198
Hectd1	-11.066916	-7.6130385
Fads2	-11.319233	-7.865355
Ralbp1	-10.306648	-6.8527703
Plekhm2	-12.917899	-9.464021
Myl12b	-9.344851	-5.890973
Smg5	-13.093102	-9.639224
Fam107b	-13.193747	-9.739868
A430018G15Rik	-13.922826	-10.468947
Vash2	-16.537785	-13.083907
Snrpb2	-11.485795	-8.031917
Ints7	-13.359732	-9.905853
Pax1	-16.537785	-13.083907
Tmc7	-13.26695	-9.813071
Pcdhga5	-14.500903	-11.047025
Gm4117	-14.2352	-10.781322
0610009L18Rik	-13.898728	-10.44485
Capsl	-17.636396	-14.182519
Zbtb8a	-14.052878	-10.599
Xiap	-10.70395	-7.250072
Six3	-14.8031845	-11.349306
1700001J03Rik	-17.636396	-14.182519
Ilvbl	-13.217557	-9.763679
Gm17055	-17.636396	-14.182519
