gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Dctn6	0.44	0.13	0.13	0.62	1.0	-546.51807	-532.77673	-530.595	-558.46716	0.0	5.189427	-9.758959771051458	1.62820539558866	0.37755102040816324	222
Pknox2	0.17	0.28	0.17	0.62	1.0	-178.49895	-169.27722	-176.94696	-168.03865	0.0	-4.542849	-11.74962443890966	2.5517145633262586	0.07993197278911565	47
Trim34a	0.42	0.16	0.16	0.61	1.0	-260.77728	-257.2502	-262.15112	-262.65912	0.0	0.81727093	-11.122414431770736	1.6752521476919107	0.14625850340136054	86
Zc3h18	0.49	0.36	0.36	0.62	1.0	-350.5862	-342.6805	-351.86456	-343.43677	0.0	-3.1049643	-10.606258781414656	2.259083353983005	0.21428571428571427	126
Inca1	0.35	0.39	0.35	0.64	1.0	-17.774311	-17.381607	-18.168184	-17.290861	0.0	-0.20995964	-14.550480119824448	3.026181821233133	0.00510204081632653	3
Plac9b	0.25	0.05	0.05	0.74	0.7799999999999999	-267.53036	-268.03857	-267.7535	-267.97433	0.56091994	0.1928136	-11.162796646477487	1.1577603425810779	0.14625850340136054	86
Asxl3	0.39	0.37	0.37	0.66	1.0	-8.275172	-8.010345	-8.082647	-8.09795	0.0	-0.07696664	-15.575480761977175	1.5781639426858067	0.0017006802721088435	1
Jag2	0.4	0.1899999999999999	0.1899999999999999	0.44	1.0	-228.75276	-228.7559	-231.62582	-227.10764	0.0	-0.71446925	-11.550532683939702	4.368589997103769	0.06292517006802721	37
Pdzd4	0.25	0.41	0.25	0.57	1.0	-69.57928	-69.62405	-69.02188	-70.08038	1.0	0.21762767	-12.857685069153263	3.328446290498289	0.025510204081632654	15
Clk2	0.5	0.26	0.26	0.65	1.0	-253.22295	-245.69702	-246.29312	-254.32858	0.0	0.48017186	-11.082100645484715	1.4956696551945585	0.13095238095238096	77
