gene	bin_0	bin_1	bin_2	bin_3
Dctn6	1.5439183	2.8618386	1.8366219	1.3390219
Pknox2	-0.26913607	2.0092876	0.9252995	0.8916223
Trim34a	0.9782059	2.3570876	1.108887	0.5162706
Zc3h18	1.0446903	2.3834977	1.3279375	1.6849136
Inca1	-0.06508882	0.26717332	0.34229213	-0.19125094
Plac9b	0.991367	2.4704716	0.5659769	0.19747892
Asxl3	-0.028516248	0.463339	-0.012386847	-0.035779674
Jag2	0.10989989	1.7399437	0.6075756	1.6493039
Pdzd4	0.2226925	0.96468145	0.81489366	0.53547406
Clk2	1.0824232	2.2212727	1.2124801	1.052501
Dcdc2a	0.20451267	1.218465	-0.35809183	0.35027778
Utp15	0.660272	1.9067597	0.5262762	1.3756446
Chaf1a	-0.08922202	1.2358329	-0.32475907	0.12846236
Smim15	1.4023575	2.6202724	1.8040773	2.1629808
Mrps35	0.8302846	2.1379025	1.2482157	1.7979649
Klf10	1.6122582	2.5933158	2.1867821	2.3611913
Taf12	1.5811846	2.2570467	1.3629274	1.9593221
Rpl36al	2.3870819	3.3133128	2.1184487	2.7601073
Ska1	-0.22747836	1.1444039	-0.33284327	-0.84040105
Nynrin	0.54669803	2.1362965	1.1848898	0.84270185
Gm1976	-0.29334033	1.4014162	0.6006203	0.038732708
Nedd9	-0.16629557	2.8547933	2.1176422	1.8226702
Itga5	1.506361	3.0189955	2.318312	2.575652
Bms1	1.3766235	2.4373615	1.577206	2.075663
Gata4	-0.074320726	0.3994821	0.13475634	0.21861084
Dusp19	1.0388237	2.013044	1.0010724	1.4450201
Gm26901	-0.0005598564	0.42674863	-0.0107321115	-0.06470907
Zfp280d	1.8185415	2.4543865	1.6033806	1.9224778
Psma3	1.7914016	3.2722766	1.7188886	2.4787717
1300017J02Rik	-0.03414862	0.14006677	0.2586768	0.35249257
D930048N14Rik	0.28594634	-0.48251736	0.26244962	0.36376888
mt-Co2	2.5643106	3.3146708	2.206842	3.0891507
Thnsl2	0.45064712	1.3251412	0.6257305	0.38435537
Msi1	-0.023089018	-0.2121087	-0.013276313	0.12964472
Ly96	-1.2066405	2.4275541	0.8164932	1.0161028
Txndc17	2.1153116	3.2944837	2.161972	2.5996985
Trabd	0.9095804	2.4368534	1.1096166	1.8270159
Gngt2	2.0355556	2.85774	1.9082296	2.5752118
5730409E04Rik	0.3438329	2.145428	0.6477725	1.4516234
Erf	0.8334815	2.2748454	1.7666111	2.134477
Tmem138	-1.1592019	2.0101283	1.2129217	1.1070473
Zfp384	0.66664654	1.9336004	0.350892	1.3200454
Fbxo10	-0.48508236	1.0481048	0.50553393	0.9233462
Gm16933	-0.015090846	0.36811253	0.006189553	-0.06596013
Enc1	0.4908136	2.011429	1.1602975	0.96392906
Gm43137	-0.00857156	0.32035008	0.0040001804	-0.03540504
1700001C19Rik	-0.050584625	0.038560946	-0.083001584	0.53112656
Repin1	0.6214066	0.96106017	0.2046198	1.1177548
Slc30a7	1.2522576	2.2387516	1.3466944	1.8223388
Fgl1	-0.012737871	0.62801427	-0.006668035	-0.072839804
Eya1	0.81411093	1.6979556	0.6998984	1.4358383
Impa2	0.71442294	1.374811	0.7427321	0.75554526
Ppib	2.406632	3.3981369	2.107831	2.2562542
Nt5dc3	0.850683	1.6841432	1.201157	1.1837147
Arhgef16	-0.18057443	0.84111696	-0.247321	0.4920445
Timm9	1.580167	2.0281627	0.21596916	2.0086894
Dll4	1.0833938	2.1686077	1.5514016	1.7389655
Nmnat2	0.03964232	1.816025	-0.9847511	-0.59134567
Wdr73	0.29034543	1.9724431	0.78530693	1.3982114
Lmbrd2	0.7393041	2.2847679	1.6872463	1.1683483
Zfp438	-0.27822876	1.4778665	0.24575546	0.6637721
Ift122	0.531366	1.8529056	0.5850507	1.2462955
Morn5	-0.05199939	0.5029756	-0.053609803	-0.09587057
Clcf1	0.1695622	1.3995157	0.044304464	1.2501274
Aspm	-0.18437871	1.1357983	-0.39301035	-0.8973043
Btg3	1.1743437	2.339974	1.739717	2.1622782
Hist1h4i	-0.060220156	1.098447	-0.28452843	0.5470464
Rnf150	0.35343176	0.9211451	-0.17481531	-0.40516615
Git1	1.0926285	2.5507226	1.2606608	2.1850734
Gm45309	-0.0055769808	0.28189665	0.32037354	-0.08230653
Lhfpl4	-0.05793347	0.49338543	-0.05335389	-0.08576487
Hnrnpm	1.9392599	2.9335687	1.7491877	2.6174335
E030013I19Rik	0.39897454	-0.20132104	-0.21221605	0.87251455
Slc35b2	1.145874	2.3808053	1.1262906	1.4505621
Hdac8	0.40444836	1.7914673	1.1265514	1.2133744
Rsl1	0.5613301	1.2904912	-0.10194781	0.6625704
Nckap5l	0.90734965	1.1953918	0.6508009	1.3176703
Trim41	1.0183313	2.1281385	0.92721385	1.334563
Zfp628	-0.41329628	1.2360533	0.88245046	0.9631438
Gm32017	0.0041782665	0.40344435	-0.0033500337	-0.009645764
BC034090	0.7299384	1.054976	0.11872886	0.8101593
Gm27003	0.13209927	0.46513063	-0.07767435	-0.20412393
Gm29488	-0.17715542	0.7984118	0.3363716	0.6896688
Acrbp	-0.69608015	1.4401543	0.93953645	1.2136627
Gm13594	-0.05222357	0.49881074	-0.033707697	-0.12739615
A330040F15Rik	-0.011654873	0.4071345	-0.040982753	-0.042822674
Gm29358	0.26342845	1.142632	0.26349434	-0.8089283
Hdgfl3	1.3165436	2.744562	1.8640122	2.3439372
A530032D15Rik	-0.03918477	0.45923325	-0.07944653	0.28036872
Ung	-0.10352484	0.9285065	0.3794112	-0.3750584
Arhgap1	0.7140772	2.4909601	1.4044865	1.8141599
Gm38190	-0.107238844	0.6901248	-0.20517129	0.8099057
Gm16751	0.26222453	0.96185493	-0.20597205	0.26991785
Pstpip2	-0.01199911	-0.21487774	-0.01810089	0.1348739
Brd2	2.0774965	2.6923525	2.284115	2.6164055
Pim1	0.7855579	1.9477952	1.0827678	1.9098076
Sf3b1	1.8399227	3.1739168	2.4180627	2.6376965
Grk4	0.36564052	0.92789924	0.8721472	0.8057868
Sntb2	1.6518347	2.7283297	2.1933355	2.4309895
Foxa2	-0.10372874	0.38337004	-0.20830616	0.7299069
Uqcrc1	1.5482987	3.0197392	2.053267	2.269541
Qtrt1	-0.3360928	2.036402	0.71526635	1.2281281
Nktr	1.967522	2.7496488	1.9770794	2.4690726
Rbl1	0.2550454	1.8624419	0.60650545	1.0680218
Dffa	-0.021881752	1.6041231	0.8904236	1.0031106
Ttc21b	0.94544226	1.8843386	0.9711605	1.2019613
Rnf19a	1.070886	2.6593735	1.6951363	2.2524629
Fanci	0.35654303	1.0627794	-0.2034759	-0.597233
Lockd	-0.6697812	1.6377183	-0.28794104	0.3766116
Dnajc7	1.1670974	2.6013815	1.8263291	2.0976598
Vgf	-0.0039513214	0.4544983	-0.014169733	-0.057906374
Comp	-0.8771222	0.5347762	0.948861	1.3478619
Abl1	-0.07705656	2.142921	1.4971963	1.5808269
Hbb-bs	0.8066199	1.5546718	-0.83751285	-0.911886
4930455B14Rik	0.016872894	0.3994272	-0.018034266	-0.019173793
Cdkl1	-0.046008624	0.26549768	0.51542836	0.22031873
Oas1c	-0.30930912	1.310076	0.5467004	0.6927925
Kif21a	-0.15041177	1.0133518	0.2844538	0.8109096
Ssbp4	0.55563843	3.055179	1.6721983	2.260349
Vipr2	0.5587572	2.0202873	0.9179167	1.2168419
Tusc2	1.6345202	2.5073266	0.884195	1.7805899
Mrpl3	1.2872009	2.4029167	1.1241175	1.5556628
Npc1	0.93654126	2.252601	1.0777414	1.5987333
Cabp4	-0.013174689	0.19932492	-0.04401143	-0.06782328
Gm12043	-0.039791528	0.49680415	-0.047822557	-0.104758285
2810457G06Rik	-0.00778871	0.3791953	0.2713414	-0.07193686
Gm15927	0.010222979	0.33495843	-0.012856786	-0.0502593
Slc24a5	0.9456104	1.9912981	0.45084912	0.6893161
Csde1	1.9356304	3.1531582	2.3337774	2.8075953
Etv5	-0.032554533	-0.5126425	0.05346465	0.24578802
Fbxw7	0.7959455	2.3804162	1.2385944	1.8964225
Gm29156	-0.006604841	0.28892297	-0.023881182	-0.052860916
Grik3	-0.012715933	0.24806812	0.0024765814	-0.06810323
Ccdc163	-0.06873453	1.6525126	0.85529596	0.84802777
Rab3b	-0.027026631	0.6747525	-0.10173191	0.33636677
Plbd2	1.5986893	2.7026553	1.954256	2.292357
Brpf1	0.7841309	1.9741645	0.4885119	1.6512764
Zfp9	0.79420245	1.2283596	0.92661756	1.4820129
Cbfb	1.0945446	2.5053666	0.28482315	1.6076709
Gm42595	-0.15809466	0.72406864	0.07967743	0.41489768
Gab1	0.76271784	1.9674387	1.223859	2.0058439
Pkd2l2	-0.008916708	0.33482355	0.13613784	-0.08695811
Gm48914	-0.13121149	0.98594147	-0.19154994	-0.5223986
Specc1l	1.2756132	2.4495115	1.5676283	2.093918
Ntan1	1.7200611	2.8972068	1.8784273	2.1492302
Josd1	0.7130334	2.0744758	1.2417109	1.8988287
Cul1	1.5911428	2.7431436	2.1071103	2.2838168
Sh3tc1	0.6310521	1.3971056	0.92706144	0.7949996
Ggps1	1.3211043	2.4898002	1.801983	2.0737484
Hectd1	1.793849	2.7010195	1.9613675	2.5356677
Fads2	1.4743689	2.6507475	1.8626444	2.2339408
Ralbp1	2.0993083	2.9817994	2.3744407	2.7494261
Plekhm2	1.109778	1.9970534	1.0288899	1.295121
Myl12b	2.5132248	3.3214767	2.2310915	2.7979994
Smg5	1.1013284	0.7141299	1.371777	1.544308
Fam107b	0.56413454	1.8118039	1.2048413	1.3379917
A430018G15Rik	0.2544948	1.6166362	1.0414969	0.27625817
Pkd2l1	-0.020009989	0.44821024	-0.017546149	-0.042611472
Snrpb2	1.1151854	2.8215244	1.8817519	1.7896106
Ints7	0.7089267	1.9449124	1.1755604	1.3549078
Tmc7	-1.0701964	1.8915665	0.120519325	0.7673443
Pcdhga5	-0.39693418	1.2941786	0.6151457	0.87197626
Gm4117	-0.63892436	1.0524623	0.95100564	1.3206513
Gm48433	0.006552416	-0.20589913	-0.01835484	0.19415395
0610009L18Rik	0.54433936	1.6501739	-0.9864068	1.3374677
Capsl	-0.09064705	-0.17449164	-0.08845203	0.57283074
Zbtb8a	0.6767905	1.4472717	0.09761292	0.8276156
Xiap	1.8308288	2.7666593	2.2128325	2.5874379
Six3	-0.11760418	1.0582024	-0.2535306	0.17534839
Ilvbl	0.9029392	2.1042442	0.365194	1.4011874
Glb1	0.5648998	2.4865777	0.99917006	1.5919749
Abca14	-0.004548902	0.43177342	-0.03099443	-0.061213087
Fbln1	0.5741942	1.2874689	0.8391951	0.6054902
2410131K14Rik	0.025309727	1.5101721	0.8391616	-0.18872789
Mrnip	0.5521054	0.42815724	-0.2308934	0.7159082
Sfrp1	2.533634	3.0655437	2.974842	2.643144
Nat8f4	-0.024110539	0.10587364	0.30829522	-0.09452609
Erich6	-0.019789994	0.32511333	-0.014000301	-0.047751814
Hace1	0.8264144	1.9689524	1.1591254	1.4660418
Gm13571	-0.014676192	0.35535234	0.0059649292	-0.039133117
Cnot9	0.32027102	1.7478732	0.22123605	1.2066772
Dars2	0.7633781	1.7682917	0.33651042	0.7614269
Wdr48	1.3947392	2.2865345	1.3441628	2.0398753
Gm14393	-0.06219867	0.35735202	0.2825874	-0.19404402
Arsb	-1.2552972	2.0717323	1.0061296	1.2533326
1810037I17Rik	2.286213	3.338028	0.64038026	2.4932468
Nkrf	0.73886836	1.305159	0.080703825	0.47097975
Gm20682	0.081082255	0.23299223	-0.14746925	0.03853545
Cdc42se1	1.3974606	2.527693	1.5773041	1.6172132
Lin54	0.6517828	1.695143	0.63307166	1.5104892
Acot9	1.5499872	2.4499452	0.9002314	2.0582306
Kif26a	1.7128961	1.9539671	1.895093	2.1973746
Rubcn	0.90075547	2.1107147	0.8733846	0.7283117
Flvcr1	0.34972247	0.701683	0.65973157	0.624509
Cdhr4	-0.13666591	1.0337021	-0.23006201	0.113714226
Grik5	1.1879418	1.9509524	1.426676	0.40740514
4930573H18Rik	-0.04730425	0.2558601	0.3687772	-0.123956226
Cpeb3	0.7238271	1.2122617	0.8568458	0.64925086
Zkscan14	0.6113379	1.613451	0.77382946	0.8211639
Irx2	0.40173125	-0.7024315	-0.04698288	0.4168711
Pdzk1ip1	-0.5426254	2.7991064	0.97287774	1.848683
1110002O04Rik	-0.044665176	0.15573822	0.055091612	-0.12452231
Col16a1	-0.08306062	0.9346154	-0.16943118	0.17377532
Rnd3	0.4339832	1.9529803	0.5144844	0.871969
Actr6	1.3452051	2.2425191	-0.40321097	1.0593295
A530016L24Rik	-0.03476571	0.35532203	-0.022255443	-0.03133642
Zfp239	-0.017381968	0.33816105	0.0063669207	-0.0634865
Calcrl	2.1655676	2.7965782	2.3473804	2.6770399
Nisch	1.8505883	2.5378141	2.3280609	2.5694158
Zbtb9	0.7093567	1.3888552	-0.62438554	0.1648055
Acad11	1.0299754	1.7753636	-0.7371357	1.1877218
Cspg4	-0.36918837	0.81862015	0.9521859	1.0561305
E230029C05Rik	0.28896874	0.8367631	0.38378826	0.18136293
R3hdm4	1.0321274	2.4934468	0.8338062	1.9161118
6430548M08Rik	0.6178277	1.3536917	0.9023549	1.0574027
Bpgm	1.6482022	3.1439025	2.0288663	2.563389
Parp6	-0.5708921	2.021897	1.130949	1.513432
Fam120b	0.9778189	2.4323444	1.6258601	1.5272481
Med6	0.85167456	2.5057344	1.0611038	1.6874429
Tmem18	1.2680874	2.294513	-0.10681125	1.6266937
Usp50	-0.02525814	1.7719826	0.6203705	1.156171
Pcdhga3	-0.06338505	0.45216426	-0.074069746	0.3843986
Catsper3	0.009647062	-0.21606156	0.0068814456	0.08812107
Plaur	-0.8711809	2.750087	1.1646115	1.4744655
Zfp598	1.1687049	2.0085022	-0.33086675	1.8435482
Itsn2	1.8975124	2.887691	1.8697	2.2833374
4933422A05Rik	-0.027548293	-0.20258065	-0.037964724	0.3356787
Tmco6	0.11762839	1.4027605	0.5949701	0.8182982
Capg	0.9579052	3.1016204	0.7064222	2.4680395
Dennd1b	1.4057641	1.6671408	1.5668235	1.7856528
Trim8	1.52024	1.933302	1.2565141	2.21246
Mad1l1	0.07424636	1.6441585	0.5529127	1.3904659
Gm48730	-0.07827385	-1.0965506	-0.18067977	0.46522203
Mfap5	2.2630103	3.104658	2.335897	2.4944527
Tmod2	1.969883	2.4590554	1.9851005	2.4650455
4933431K23Rik	-0.0074523906	0.2671071	-0.020141758	-0.025425266
Adk	1.6055762	2.7134645	1.8659153	2.0537252
Lck	-0.06020335	0.3577407	0.19627284	0.1993784
Bloc1s4	1.1811495	2.531412	1.3521218	0.69492286
