gene	bin_0	bin_1	bin_2	bin_3
Dctn6	1.5428113	2.821521	1.8013369	1.9082189
Pknox2	0.72670066	1.977009	1.0223184	1.4230906
Trim34a	1.1125318	2.317328	1.1483476	1.4400568
Zc3h18	1.3301522	2.3996615	1.5044874	1.8319817
Inca1	0.20717262	0.6942185	-0.19424954	0.33323961
Plac9b	1.0170689	2.3323872	1.1029418	1.2962723
Asxl3	0.069926575	0.38066	0.08376775	0.19241281
Jag2	0.8973565	2.0389984	1.1829578	1.4168566
Pdzd4	0.39268517	1.3788733	0.24452882	0.8084643
Clk2	0.9824733	2.2368984	1.1429079	1.4772598
Dcdc2a	0.17463893	1.2023757	0.44605756	0.60514724
Utp15	0.92283463	1.993616	1.1066608	1.4282591
Chaf1a	0.3284324	1.096759	0.4586269	0.7494232
Smim15	1.5031277	2.699627	1.6867185	2.1587358
Mrps35	1.0737808	2.3494298	1.2768197	1.6915685
Klf10	1.7965115	2.7212546	1.8181924	2.303835
Taf12	1.1374673	2.4376035	1.4841439	1.8898416
Rpl36al	2.269863	3.300882	2.4738936	2.855172
Ska1	0.40077144	1.0305783	0.42926314	0.5257348
Nynrin	1.1198399	2.102657	1.3241249	1.4644301
Gm1976	0.49961063	1.4169804	0.58872235	0.8690079
Nedd9	1.0649538	2.8317883	1.8658544	2.168339
Itga5	1.8567902	3.045454	2.1746044	2.6331122
Bms1	1.2511069	2.561103	1.521302	1.9982157
Gata4	0.26206943	0.9307099	-0.77322745	0.4045084
Dusp19	0.61456597	2.1323223	1.0887918	1.616503
Gm26901	0.07503978	0.2223152	0.078182325	0.21125403
Zfp280d	1.2081466	2.5929694	1.6117308	1.9675014
Psma3	2.1220238	3.2088203	2.206166	2.622213
1300017J02Rik	0.15208799	0.7508133	-0.24603698	0.23401362
D930048N14Rik	-1.0571188	0.6441831	-0.040385738	0.5926126
mt-Co2	2.184925	3.2365527	1.5415668	2.857012
Thnsl2	0.21790452	1.5403973	0.6310866	1.1022526
Msi1	0.058184434	0.39342463	0.10265003	-0.37887746
Ly96	0.7738774	2.2584627	1.3118242	1.5176127
Txndc17	2.1836314	3.2426496	2.4226267	2.8022964
Trabd	1.149965	2.4835353	1.3623836	1.7898427
Gngt2	1.8546257	2.9132276	2.061517	2.5132055
5730409E04Rik	0.9549047	2.1848333	1.2306252	1.4016594
