gene	log_min	log_max
Dctn6	-11.382798	-7.9289203
Pknox2	-13.151699	-9.697821
Trim34a	-12.634117	-9.180239
Zc3h18	-12.198799	-8.744921
Inca1	-16.130625	-12.676746
Plac9b	-12.584846	-9.130967
Asxl3	-17.229237	-13.775358
Jag2	-12.9807415	-9.526863
Pdzd4	-14.521187	-11.067308
Clk2	-12.7519	-9.298021
Dcdc2a	-14.74433	-11.290452
Utp15	-13.277993	-9.824115
Chaf1a	-14.926652	-11.472774
Smim15	-11.532144	-8.078265
Mrps35	-12.484304	-9.030426
Klf10	-11.193755	-7.739877
Taf12	-11.920969	-8.467091
Rpl36al	-9.364432	-5.910555
Ska1	-14.831342	-11.377463
Nynrin	-12.9807415	-9.526863
Gm1976	-14.338865	-10.884987
Nedd9	-11.281201	-7.8273234
Itga5	-10.636192	-7.1823144
Bms1	-11.911117	-8.457238
Gata4	-15.619799	-12.16592
Dusp19	-13.009729	-9.555851
Gm26901	-17.229237	-13.775358
Zfp280d	-11.882129	-8.42825
Psma3	-10.241746	-6.787868
1300017J02Rik	-16.130625	-12.676746
D930048N14Rik	-15.619799	-12.16592
mt-Co2	-7.0373044	-3.583427
Thnsl2	-14.093742	-10.639864
Msi1	-17.229237	-13.775358
Ly96	-12.501849	-9.047971
Txndc17	-10.013262	-6.559384
Trabd	-12.309256	-8.855377
Gngt2	-10.855917	-7.402039
5730409E04Rik	-12.84721	-9.393332
Erf	-11.961378	-8.5075
Tmem138	-13.186185	-9.7323065
Zfp384	-13.203885	-9.750007
Fbxo10	-14.184714	-10.730836
Gm16933	-17.229237	-13.775358
Enc1	-13.151699	-9.697821
Gm43137	-17.229237	-13.775358
1700001C19Rik	-16.130625	-12.676746
Repin1	-14.456648	-11.002769
Slc30a7	-12.331397	-8.877519
Fgl1	-16.536089	-13.0822115
Eya1	-13.445047	-9.991169
Impa2	-13.9334	-10.479522
Ppib	-9.295798	-5.8419204
Nt5dc3	-13.358036	-9.904158
Arhgef16	-15.032012	-11.578134
Timm9	-12.354039	-8.900161
Dll4	-12.450113	-8.996235
Nmnat2	-13.795249	-10.341371
Wdr73	-13.2402525	-9.786374
Lmbrd2	-12.450113	-8.996235
Zfp438	-14.284798	-10.830919
Ift122	-13.297411	-9.843533
Morn5	-16.536089	-13.0822115
Clcf1	-13.97114	-10.5172615
Aspm	-14.74433	-11.290452
Btg3	-11.740299	-8.286421
Hist1h4i	-15.032012	-11.578134
Rnf150	-15.437477	-11.983599
Git1	-11.736176	-8.282297
Gm45309	-16.536089	-13.0822115
Lhfpl4	-16.536089	-13.0822115
Hnrnpm	-10.941378	-7.4874997
E030013I19Rik	-15.149796	-11.695917
Slc35b2	-12.301983	-8.8481045
Hdac8	-13.422574	-9.968696
Rsl1	-14.184714	-10.730836
Nckap5l	-13.702876	-10.248998
Trim41	-12.911749	-9.4578705
Zfp628	-14.184714	-10.730836
Gm32017	-17.229237	-13.775358
BC034090	-14.338865	-10.884987
Gm27003	-16.130625	-12.676746
Gm29488	-15.032012	-11.578134
Acrbp	-13.86194	-10.408062
Gm13594	-16.536089	-13.0822115
A330040F15Rik	-17.229237	-13.775358
Gm29358	-14.831342	-11.377463
Hdgfl3	-11.313035	-7.859157
A530032D15Rik	-16.130625	-12.676746
Ung	-15.437477	-11.983599
Arhgap1	-12.154063	-8.700185
Gm38190	-15.283326	-11.829448
Gm16751	-15.283326	-11.829448
Pstpip2	-17.229237	-13.775358
Brd2	-10.512642	-7.058764
Pim1	-12.685942	-9.232063
Sf3b1	-10.197495	-6.7436175
Grk4	-14.184714	-10.730836
Sntb2	-10.998755	-7.5448775
Foxa2	-15.283326	-11.829448
Uqcrc1	-10.888877	-7.434999
Qtrt1	-13.221904	-9.768025
Nktr	-11.165451	-7.711573
Rbl1	-13.317214	-9.863336
Dffa	-13.673888	-10.22001
Ttc21b	-13.168794	-9.714915
Rnf19a	-11.549064	-8.095185
Fanci	-15.149796	-11.695917
Lockd	-13.763501	-10.309623
Dnajc7	-11.638249	-8.184371
Vgf	-17.229237	-13.775358
Comp	-13.491567	-10.037688
Abl1	-12.528756	-9.074878
Hbb-bs	-13.97114	-10.5172615
4930455B14Rik	-17.229237	-13.775358
Cdkl1	-15.619799	-12.16592
Oas1c	-14.284798	-10.830919
Kif21a	-14.74433	-11.290452
Ssbp4	-11.020647	-7.566769
Vipr2	-13.086102	-9.632223
Tusc2	-12.099338	-8.645459
Mrpl3	-12.309256	-8.855377
Npc1	-12.575276	-9.121398
Cabp4	-17.229237	-13.775358
Gm12043	-16.536089	-13.0822115
2810457G06Rik	-16.536089	-13.0822115
Gm15927	-17.229237	-13.775358
Slc24a5	-13.221904	-9.768025
Csde1	-9.972234	-6.518356
Etv5	-16.536089	-13.0822115
Fbxw7	-12.361702	-8.907824
Gm29156	-17.229237	-13.775358
Grik3	-17.229237	-13.775358
Ccdc163	-13.763501	-10.309623
Rab3b	-16.130625	-12.676746
Plbd2	-11.21797	-7.764092
Brpf1	-12.966557	-9.512678
Zfp9	-13.422574	-9.968696
Cbfb	-12.185811	-8.731933
Gm42595	-15.032012	-11.578134
Gab1	-12.475646	-9.021768
Pkd2l2	-16.536089	-13.0822115
Gm48914	-15.283326	-11.829448
Specc1l	-11.886903	-8.433024
Ntan1	-11.059626	-7.6057477
Josd1	-12.594507	-9.140629
Cul1	-11.222883	-7.7690053
Sh3tc1	-13.828039	-10.374161
Ggps1	-11.853958	-8.40008
Hectd1	-11.028728	-7.5748496
Fads2	-11.283816	-7.8299384
Ralbp1	-10.236221	-6.7823434
Plekhm2	-12.995131	-9.541252
Myl12b	-9.305164	-5.8512864
Smg5	-13.277993	-9.824115
Fam107b	-13.186185	-9.7323065
A430018G15Rik	-13.673888	-10.22001
Pkd2l1	-17.229237	-13.775358
Snrpb2	-11.473495	-8.019616
Ints7	-13.039582	-9.585704
Tmc7	-13.337417	-9.883538
Pcdhga5	-14.338865	-10.884987
Gm4117	-13.795249	-10.341371
Gm48433	-17.229237	-13.775358
0610009L18Rik	-13.795249	-10.341371
Capsl	-15.842942	-12.389064
Zbtb8a	-14.051183	-10.597304
Xiap	-10.855917	-7.402039
