gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Dctn6	0.47	0.49	0.47	0.6	1.0	-240.02531	-236.66476	-237.31487	-239.83798	0.0	-0.08135732	-9.766944267889748	0.9183936617650836	0.37681159420289856	104
Pknox2	0.49	0.38	0.38	0.64	1.0	-93.953995	-88.816536	-90.95799	-91.96118	0.0	-0.8654677	-11.41134968497955	1.3123126548867345	0.10144927536231885	28
Trim34a	0.3199999999999999	0.44	0.3199999999999999	0.5	1.0	-125.49646	-117.1759	-124.87368	-118.80483	0.0	-2.9061368	-11.187100108738528	0.3121778221744922	0.11594202898550725	32
Zc3h18	0.33	0.41	0.33	0.56	1.0	-224.42868	-213.97974	-220.3698	-217.02188	0.0	-3.216732	-10.060607221349656	3.5817041367928373	0.2644927536231884	73
Inca1	0.23	0.1	0.1	0.67	0.9899999999999998	-13.512648	-14.769071	-13.720383	-14.3938875	0.83466154	0.3827176	-13.631574984803638	2.1027291925138734	0.007246376811594203	2
Plac9b	0.42	0.48	0.42	0.55	1.0	-128.62923	-120.97966	-126.43709	-122.81946	0.0	-2.5231504	-11.062881653377884	2.0822893773760267	0.14492753623188406	40
Jag2	0.4499999999999999	0.3	0.3	0.54	1.0	-127.80669	-122.18762	-125.99746	-123.49536	0.0	-1.8723847	-11.298432003856927	1.13983223214849	0.06521739130434782	18
Pdzd4	0.36	0.44	0.36	0.67	0.9899999999999998	-28.974707	-27.891949	-28.364996	-28.533375	0.0	-0.19166799	-13.025085828782794	2.800492479144383	0.021739130434782608	6
Clk2	0.26	0.13	0.13	0.7	0.9	-138.4642	-139.49796	-139.85458	-138.60818	0.0	0.062530555	-10.99376127155914	5.024803562606769	0.14855072463768115	41
Dcdc2a	0.2099999999999999	0.38	0.2099999999999999	0.66	1.0	-21.667494	-21.18461	-21.299046	-21.521135	0.0	-0.063562684	-13.57613671645072	5.834250690591213	0.014492753623188406	4
Utp15	0.17	0.2199999999999999	0.17	0.52	1.0	-72.957664	-71.15957	-70.71946	-73.48208	0.0	0.22775014	-11.77183906391073	3.565779342080981	0.07608695652173914	21
Chaf1a	0.48	0.2299999999999999	0.2299999999999999	0.61	1.0	-33.492134	-33.3695	-33.43183	-33.695976	0.0	0.08852752	-12.974085697536909	4.715917843681579	0.025362318840579712	7
Smim15	0.4599999999999999	0.1999999999999999	0.1999999999999999	0.39	1.0	-254.07602	-259.1981	-259.4388	-253.2686	0.0	-0.35065752	-9.911477031347598	4.809804865938011	0.34057971014492755	94
