gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.1995044	1.7194161	1.7514668	1.647988
Pknox2	1.370891	1.2088957	0.84315133	0.8083269
Trim34a	1.573619	0.9737245	0.97153455	1.021684
Zc3h18	1.6625324	1.6120878	1.8649911	1.7340388
Inca1	-0.47687364	0.5451701	0.39191708	-0.19223565
Plac9b	1.5659839	1.130838	1.2960873	1.0330749
Jag2	1.5529226	1.1109097	1.0501417	0.64446235
Pdzd4	0.4825463	0.30985934	0.57903	0.339738
Clk2	1.9239235	-0.24654248	1.1821964	1.4040693
Dcdc2a	0.9021713	-0.19689992	-0.32356706	0.27412298
Utp15	0.30258742	0.6028405	1.1128615	1.1188399
Chaf1a	0.4325798	-0.37488437	0.10207254	0.63175845
Smim15	2.3987145	-0.024931744	2.0505776	1.3230964
Mrps35	1.7426407	0.87604994	1.3265157	1.2780269
Klf10	2.5065815	1.445275	1.9206206	0.59542775
Taf12	1.8532505	1.5846953	1.5716062	1.4598843
Rpl36al	2.607886	2.3353283	2.639099	2.4955468
Ska1	-0.11083593	-0.0038531842	-0.05269752	0.19619736
Nynrin	1.4771013	1.4183471	1.083535	1.1520442
Gm1976	0.63962376	0.6238222	0.19149514	0.19678459
Nedd9	1.5345255	1.8433884	2.0692086	1.989275
Itga5	2.3007011	1.6987611	2.3375883	2.2756119
Bms1	2.170549	0.85293376	1.2728653	1.3669013
Gata4	0.2278449	0.21365216	-0.16917056	-0.16310865
Dusp19	1.1434639	-0.36967203	1.329046	1.3799566
Gm26901	0.33307752	-0.075721174	-0.13091184	0.29435945
Zfp280d	2.223906	1.6409172	0.9661211	1.7328442
Psma3	2.48169	2.240387	2.5411384	1.9506234
1300017J02Rik	-0.16163772	-0.031345036	-0.038325112	0.32413462
D930048N14Rik	0.07402884	-0.1678429	0.54661614	0.33021107
mt-Co2	3.0548992	2.77346	2.7880745	2.4620726
Thnsl2	0.25426123	-0.013524817	0.19396354	0.8171573
Msi1	-0.10584045	-0.049068633	0.4392145	-0.041928798
Ly96	1.2304285	1.091464	1.2193958	1.2287422
Txndc17	2.7614021	1.925189	2.0820057	2.2334569
Trabd	1.880618	0.8169005	1.5853369	1.6471605
Gngt2	2.3579571	1.7809128	0.84234214	1.8257426
5730409E04Rik	1.3944445	1.4605168	1.5568953	1.0604973
Erf	1.4479388	0.9465096	1.7656467	1.8414409
Tmem138	1.4856834	1.297042	0.46807444	0.8451489
Zfp384	1.2002339	0.90241814	1.1604604	1.1916541
