gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.2473698	1.7740873	1.8549064	1.7754501
Pknox2	1.5570127	0.84295994	1.2036412	1.0953135
Trim34a	1.6450654	1.1494799	1.3882405	1.3084605
Zc3h18	1.9673681	1.6391268	1.8271973	1.6006322
Inca1	0.45680308	-0.96360826	0.20370784	0.34407452
Plac9b	1.6956042	1.318153	1.3655556	1.3288707
Jag2	1.561033	1.0404208	1.2987964	1.102226
Pdzd4	0.8128472	0.33319587	0.3346843	0.56654257
Clk2	1.8630451	1.0537566	1.5121747	1.3467103
Dcdc2a	0.5322666	0.39422253	0.49208963	0.299912
Utp15	1.177152	0.70417297	0.88971925	0.7438262
Chaf1a	0.70754874	0.4327572	0.38161933	0.11430148
Smim15	2.2969766	1.2801827	2.038578	1.5535122
Mrps35	1.9268799	1.283447	1.4847413	1.4507062
Klf10	2.3055775	1.729322	2.051274	1.4535936
Taf12	2.0554922	1.3417115	1.6802313	1.625846
Rpl36al	2.665786	2.5316255	2.5621295	2.5970416
Ska1	0.28171524	0.14182714	0.21363813	-0.3965336
Nynrin	1.6369178	0.9619856	1.4792613	1.3330077
Gm1976	1.0130758	0.27650282	0.664274	0.54482996
Nedd9	1.9378515	1.8229334	1.998206	1.8449146
Itga5	2.4899442	1.9324565	2.317604	2.110671
Bms1	1.9290361	1.2888446	1.6389434	1.6891583
Gata4	0.69827724	-0.73261875	0.38095447	0.35655865
Dusp19	1.4663785	0.9817047	1.1587989	0.9218335
Gm26901	0.51205885	0.2629066	0.30692476	-0.15212822
Zfp280d	2.1666684	1.6809937	1.5483278	1.6428156
Psma3	2.5691009	2.097517	2.4234126	2.171282
1300017J02Rik	0.32752728	0.15242727	0.1905993	-0.2503866
D930048N14Rik	0.6310769	0.32769024	0.12992029	0.3763407
mt-Co2	2.9391782	2.439672	2.5192974	2.0277553
Thnsl2	0.7226319	0.3177447	0.48230252	0.5210104
Msi1	0.29946494	0.19001542	-0.3244585	0.18161714
Ly96	1.6416498	1.1249859	1.2279118	1.3101885
Txndc17	2.7064252	2.186458	2.2199852	2.324949
Trabd	1.964319	1.3680034	1.5847914	1.4666723
Gngt2	2.4846923	1.8561311	1.6583773	1.8787756
5730409E04Rik	1.7085217	1.0792357	1.4676273	1.3893566
Erf	1.7847202	1.4808508	1.6280949	1.4746599
Tmem138	1.6495533	0.8735017	1.1237689	1.1690043
Zfp384	1.5485158	0.98877543	1.1900802	1.2970002
Fbxo10	0.7815368	0.56523603	0.7640715	0.678336
Gm16933	0.06385502	0.24732766	0.3462792	0.32547677
Enc1	1.4295511	0.965715	1.3806779	1.271346
1700001C19Rik	0.3103674	0.15842985	0.18752712	-0.629754
Repin1	0.8362374	0.5487903	0.8775334	-0.23832788
Slc30a7	1.9132665	1.3157539	1.444021	1.2449801
