gene	log_min	log_max
Dctn6	-11.421967	-7.9680886
Pknox2	-13.037835	-9.583957
Trim34a	-12.710622	-9.256743
Zc3h18	-11.753324	-8.299445
Inca1	-15.37321	-11.919332
Plac9b	-12.643181	-9.189302
Jag2	-12.888303	-9.434424
Pdzd4	-14.680062	-11.226184
Clk2	-12.428771	-8.974893
Dcdc2a	-15.085527	-11.631649
Utp15	-13.4272995	-9.973421
Chaf1a	-14.525912	-11.072034
Smim15	-11.365877	-7.911999
Mrps35	-12.428771	-8.974893
Klf10	-11.262336	-7.808458
Taf12	-11.983186	-8.529307
Rpl36al	-9.476056	-6.022178
Ska1	-16.47182	-13.017943
Nynrin	-12.539996	-9.086118
Gm1976	-14.392381	-10.938502
Nedd9	-11.384226	-7.930348
Itga5	-10.574668	-7.12079
Bms1	-11.907474	-8.453595
Gata4	-15.37321	-11.919332
Dusp19	-12.975314	-9.521436
Gm26901	-15.778675	-12.324797
Zfp280d	-11.667801	-8.2139225
Psma3	-10.375998	-6.9221196
1300017J02Rik	-16.47182	-13.017943
D930048N14Rik	-15.085527	-11.631649
mt-Co2	-6.70158	-3.2477026
Thnsl2	-14.525912	-11.072034
Msi1	-16.47182	-13.017943
Ly96	-12.734153	-9.280274
Txndc17	-10.231546	-6.7776685
Trabd	-12.089795	-8.635917
Gngt2	-11.158616	-7.704738
5730409E04Rik	-12.394284	-8.940406
Erf	-11.928528	-8.474649
Tmem138	-12.888303	-9.434424
Zfp384	-12.916474	-9.462596
Fbxo10	-14.169237	-10.715359
Gm16933	-15.778675	-12.324797
Enc1	-12.539996	-9.086118
1700001C19Rik	-16.47182	-13.017943
Repin1	-13.763772	-10.309894
Slc30a7	-12.26713	-8.8132515
Eya1	-13.58145	-10.127572
Impa2	-14.274597	-10.820719
Ppib	-9.501092	-6.047214
Nt5dc3	-13.175985	-9.722107
Arhgef16	-16.47182	-13.017943
Timm9	-12.252315	-8.798436
Dll4	-12.580002	-9.126123
Nmnat2	-14.073927	-10.6200485
Wdr73	-13.175985	-9.722107
Lmbrd2	-12.464489	-9.010611
Zfp438	-13.763772	-10.309894
Gm14486	-15.778675	-12.324797
Ift122	-12.888303	-9.434424
Clcf1	-13.763772	-10.309894
Aspm	-15.085527	-11.631649
Btg3	-11.6926985	-8.23882
Hist1h4i	-14.680062	-11.226184
Rnf150	-15.778675	-12.324797
Git1	-11.619792	-8.165914
Lhfpl4	-16.47182	-13.017943
Hnrnpm	-10.991183	-7.5373054
E030013I19Rik	-15.085527	-11.631649
Slc35b2	-12.282167	-8.828289
Hdac8	-13.638609	-10.184731
Rsl1	-14.169237	-10.715359
