gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Dctn6	0.3	0.45	0.3	0.48	1.0	-613.847	-605.5228	-613.4305	-606.8417	0.0	-3.0423675	-9.857731656056387	2.7818804540414694	0.327445652173913	241
Pknox2	0.44	0.17	0.17	0.67	0.9899999999999998	-217.5124	-208.93106	-213.58896	-213.95544	0.0	-1.5447686	-11.541595702543818	1.621357615482685	0.08559782608695653	63
Trim34a	0.3	0.4499999999999999	0.3	0.52	1.0	-347.28467	-339.60287	-341.55435	-345.31525	0.0	-0.85530883	-10.922108988571793	4.177188171216461	0.15081521739130435	111
Zc3h18	0.3399999999999999	0.3299999999999999	0.3299999999999999	0.64	1.0	-464.2505	-456.34967	-464.81036	-455.25	0.0	-3.9088624	-10.458673043721124	5.444434834509355	0.22826086956521738	168
Inca1	0.34	0.44	0.34	0.59	1.0	-19.11137	-18.49446	-19.278906	-18.308275	0.0	-0.34877965	-14.731374088566312	2.8804135774546222	0.004076086956521739	3
Plac9b	0.27	0.44	0.27	0.52	1.0	-378.71738	-364.0074	-375.1158	-368.4894	0.0	-4.4419494	-10.677729114349264	0.6923011892087363	0.17119565217391305	126
Asxl3	0.31	0.49	0.31	0.56	1.0	-7.679624	-7.8264055	-7.513643	-7.991945	1.0	0.13563916	-15.74599592437994	3.139068502246621	0.001358695652173913	1
Jag2	0.22	0.08	0.08	0.53	1.0	-312.2119	-305.8026	-311.22443	-307.5787	0.0	-2.0121772	-11.413944028733413	1.98899349758302	0.07608695652173914	56
Pdzd4	0.35	0.18	0.18	0.4	1.0	-87.41563	-86.63191	-89.65691	-84.24359	0.0	-1.3775973	-13.098498195643478	1.4450777443333473	0.02309782608695652	17
Clk2	0.22	0.3399999999999999	0.22	0.61	1.0	-277.25214	-268.4798	-274.27002	-271.62158	0.0	-2.4453187	-11.288048134641103	3.729325441076041	0.10461956521739131	77
Dcdc2a	0.02	0.2099999999999999	0.02	0.7	0.9	-163.57117	-163.76859	-163.04816	-167.52068	1.0	1.7152498	-12.367720064925244	3.564762674920311	0.035326086956521736	26
Utp15	0.43	0.36	0.36	0.59	1.0	-226.30371	-220.84024	-226.16814	-220.82661	0.0	-2.3786728	-11.505413039571106	4.694294145927536	0.08152173913043478	60
Chaf1a	0.07	0.16	0.07	0.65	1.0	-69.5229	-71.38584	-68.36723	-72.145584	1.0	1.1390157	-13.160178483111817	3.6894578084346246	0.016304347826086956	12
Smim15	0.47	0.49	0.47	0.5	1.0	-659.4081	-635.17834	-642.60547	-649.2336	0.0	-4.418729	-9.811951201035525	4.523731046078088	0.34103260869565216	251
Mrps35	0.25	0.4599999999999999	0.25	0.62	1.0	-356.38165	-351.4958	-356.32452	-352.0472	0.0	-1.8824242	-10.831911022094541	3.3716826708248138	0.16983695652173914	125
Klf10	0.1899999999999999	0.31	0.1899999999999999	0.63	1.0	-757.79333	-742.83417	-753.9427	-746.47656	0.0	-4.9148116	-9.643208095842006	5.6020085497036405	0.36277173913043476	267
Taf12	0.39	0.47	0.39	0.5	1.0	-471.30063	-464.6674	-467.29688	-467.89996	0.0	-1.4768902	-10.412261507541867	3.3099865786028544	0.23369565217391305	172
Rpl36al	0.47	0.45	0.45	0.54	1.0	-1541.2588	-1507.5204	-1532.5261	-1515.1897	0.0	-11.321663	-7.740695402882531	2.5601499054439287	0.8369565217391305	616
Ska1	0.05	0.3399999999999999	0.05	0.81	0.5699999999999998	-39.23936	-41.270596	-38.98472	-41.122475	1.0	0.817826	-13.979429583587093	6.056357481725392	0.002717391304347826	2
Nynrin	0.24	0.43	0.24	0.57	1.0	-277.9533	-272.6103	-275.59015	-274.74316	0.0	-1.3941479	-11.259061080617355	3.012633660332202	0.11277173913043478	83
