gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.3533297	1.8998586	2.7230804	1.8218586
Pknox2	1.7053108	1.4062061	1.7720582	0.6665162
Trim34a	1.9939007	1.2748474	2.199283	1.6496652
Zc3h18	2.408079	1.3318986	1.9604899	1.9820293
Inca1	-0.32323578	0.2492592	0.33919927	0.43379194
Plac9b	2.1440938	1.8021647	1.6885104	1.8086737
Asxl3	-0.057758126	-0.026175894	0.45526695	-0.034523003
Jag2	1.5419314	1.4493215	2.2648964	-0.19105525
Pdzd4	1.262513	0.3859442	1.271812	-1.2125944
Clk2	1.5075053	0.95942706	2.1172438	1.5768949
Dcdc2a	-0.0030630156	-0.48627713	2.2345564	0.61562496
Utp15	1.565785	1.0508456	1.7533278	1.6635995
Chaf1a	-0.94444305	0.028824463	1.2581226	1.0387404
Smim15	2.4764495	2.012804	2.4907434	2.3644974
Mrps35	1.6945955	1.6344304	2.1010468	1.8212041
Klf10	2.7692997	1.9783616	2.192566	2.3911862
Taf12	2.2015574	1.7068231	2.4190621	1.860192
Rpl36al	2.8063	2.8771539	3.1715877	2.7408867
Ska1	0.79677683	-0.39761057	-1.0722119	0.24589379
Nynrin	1.4598061	1.1950049	2.1555126	1.2252321
Gm1976	1.1588836	0.83767915	0.08541543	0.41134968
Nedd9	2.5612483	1.5854778	2.6531749	2.3294976
Itga5	2.547117	2.2866917	2.790647	2.6241338
Bms1	2.3340056	1.3640242	2.4174411	2.0403297
Gata4	1.2089539	-0.40187111	0.561364	0.10713233
Dusp19	1.4444985	1.3110577	1.7072259	0.3263844
Gm26901	0.2540991	-0.023596168	-0.133735	-0.044119928
Zfp280d	2.39064	1.8205627	2.5523446	1.6408848
Psma3	3.0492585	2.497257	2.796994	2.6193986
1300017J02Rik	0.6396827	0.23479228	-0.36934668	-0.18671334
D930048N14Rik	-0.4428954	-0.15113202	0.52178913	0.4833547
mt-Co2	2.8243446	3.0817552	2.9716392	3.2102246
Thnsl2	1.1210833	0.54855317	1.2737392	0.97249365
Ly96	2.1245215	1.5885223	2.0249593	1.7520095
Txndc17	2.8896794	2.2317955	3.0014505	2.7015338
Trabd	1.9251475	1.8735353	2.3435571	1.5211854
Gngt2	2.7599144	2.2547731	2.6546993	2.4717865
5730409E04Rik	2.1839733	1.2707416	2.1618564	1.551122
Erf	2.2506053	1.7949055	2.1808784	1.6240708
Tmem138	1.1298479	-0.07570564	1.6920869	1.2515148
Zfp384	1.9478467	1.6037261	2.1656408	1.2729001
Fbxo10	1.1009511	0.8550607	1.300463	0.54953
Enc1	1.4248695	1.4105642	2.0050302	1.2094986
Gm43137	0.3706917	-0.008249589	-0.110600546	-0.05507924
Repin1	1.1546072	0.7380373	0.62521905	0.8529677
Slc30a7	2.186789	0.18053624	2.311347	1.8287677
Fgl1	0.47466153	-0.028292254	0.31846693	-0.08871922
Eya1	1.2099879	1.5137691	1.555892	-0.61296666
Gm49874	-0.075834624	-0.04150351	0.3381493	-0.05847257
Impa2	1.0121427	-0.26191133	1.3847183	0.4213753
Ppib	3.0126076	2.816165	3.0115502	3.0050728
