gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.5132995	2.1051235	2.7036169	2.0954518
Pknox2	1.7998399	1.1654494	1.8252636	1.2591319
Trim34a	2.0960808	1.6250305	2.1333237	1.712948
Zc3h18	2.2589443	1.8595448	2.2267148	2.0375986
Inca1	0.45014653	0.027011808	0.5825065	0.3446735
Plac9b	2.0814419	1.5386933	2.0071967	1.8607069
Asxl3	0.261667	0.15414809	0.05128867	0.1476214
Jag2	1.8811827	1.468938	2.0849547	1.1635997
Pdzd4	1.0863028	0.84496593	1.219971	0.5855119
Clk2	1.8560241	1.4189523	1.9104545	1.6613734
Dcdc2a	1.1832951	0.8770702	1.6717563	1.0827993
Utp15	1.7031833	1.29692	1.8839048	1.5330076
Chaf1a	0.72088253	0.6868639	1.0232149	0.695865
Smim15	2.535061	1.9573655	2.5408702	2.2645838
Mrps35	2.0103788	1.6366774	2.151808	1.7619615
Klf10	2.6088014	2.2228415	2.4625418	2.2870133
Taf12	2.3074813	1.9316684	2.3647373	2.0575087
Rpl36al	2.9259129	2.8640692	3.1907089	2.7937677
Ska1	-0.030972071	0.49176884	0.5318074	0.5966217
Nynrin	1.7188401	1.4734359	1.9734373	1.5619755
Gm1976	0.9484192	0.4236425	0.9802632	0.9646879
Nedd9	2.5218377	1.9827067	2.720281	2.2779448
Itga5	2.6924148	2.4314332	2.8753314	2.5225246
Bms1	2.2863362	1.7764316	2.445408	2.0509698
Gata4	0.67112935	0.5068581	0.92135954	0.85026145
Dusp19	1.5768493	1.1131208	1.7908732	1.1590114
Gm26901	-0.023902493	0.14192264	0.3038532	0.1747492
Zfp280d	2.3899393	1.8634276	2.4845338	1.9854068
Psma3	2.9752827	2.519819	2.8917983	2.702071
1300017J02Rik	0.14614874	-0.14535594	0.4739392	0.33598816
D930048N14Rik	0.5289605	0.3330052	0.5053637	-0.2951801
mt-Co2	2.3736818	3.1410434	2.659718	3.2472138
Thnsl2	1.4153386	1.0073901	1.3618561	0.93687767
Ly96	2.1093888	1.7423923	2.1538048	1.7354648
Txndc17	2.9172828	2.4352195	2.9939623	2.7334533
Trabd	2.2087324	1.8206987	2.2925067	1.8137347
Gngt2	2.8009765	2.311721	2.7556899	2.4701495
5730409E04Rik	2.0573833	1.6367439	2.2312	1.8219959
Erf	2.2609596	1.7898834	2.2053168	1.981253
Tmem138	1.4874518	1.0073197	1.5448133	1.2535173
Zfp384	2.035241	1.514783	2.0997026	1.6515877
Fbxo10	1.3484958	0.8481489	1.3768823	1.1119146
Enc1	1.7405916	1.4557258	1.9220017	1.6142535
Gm43137	-0.21702865	0.12762935	0.28474072	0.1900618
Repin1	1.1094651	0.78611016	1.1946355	0.79711556
Slc30a7	2.1567528	1.3744873	2.264932	1.8826526
Fgl1	0.32813305	0.21873042	0.3167991	0.2955848
Eya1	1.5074257	0.8813462	1.6439139	0.8645821
Gm49874	0.24503705	0.16110215	0.16360392	0.16368951
Impa2	1.1527106	0.6852809	1.0835279	1.0543623
Ppib	3.04252	2.7847185	3.0358334	2.9980042
Nt5dc3	1.6558266	1.4388512	1.9288481	1.5126255
Arhgef16	0.9723934	0.44993934	0.8787196	0.78538764
Timm9	2.1416626	1.632124	2.3087325	1.6305621
Dll4	2.1648815	1.590518	2.2366025	1.8228358
Nmnat2	1.325733	0.6916694	1.3048217	0.6860732
Wdr73	1.566645	1.2401005	1.6670245	1.2282205
Lmbrd2	2.1597347	1.5581056	2.2337668	1.9551879
Zfp438	1.3411026	0.8956702	1.286574	1.0267224
Ift122	1.6773478	1.408282	1.8369523	1.5539305
Clcf1	1.305498	0.9847249	1.536602	0.7834902
Aspm	-0.5170438	0.5540665	0.59781796	0.46932137
Btg3	2.2226698	1.9839392	2.5162795	2.1315067
Hist1h4i	0.9654731	0.59144545	1.0160428	0.65243006
Gm20485	0.24876994	0.15340264	0.11414977	0.200075
Rnf150	0.3903423	0.04868292	0.6951032	0.42792502
Git1	2.560707	2.0955653	2.6106696	2.3403308
Gm45309	0.32584688	-0.3022076	0.40869483	0.31495917
Lhfpl4	0.47630945	-0.32167378	0.5394393	0.4389527
Hnrnpm	2.7272644	2.3046176	2.8418293	2.5117989
E030013I19Rik	1.2084246	0.36888784	1.3436549	0.8991986
Slc35b2	2.078435	1.5914527	2.2234597	1.7209618
Pcdhb8	0.35924423	-1.0083292	0.38526317	0.29553458
Hdac8	1.2984439	1.0934515	1.6295614	1.0838007
Rsl1	1.258948	0.9074683	1.4518956	1.2071489
Nckap5l	1.4586896	1.0848583	1.370805	1.2747252
Trim41	1.9594091	1.4346474	2.082348	1.7527394
Zfp628	1.1828882	0.9246623	1.2382947	0.9798119
Gm49544	0.37970766	0.27238607	0.14553526	0.27251416
BC034090	1.1445726	0.7533834	1.2024324	1.0516393
Gm27003	0.4572295	-0.28748652	0.5208671	0.44472808
Gm29488	0.7292442	0.47132924	1.1470263	0.73205525
Acrbp	1.1386448	0.58260787	1.3683094	1.0258403
Gm13594	0.24256527	0.1171428	-0.23217349	0.17631546
Gm29358	0.7901772	0.48613262	0.7872394	0.6463733
Hdgfl3	2.6115916	2.1547937	2.8005548	2.2640204
A530032D15Rik	0.42121097	0.14754435	0.48801166	0.41888267
Ung	0.8036139	0.6160104	0.96653336	0.352212
Arhgap1	2.2593815	1.7895064	2.3724148	2.056233
Gm38190	0.9029965	0.581661	1.1092669	0.8023306
Gm16751	0.6155053	0.36582744	0.9043894	0.7543068
Brd2	2.8394167	2.4467013	2.7652462	2.4187045
Pim1	2.1967216	1.517309	2.2046337	1.8875568
Sf3b1	2.9038353	2.526657	2.833875	2.698278
Grk4	1.1291158	0.77178705	1.2720929	0.8573701
Sntb2	2.6289804	2.029142	2.7611825	2.4773514
Foxa2	1.4398061	0.9651436	1.5930775	1.1377335
Uqcrc1	2.7087	2.3977942	2.748562	2.5175676
Qtrt1	1.7992461	1.2884573	1.9542524	1.4467874
Nktr	2.5408375	2.265816	2.7264245	2.2686107
Rbl1	1.5512701	1.1429892	1.746104	1.4467539
Dffa	1.4960613	1.007498	1.682455	1.3493092
Ttc21b	1.7103418	1.2145327	1.7932837	1.3644681
Rnf19a	2.4008625	2.0735633	2.5268447	2.231011
Fanci	0.9371687	0.5269165	0.708566	0.6106856
Lockd	0.5417729	0.8520045	0.72227734	0.9941878
Dnajc7	2.3950965	2.1183414	2.6037908	2.1768193
Comp	1.6304575	1.3981161	1.7096856	0.9287008
Abl1	2.1339774	1.71269	2.2390065	1.848956
Hbb-bs	2.1163938	0.96499276	1.8417156	1.033139
Cdkl1	0.26916903	0.12557986	0.0007259548	0.18741982
Oas1c	0.87103915	0.8193668	1.247657	0.66472113
Kif21a	0.5669329	0.46634698	0.7735366	0.27204698
Ssbp4	2.7241254	2.2425191	2.751846	2.4417598
Vipr2	1.7534935	1.2127336	1.7637293	1.4196162
Tusc2	2.2140722	1.72553	2.3399336	1.9984599
Mrpl3	2.1785467	1.7516891	2.3215916	1.8219748
Npc1	2.0813591	1.5294374	2.2393763	1.8478662
Cabp4	0.28481698	0.1307798	-0.14597712	0.20766847
Gm12043	0.2762453	0.12401188	0.28219104	-0.66472524
2810457G06Rik	0.3570463	0.22449672	0.48214722	-0.1327037
Gm15927	0.39000016	0.2188835	0.3922662	0.02683984
Slc24a5	1.5175697	1.3320214	1.7858249	1.5257552
Csde1	2.9873512	2.6757605	3.1272266	2.8774946
Etv5	0.6094525	0.604562	0.7900865	0.66947323
Fbxw7	2.22427	1.8058609	2.3306682	1.9531497
Ccdc163	1.2355056	1.3146349	1.7572993	1.1688362
Rab3b	0.39337784	0.26449957	0.4057935	-0.53970444
Plbd2	2.625755	2.2114289	2.715643	2.4088602
Brpf1	1.8705143	1.2740312	1.7131182	1.0646306
Zfp9	1.5828998	1.2012645	1.7043408	1.4488022
Cbfb	2.3358004	1.5431489	2.4381871	1.9832709
Adh6a	0.3382422	-0.19301352	0.3788918	0.31128258
Gm42595	0.91686535	0.68454635	1.0644941	0.6399352
Gab1	1.9783787	1.5073793	2.0966218	1.7129694
Pkd2l2	0.091209546	0.20873329	0.37480843	0.08890341
Gm48914	0.1124848	0.21221966	0.26874447	0.264527
Specc1l	2.3843503	1.8335173	2.4674928	2.1092887
Ntan1	2.69731	2.301043	2.7496219	2.380657
Josd1	1.9169916	1.4900078	2.0022483	1.7489271
Cul1	2.6655567	2.2757826	2.7274895	2.406241
Sh3tc1	1.3483012	1.2151982	1.6703162	1.252711
Ggps1	2.3540063	1.8628013	2.386527	2.103518
Hectd1	2.7067473	2.4080913	2.7479222	2.4030905
Fads2	2.5405846	2.123507	2.6550748	2.2866786
Ralbp1	2.8244798	2.6503334	2.9989817	2.560358
Plekhm2	1.8826512	1.3972567	1.9106963	1.619075
Myl12b	2.9324808	2.7847202	3.1843343	2.7499416
Smg5	1.8621525	1.2556033	1.9010305	1.5750821
Fam107b	1.5221286	1.0400414	1.7636809	1.3904731
A430018G15Rik	1.388017	0.9848191	1.4221637	1.1160419
Pkd2l1	0.23632574	0.13696367	-0.1059847	0.1737506
Snrpb2	2.5698009	2.104935	2.6683123	2.2039516
Ints7	1.7010076	1.314897	1.9016478	1.3772153
Tmc7	1.7358547	1.2811158	1.977663	1.6771201
Pcdhga5	1.0138863	0.66807294	1.2522246	0.8005324
Gm4117	1.0446657	0.506735	1.236683	0.7959347
0610009L18Rik	1.5792826	0.8593968	1.4033977	1.105632
Zbtb8a	1.40185	1.0065318	1.6021557	1.0854342
Xiap	2.8328984	2.4609327	2.8715043	2.506785
Mettl7a2	0.25521937	0.13684781	0.16273195	0.1863743
Six3	0.49655592	0.5103055	0.8721486	0.4501857
1700001J03Rik	0.36495057	0.22529887	0.2530531	-0.18329382
Ilvbl	1.9718194	1.4200896	2.0723147	1.6846491
Gm17055	0.2779155	0.12796542	0.30556864	-0.26279533
Glb1	2.2390578	1.8037289	2.3510392	1.652865
Fbln1	1.1103685	0.9546071	1.17836	0.9292189
C230038L03Rik	-0.002595691	0.12210415	0.28805795	0.15689415
2410131K14Rik	1.2750194	0.96131206	1.1582606	0.94152653
Mrnip	0.89198023	0.5022882	0.9102338	0.8476168
Sfrp1	3.0460129	2.7700503	3.1642785	2.5928025
Nat8f4	0.1159219	-0.3532768	0.40691692	0.2749328
Hace1	1.8271863	1.5617764	1.9381468	1.5767032
Gm13571	0.4568404	0.30588004	-0.001853153	0.33451918
Cnot9	1.7475327	1.2190274	1.6552052	1.3649999
Dars2	1.3524946	0.9445384	1.3919684	1.1068251
Wdr48	2.0012863	1.7051615	2.3025458	2.0429013
Gm14393	0.26140317	0.13307421	-0.060552143	0.19090906
Arsb	1.8915329	1.4851547	1.8695236	1.4456431
Ache	-0.36077288	0.19086275	0.4083839	0.29924852
1810037I17Rik	3.0077438	2.7862515	3.1282916	2.7831104
Nkrf	1.0096085	0.7242606	1.1865689	0.84371984
Gm20682	0.50096375	-0.19850364	0.48168463	0.43442184
Cdc42se1	2.3181267	1.7983801	2.4534323	2.0972028
Lin54	1.7771817	1.300689	1.8586909	1.5349007
Acot9	2.4459279	2.0303009	2.5635712	2.2175796
Hist1h3g	0.042182364	0.17370477	0.29791427	0.17181632
Kif26a	2.5088947	1.2876498	2.593944	2.1360512
Rubcn	2.0619729	1.6174194	2.0287445	1.5242442
Flvcr1	1.5101286	0.99900174	1.5591458	1.0917175
Cdhr4	0.5790563	0.35053456	0.64018553	-0.11128494
Grik5	2.0715644	1.3072121	2.0812051	1.7532247
4930573H18Rik	0.31463483	0.32149282	0.67642605	0.3451319
Cpeb3	1.4049965	1.0964869	1.4613849	1.0771761
Zkscan14	1.1389374	0.6932658	1.3079262	1.2238451
Irx2	0.05496931	0.29599229	0.5902013	0.3493688
Pdzk1ip1	2.301887	1.8286663	2.4579794	2.0600593
1110002O04Rik	0.32931015	0.23492832	0.34610936	0.3203715
Col16a1	0.87020355	0.42335588	0.9556897	0.75692064
Rnd3	1.5332041	0.9592574	1.5368627	1.3317865
9830144P21Rik	0.2579326	-0.6267718	0.29950574	0.17244165
Actr6	2.0100248	1.5337374	2.1559181	1.7887901
A530016L24Rik	0.112867035	0.2839095	0.47243986	0.08882959
Zfp239	0.6605241	0.0030983686	0.54678726	0.32707807
Calcrl	2.9782674	2.5649993	2.917711	2.7850091
Nisch	2.762911	2.4772868	2.773963	2.601921
Zbtb9	1.0452809	0.6820419	0.9241282	0.72742754
Acad11	1.6249776	1.1981069	1.7272879	1.1857312
Cspg4	0.8742571	-0.48675007	0.84291553	0.5705251
E230029C05Rik	0.969033	0.59087336	0.92728835	0.2965947
R3hdm4	2.0972342	1.8118927	2.2504792	1.8555309
6430548M08Rik	1.4863127	1.237545	1.6683611	1.0001384
Bpgm	2.7586932	2.4959562	2.7636178	2.5901647
Parp6	1.631698	0.7387772	1.6835643	1.2407211
Fam120b	2.228654	1.7903484	2.295126	1.9439311
Med6	2.1662226	1.6585166	2.2734601	1.7989056
Tmem18	2.003375	1.496484	2.059541	1.6902926
Usp50	1.2601908	1.1289434	1.0725342	1.1080978
Pcdhga3	0.49400264	0.44045293	0.711916	-0.0075417096
Catsper3	-0.4097322	0.21846563	0.41423842	0.3116749
Plaur	2.381208	1.9736632	2.4095662	2.0263588
Zfp598	2.14331	1.6264979	2.2355604	1.7329811
Itsn2	2.6579676	2.3778903	2.7869244	2.4474578
Tmco6	0.97576785	0.8556417	1.2555304	0.6824116
Capg	2.59311	2.3825252	2.6615503	2.5635953
Pitpnm2os2	0.25694296	0.14151639	0.2711257	-0.42706656
Dennd1b	2.1151657	1.6435379	2.009463	1.8447217
Trim8	2.4882634	1.8098695	2.5150387	2.2029116
Mad1l1	1.7248455	1.1649767	1.6246054	1.4177263
Gm48730	0.7372537	0.47972542	0.6619706	0.49692708
Mfap5	3.008669	2.630829	3.019173	2.3095727
Tmod2	2.6006708	2.2437232	2.550392	2.382654
4933431K23Rik	-0.020777898	0.122525804	0.30747968	0.17089309
Adk	2.5208051	2.1839395	2.671196	2.2727046
Lck	0.51171494	0.31548315	0.4704388	0.16478063
Bloc1s4	2.2110376	1.7025064	2.3053443	1.9489176
Saa3	0.25155032	0.13687481	0.27607834	-0.34558722
Arrdc3	2.20639	1.8004905	2.266239	1.9811095
Srgap2	2.2547839	1.8546726	2.3269672	1.8183651
Atp6v0c	2.9446535	2.7031844	3.1044662	2.8129876
2300009A05Rik	2.2061968	1.5970324	2.2396235	1.6310592
Cep131	1.1174824	0.7446296	0.86246663	0.96879387
Psmd10	2.0437424	1.5114965	2.1252878	1.751507
Mapk12	2.3462968	1.902838	2.4546933	2.0076842
Cptp	1.6338544	1.2901238	1.7938697	1.3391329
Gm50166	0.35415232	0.2378614	0.4233774	-0.9752856
Gba2	1.1899219	0.7935326	1.2392297	0.9878998
G3bp2	2.8462439	2.5965443	2.9714978	2.633452
B3galnt2	1.8451462	1.365985	1.9788228	1.4611778
Mylk4	0.9661589	0.0016116956	0.90798956	0.70972276
5033403F01Rik	0.5879094	0.37031186	0.74569	-0.47104263
Stxbp3	2.439038	2.0667737	2.5444279	2.1761653
Sod3	2.8982232	2.6362221	2.99094	2.7761161
Gm50362	0.24038409	0.15913245	0.30889398	-0.4414675
Xrcc2	0.8957312	0.50657433	1.0304708	0.58368886
Coro1c	2.6658585	2.1126094	2.8102553	2.4393165
Sesn1	2.1245506	1.5626078	2.2503428	1.7332816
Snx4	2.2945917	1.8733454	2.4054346	2.002467
Pipox	1.6484712	1.3387445	1.9222646	1.557491
Klhl18	1.792524	1.3740777	1.9473577	1.6441556
1700066M21Rik	1.0573574	0.7440351	1.2303393	0.87358093
A530072M11Rik	0.7236781	-0.06410672	0.6863025	0.47951204
Tmem231	0.83660346	0.11558426	0.8129734	0.64597183
Traip	-0.26977804	0.12080731	0.2919576	0.19985487
Psmd6	2.5136106	1.9055551	2.6077223	2.319334
Gm15050	1.2936243	0.9946166	1.4973282	1.091212
Ctnnd1	2.8875632	2.4503226	2.957498	2.5831184
Fbxl3	2.6647227	2.2798293	2.7297707	2.2824945
B230216N24Rik	1.9902251	1.5413136	2.1367595	1.7579831
Slc10a1	0.65695727	0.52546304	1.0117968	0.671591
Triobp	2.4366844	2.0861576	2.5331929	2.0015202
Dydc2	0.25007704	-0.6641205	0.295156	0.18021373
Top3a	1.3274032	0.90795463	1.1659132	0.904619
Pcmtd1	2.7907472	2.501438	2.9461803	2.7414682
Hcfc1	2.264487	1.9092071	2.395236	1.9585997
Trappc12	2.0409122	1.566734	2.0930958	1.7317836
Wnt5b	-0.08080065	0.111846596	0.28801638	0.16655967
Gm44997	0.4245931	0.30169356	0.5540629	0.16902238
St3gal1	2.680514	2.0475473	2.6964493	2.351261
Tdp1	1.4809285	1.1688294	1.6587377	1.3866651
B020010K11Rik	0.93347096	0.57867104	1.0687233	0.66552526
Gm43915	0.24781965	-0.48515728	0.29719558	0.1906681
Gm35533	0.3350788	0.22680897	0.08484688	0.29281995
A330084C13Rik	0.60215485	0.32889584	0.43467364	0.2579264
Gm20633	0.39672413	-0.09406728	0.5110983	0.004017148
Tmem200b	0.28697512	-0.2084286	0.48510197	0.45373496
Gna14	1.2781137	0.81366634	1.2341506	0.7726442
Tspan15	-0.21209031	0.33376652	0.4978027	0.4001486
Fzd4	3.0695586	2.6753507	2.9872994	2.261123
Scamp2	2.4450336	1.7137033	2.5006132	2.171689
Gm46447	0.91377056	0.5737574	0.80939037	0.48479393
Hoxb7	2.32476	1.8153447	2.286869	1.9570088
Cdkn2aipnl	1.9558771	1.4649891	2.0691447	1.5768148
Gja5	2.9922025	2.268135	3.076073	2.736989
Nrp2	2.1393037	2.0274029	1.6998929	1.8755882
Socs2	2.6234958	2.021223	2.538843	2.3757825
Aff4	2.7155628	2.2485116	2.811186	2.5384862
Dpt	0.3483323	0.20682716	0.4127452	-0.8685219
Tmem95	0.3702935	0.26246715	0.40020669	-0.028459262
Polrmt	1.6237608	1.0246617	1.6368924	1.1853299
Slc35b1	2.3622925	2.0105143	2.4928591	1.9649003
Slc30a1	2.009987	1.4555608	2.1653388	1.727309
Tfpt	1.6465987	1.4843103	1.8658769	1.5052755
Cyp26b1	1.1772616	0.8003614	1.1089143	0.71123743
Appl1	2.465676	1.7742416	2.6470008	2.2849483
Slc4a7	2.1236389	1.5711671	2.2961988	2.0330057
Vwa8	1.7113642	1.1296809	1.8142803	1.3073075
Exosc9	1.9753749	1.3596021	2.0311954	1.5493236
Adgrg1	2.4756083	2.2391264	2.7167315	2.4111385
4930500M09Rik	0.15839323	0.22079444	0.34961408	0.29351246
Akr1e1	2.0032437	1.4185793	2.0276449	1.672362
Pwwp2b	2.2530155	1.7269603	2.2654989	1.8989921
Ccdc74a	0.45663282	-0.37258628	0.67456156	0.39796963
Rbm14	1.8840157	1.131835	2.0607433	1.4691488
Gm20539	-0.15108386	0.134607	0.2862765	0.17347918
Zbtb2	1.6319512	1.2830056	1.716355	0.93230975
Sox17	2.7155118	2.4255083	2.7626286	2.6012728
Smox	1.0153207	0.73537755	1.0897076	0.63396716
Spata1	1.1718471	0.5448128	1.1223329	0.99928296
Pax2	0.3232228	0.24532513	0.2924011	0.3315685
Polr3gl	2.3000252	1.8051116	2.320512	2.0060086
Tlr3	2.1401536	1.4066533	2.200246	1.8103099
