gene	log_min	log_max
Dctn6	-11.451564	-7.997686
Pknox2	-13.164074	-9.710196
Trim34a	-12.552757	-9.098879
Zc3h18	-12.037291	-8.583412
Inca1	-16.313957	-12.860079
Plac9b	-12.395289	-8.941411
Asxl3	-17.412569	-13.958691
Jag2	-12.848221	-9.394342
Pdzd4	-14.46813	-11.014252
Clk2	-12.869274	-9.415396
Dcdc2a	-13.62838	-10.174501
Utp15	-13.149889	-9.696011
Chaf1a	-14.579356	-11.125478
Smim15	-11.548938	-8.095059
Mrps35	-12.492588	-9.03871
Klf10	-11.316745	-7.862867
Taf12	-12.037291	-8.583412
Rpl36al	-9.429129	-5.975251
Ska1	-15.333128	-11.87925
Nynrin	-12.837858	-9.38398
Gm1976	-14.416837	-10.962958
Nedd9	-11.391546	-7.9376683
Itga5	-10.674417	-7.2205386
Bms1	-11.83662	-8.382742
Gata4	-15.215344	-11.761466
Dusp19	-13.3872175	-9.933339
Gm26901	-17.412569	-13.958691
Zfp280d	-11.8557415	-8.401863
Psma3	-10.243219	-6.7893414
1300017J02Rik	-16.313957	-12.860079
D930048N14Rik	-16.026274	-12.572396
mt-Co2	-6.928235	-3.4743576
Thnsl2	-14.011372	-10.557493
Ly96	-12.435836	-8.981957
Txndc17	-10.108053	-6.6541753
Trabd	-12.2251835	-8.771305
Gngt2	-10.840287	-7.3864093
5730409E04Rik	-12.485315	-9.031437
Erf	-12.230785	-8.776907
Tmem138	-13.500546	-10.046668
Zfp384	-12.658979	-9.205101
Fbxo10	-13.978582	-10.524704
Enc1	-12.89078	-9.436902
Gm43137	-17.412569	-13.958691
Repin1	-14.321527	-10.867648
Slc30a7	-12.300582	-8.846704
Fgl1	-16.719421	-13.265544
Eya1	-13.5413685	-10.08749
Gm49874	-17.412569	-13.958691
Impa2	-14.277075	-10.823196
Ppib	-9.366981	-5.913103
Nt5dc3	-13.135903	-9.682025
Arhgef16	-14.773512	-11.3196335
Timm9	-12.337396	-8.883517
