gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Dctn6	0.37	0.41	0.37	0.53	1.0	-472.14142	-458.55835	-468.63818	-463.39023	0.0	-3.8005936	-9.507816759144267	4.274887889568639	0.41630901287553645	194
Pknox2	0.38	0.07	0.07	0.78	0.6599999999999999	-103.322365	-101.250244	-99.7209	-104.36709	0.0	0.45371765	-12.084407655519568	1.5390522475476844	0.06223175965665236	29
Trim34a	0.4499999999999999	0.36	0.36	0.5	1.0	-180.00415	-173.99692	-178.96628	-174.59932	0.0	-2.3472881	-11.281139160863907	1.165607357219205	0.1072961373390558	50
Zc3h18	0.3	0.39	0.3	0.55	1.0	-345.3257	-337.0454	-341.91022	-340.13464	0.0	-2.2544532	-10.153586343149865	6.155132427760513	0.30257510729613735	141
Inca1	0.22	0.11	0.11	0.64	1.0	-30.151667	-31.46786	-29.679651	-31.73891	1.0	0.6893313	-13.706208646095915	2.203571117650827	0.012875536480686695	6
Plac9b	0.12	0.36	0.12	0.55	1.0	-242.93599	-236.82646	-240.78377	-238.3721	0.0	-1.9820716	-10.832303770356777	0.21247420619348567	0.1630901287553648	76
Jag2	0.31	0.25	0.25	0.56	1.0	-183.25113	-178.46567	-183.7784	-178.7458	0.0	-1.9566379	-11.500019272168485	0.7446631137217832	0.07725321888412018	36
Pdzd4	0.5	0.46	0.46	0.58	1.0	-56.606995	-55.113068	-56.26172	-55.333477	0.0	-0.5530817	-13.063602204268019	1.2154494879328839	0.023605150214592276	11
Clk2	0.46	0.38	0.38	0.51	1.0	-223.29536	-218.25655	-220.87442	-221.05461	0.0	-0.97314674	-10.941829777988294	4.071812691359869	0.15236051502145923	71
Dcdc2a	0.5	0.1	0.1	0.71	0.87	-55.54264	-55.815453	-55.636497	-55.953938	0.6559651	0.17862394	-13.090802007700697	1.3619741526767628	0.017167381974248927	8
Utp15	0.47	0.46	0.46	0.59	1.0	-174.33049	-168.35628	-173.51416	-169.88144	0.0	-1.9321983	-11.480597776844377	1.0072863649640524	0.10300429184549356	48
Chaf1a	0.21	0.37	0.21	0.45	1.0	-44.49491	-44.88045	-45.068085	-43.646275	0.0	-0.3685582	-13.234136402800239	3.587355351738035	0.019313304721030045	9
Smim15	0.47	0.36	0.36	0.57	1.0	-469.0231	-457.8067	-464.7518	-461.8781	0.0	-3.1030293	-9.593961038136074	4.73795628956881	0.4270386266094421	199
Mrps35	0.46	0.49	0.46	0.52	1.0	-249.33049	-241.39307	-246.10774	-243.65344	0.0	-2.4655104	-10.639767052207958	5.013946415104282	0.18454935622317598	86
Klf10	0.29	0.4	0.29	0.68	0.9599999999999996	-571.37366	-557.7739	-559.5225	-570.368	0.0	-0.43675965	-9.389100525890303	2.8803585402896026	0.4334763948497854	202
Taf12	0.4399999999999999	0.35	0.35	0.52	1.0	-319.55365	-315.55582	-321.6094	-315.2365	0.0	-1.8749095	-10.27959762599795	4.947192048923634	0.2510729613733906	117
Rpl36al	0.47	0.45	0.45	0.59	1.0	-960.79083	-926.62976	-953.0698	-932.7391	0.0	-12.182723	-7.817442616142451	0.5260491479030067	0.8304721030042919	387
Nynrin	0.48	0.4399999999999999	0.4399999999999999	0.51	1.0	-185.1816	-180.08496	-182.49864	-183.11028	0.0	-0.89956266	-11.275586011837103	5.157965796833732	0.11802575107296137	55
Gm1976	0.35	0.43	0.35	0.55	1.0	-58.294483	-54.853325	-56.110382	-56.885326	0.0	-0.611989	-12.933133370139451	3.780305411088033	0.023605150214592276	11
Nedd9	0.35	0.39	0.35	0.57	1.0	-481.52252	-461.51147	-477.11688	-467.2796	0.0	-6.1856213	-9.816274441567442	3.4482502871874816	0.315450643776824	147
Itga5	0.49	0.28	0.28	0.63	1.0	-672.8919	-656.34326	-670.41736	-657.57904	0.0	-6.6502934	-8.885085300234918	4.670810581904878	0.575107296137339	268
Bms1	0.48	0.4	0.4	0.65	1.0	-392.7339	-377.12637	-392.00592	-378.34235	0.0	-6.2501664	-9.997794561317868	4.099761186424047	0.33261802575107297	155
Gata4	0.15	0.3	0.15	0.59	1.0	-27.703457	-25.029835	-24.920053	-27.394602	0.0	-0.13413404	-13.822038881264952	0.4811171479226948	0.008583690987124463	4
Dusp19	0.46	0.36	0.36	0.42	1.0	-122.28772	-119.46877	-122.64476	-119.25798	0.0	-1.3157991	-11.830278423715326	1.470571213550942	0.07510729613733906	35
Gm26901	0.35	0.48	0.35	0.7	0.9	-5.102285	-5.4779806	-5.2826877	-5.3327584	0.5198168	0.10009337	-15.374293145409176	0.004338006811671846	0.002145922746781116	1
Zfp280d	0.16	0.37	0.16	0.74	0.7799999999999999	-344.34085	-338.17188	-342.7038	-339.72015	0.0	-2.0067432	-10.193896318764093	6.039424423944499	0.2575107296137339	120
Psma3	0.41	0.16	0.16	0.75	0.75	-709.6608	-708.0001	-701.61926	-715.11194	0.0	2.3673873	-8.638822156118234	1.9565639752851185	0.6695278969957081	312
1300017J02Rik	0.4399999999999999	0.2199999999999999	0.2199999999999999	0.57	1.0	-7.1372147	-7.0412993	-7.062136	-7.149082	0.0	0.0051539997	-15.373030909494144	4.832549029876883	0.002145922746781116	1
D930048N14Rik	0.18	0.34	0.18	0.6	1.0	-25.432379	-25.201061	-24.886232	-25.629675	0.0	0.08568463	-14.03377612027113	0.6155212713269229	0.006437768240343348	3
mt-Co2	0.45	0.4399999999999999	0.4399999999999999	0.55	1.0	-2496.845	-2405.8884	-2453.6946	-2446.9922	0.0	-21.65079	-5.188348511662369	3.5676118249016366	0.9935622317596566	463
Thnsl2	0.06	0.47	0.06	0.79	0.6299999999999999	-103.729416	-108.110756	-101.80498	-108.53851	1.0	2.0885644	-12.287853857847963	3.076751235227203	0.0536480686695279	25
Ly96	0.41	0.43	0.41	0.62	1.0	-212.4617	-206.00862	-209.43445	-209.22208	0.0	-1.4069508	-11.010098553582203	3.816278449855976	0.1459227467811159	68
Txndc17	0.35	0.3199999999999999	0.3199999999999999	0.59	1.0	-762.34766	-736.9385	-760.3303	-742.05457	0.0	-8.813177	-8.49442792583254	3.522303142521713	0.6738197424892703	314
Trabd	0.47	0.36	0.36	0.57	1.0	-275.40985	-263.02603	-274.24493	-263.27304	0.0	-5.27095	-10.533169529534455	1.130764517823735	0.20386266094420602	95
Gm32834	0.4	0.35	0.35	0.61	1.0	-7.44636	-7.8482537	-7.400573	-7.919673	1.0	0.20555715	-15.373975636231226	1.4468258234590916	0.002145922746781116	1
Gngt2	0.37	0.08	0.08	0.77	0.69	-619.9832	-614.0073	-601.9119	-627.31287	0.0	3.1832268	-9.43466849869856	1.4964129140853455	0.3562231759656652	166
5730409E04Rik	0.43	0.4499999999999999	0.43	0.57	1.0	-188.57182	-181.96964	-186.1535	-184.32101	0.0	-1.8461027	-11.278823095230766	2.520117772499432	0.12017167381974249	56
Erf	0.36	0.37	0.36	0.64	1.0	-333.07785	-324.5088	-329.7607	-327.04095	0.0	-2.6217904	-10.26258356944203	4.0905505821853545	0.27896995708154504	130
Tmem138	0.05	0.11	0.05	0.87	0.39	-116.324486	-126.03874	-115.45255	-127.42393	1.0	4.820426	-12.051375913510253	2.683898547585532	0.07081545064377683	33
Zfp384	0.47	0.1899999999999999	0.1899999999999999	0.61	1.0	-204.44872	-200.94023	-202.04593	-203.3959	0.0	-0.45722985	-11.14336881209194	4.494113718274821	0.15450643776824036	72
Fbxo10	0.5	0.47	0.47	0.41	1.0	-75.5369	-70.791504	-73.995094	-72.07633	0.0	-1.502907	-12.54392766952195	1.6791437653571473	0.03648068669527897	17
Gm16933	0.0799999999999999	0.46	0.0799999999999999	0.53	1.0	-9.417447	-11.706418	-10.369477	-10.619556	0.5840794	0.52206945	-14.670675072019739	0.0077090292115142844	0.004291845493562232	2
Enc1	0.1999999999999999	0.13	0.13	0.53	1.0	-231.0795	-234.64713	-235.18787	-234.65555	0.0	1.5530586	-10.893711518261668	1.054340080251297	0.15236051502145923	71
Gm43137	0.48	0.33	0.33	0.6	1.0	-7.612136	-7.607291	-7.66125	-7.5480547	0.0	-0.027830107	-15.390706267315846	1.3646956537784485	0.002145922746781116	1
1700001C19Rik	0.12	0.31	0.12	0.75	0.75	-18.287457	-20.808704	-18.96997	-20.404942	0.7292951	0.91961205	-14.107919472100436	6.029585646295027	0.006437768240343348	3
Repin1	0.25	0.28	0.25	0.57	1.0	-115.8271	-114.513756	-116.62196	-114.50442	0.0	-0.5744349	-12.031613367017936	5.499329877383872	0.06223175965665236	29
