gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.0229666	2.3054752	2.4301217	2.506795
Pknox2	0.8884358	1.5069233	1.1009085	-0.8569252
Trim34a	1.1396451	1.4672364	1.4524307	1.6019795
Zc3h18	1.8102318	2.1152155	1.847911	2.2462504
Inca1	-0.2647729	0.752937	0.75361013	-0.6730312
Plac9b	1.6019623	1.9057262	0.7087038	1.8229584
Jag2	0.9870881	1.6917527	0.5421217	1.5003809
Pdzd4	0.15651725	1.0151929	0.48706424	0.88200325
Clk2	1.422246	1.5531588	1.8065883	1.7725297
Dcdc2a	0.36259973	1.0991313	0.5630742	-0.51751703
Utp15	0.8794152	1.4814074	1.1092412	1.4974132
Chaf1a	0.45920086	-0.22152783	1.0615385	0.36190143
Smim15	2.0920002	2.1618528	2.3504055	2.387557
Mrps35	1.4796182	1.7939783	1.9424405	1.9227289
Klf10	1.6246163	2.4779394	2.491793	2.3795278
Taf12	1.6214155	2.0362158	1.775664	2.2558546
Rpl36al	2.7030244	2.886916	2.7643914	2.8920016
Nynrin	1.0215458	1.5582268	1.0914394	1.7404951
Gm1976	0.39603996	0.17065203	0.9903405	0.62579256
Nedd9	1.5060623	2.3463728	2.0923712	2.3643475
Itga5	2.1319797	2.2586799	2.260684	2.8888342
Bms1	1.6383489	2.0636969	2.057804	2.2693324
Gata4	0.31770158	0.2404846	0.21292372	-0.5452948
Dusp19	0.64576715	1.4363848	0.95850897	1.2446465
Gm26901	0.2874461	-0.07515427	-0.06557928	-0.080121286
Zfp280d	1.9451323	1.9656924	1.4781082	2.2324374
Psma3	2.1340508	2.9336154	2.636216	2.0494862
1300017J02Rik	-0.056813966	-0.051540717	-0.06333437	0.33149132
D930048N14Rik	0.5688118	0.296455	0.13272342	-0.46739048
mt-Co2	2.8336205	3.157483	2.632942	3.0867753
Thnsl2	-1.2833157	0.9444532	1.5286314	0.90839344
Ly96	1.2713441	1.7205822	1.5885763	1.6858437
Txndc17	2.3377326	2.704747	2.6451435	2.7774534
Trabd	1.4893823	2.0653243	1.8288591	1.7078624
Gm32834	-0.00023155194	0.43121243	-0.019892827	-0.063961774
Gngt2	1.9588721	2.6873178	1.9934087	0.32396397
5730409E04Rik	1.0843704	1.5466305	1.5289463	1.5540235
Erf	1.3886383	1.9453391	1.926736	2.2579813
Tmem138	-1.1520506	1.2154596	1.6205952	-0.15136482
