gene	bin_0	bin_1	bin_2	bin_3
Dctn6	2.062021	2.4605637	2.3903477	2.4930615
Pknox2	0.8941034	1.190791	1.1607059	0.85923594
Trim34a	1.2163802	1.4338934	1.6265839	1.7954277
Zc3h18	1.7536258	2.195554	2.0542524	2.2927935
Inca1	0.47912198	0.2850042	0.36795306	0.46583995
Plac9b	1.387522	1.8543997	1.5211816	1.984308
Jag2	1.1607454	1.4365383	1.2268645	1.6950567
Pdzd4	0.51110226	0.88919187	0.92088777	0.9616254
Clk2	1.496692	1.8426434	1.7551825	1.8913816
Dcdc2a	0.43513283	0.81114566	0.934945	0.7289516
Utp15	1.0858053	1.4177561	1.4380041	1.6241447
Chaf1a	0.6180027	0.6985091	0.56228423	0.9272395
Smim15	2.0406651	2.3457751	2.3039048	2.3820317
Mrps35	1.4666145	1.986154	1.9576086	2.023831
Klf10	2.0285094	2.5117218	2.353295	2.5572748
Taf12	1.9113288	2.154488	2.117005	2.1642175
Rpl36al	2.6835418	2.8634942	2.8187807	2.911465
Nynrin	1.3165001	1.6981581	1.4956814	1.6582326
Gm1976	0.5975474	0.8704131	0.704049	0.9406389
Nedd9	1.8615158	2.3873112	2.2127583	2.3319688
Itga5	2.3207402	2.4125633	2.4376512	2.7611222
Bms1	1.7942811	2.238914	2.1000485	2.282787
Gata4	-0.6993314	0.55140555	0.49331194	0.47909224
Dusp19	1.046379	1.2852566	1.3850819	1.3413044
Gm26901	-0.3349626	0.25559002	0.20768696	0.2545232
Zfp280d	1.5782056	2.1345322	1.9459355	2.1963515
Psma3	2.346872	2.7268484	2.6162536	2.4188187
1300017J02Rik	0.15359564	0.21477331	0.23455833	-0.124354295
D930048N14Rik	-0.2795057	0.4501925	0.40832272	0.5189365
mt-Co2	2.658665	3.1074796	2.226589	2.933768
Thnsl2	0.6169122	1.2692815	0.8743607	1.3758334
Ly96	1.3926375	1.7844417	1.6338441	1.6889805
Txndc17	2.545922	2.8326976	2.6568894	2.8269155
Trabd	1.4915057	1.9768623	1.936246	1.8430196
Gm32834	0.1758104	0.020040013	0.24432811	0.23172742
Gngt2	2.1211038	2.1375585	2.2701023	1.397276
5730409E04Rik	1.2845069	1.7149504	1.5826815	1.8280249
Erf	1.6438463	2.1848607	2.0091455	2.2571125
Tmem138	0.7077599	1.3272521	1.0825176	1.0714244
Zfp384	1.3383342	1.5307146	1.744324	1.7142987
Fbxo10	0.6286463	1.0743098	0.9512836	0.94441736
Gm16933	-1.2652918	0.37670577	0.30819952	0.3941319
Enc1	1.1813787	1.8445358	1.7577837	1.0277972
Gm43137	0.12072524	-0.20558122	0.24412712	0.2779366
1700001C19Rik	-0.9672494	0.508538	0.48541015	0.64699876
Repin1	0.8316605	1.1104299	1.2478424	1.3218822
Slc30a7	1.6502508	2.0395613	1.9162463	2.08244
Fgl1	0.1564622	0.23541997	-0.17505987	0.250923
Eya1	0.7237567	1.1772687	1.1368824	1.2465681
Impa2	0.3091501	1.022718	0.91316116	0.93848014
Ppib	2.5681887	2.9740777	2.9074967	2.8294628
Nt5dc3	0.97967577	1.5258942	1.2597159	1.4765555
Arhgef16	-0.18777224	0.46429452	0.50228494	0.3064512
Timm9	1.5145155	1.8847021	1.849645	1.9925537
Dll4	1.5363547	1.661461	1.6723067	1.7459135
Nmnat2	0.62685	0.99658084	0.9859427	1.0641237
Wdr73	1.1285903	1.4472272	1.5677015	1.7232263
Lmbrd2	1.2994566	1.7714456	1.6549934	1.8364961
Zfp438	0.5305521	0.88927084	0.7495729	0.89256907
Ift122	1.1264507	1.3115878	1.4473412	1.5140419
Morn5	-0.21712227	0.061481133	0.31983894	0.36969322
Clcf1	0.7890455	1.3036513	1.3475673	1.3273298
