gene	log_min	log_max
Dctn6	-11.204464	-7.750586
Pknox2	-13.564728	-10.110849
Trim34a	-12.91959	-9.465712
Zc3h18	-11.820978	-8.3671
Inca1	-15.238705	-11.784826
Plac9b	-12.415343	-8.961465
Jag2	-13.060172	-9.606294
Pdzd4	-14.632568	-11.17869
Clk2	-12.576117	-9.122238
Dcdc2a	-14.545557	-11.091679
Utp15	-13.07922	-9.625341
Chaf1a	-14.727879	-11.274
Smim15	-11.303617	-7.8497386
Mrps35	-12.303076	-8.849197
Klf10	-11.014307	-7.560429
Taf12	-11.865678	-8.411799
Rpl36al	-9.5377035	-6.0838256
Nynrin	-12.840809	-9.38693
Gm1976	-14.465514	-11.011636
Nedd9	-11.439477	-7.985599
Itga5	-10.527674	-7.073796
Bms1	-11.641392	-8.187513
Gata4	-15.421026	-11.967148
Dusp19	-13.392878	-9.938999
Gm26901	-17.030464	-13.576586
Zfp280d	-11.871408	-8.41753
Psma3	-10.289945	-6.8360667
1300017J02Rik	-17.030464	-13.576586
D930048N14Rik	-15.64417	-12.190291
mt-Co2	-7.083246	-3.6293688
Thnsl2	-13.663168	-10.20929
Ly96	-12.686659	-9.23278
Txndc17	-10.135794	-6.6819158
Trabd	-12.226443	-8.772565
Gm32834	-17.030464	-13.576586
Gngt2	-10.971341	-7.517463
5730409E04Rik	-12.856076	-9.402198
Erf	-11.865678	-8.411799
Tmem138	-13.316892	-9.863013
Zfp384	-12.699731	-9.245852
Fbxo10	-14.140092	-10.6862135
Gm16933	-16.337317	-12.883438
Enc1	-12.487169	-9.033291
Gm43137	-17.030464	-13.576586
1700001C19Rik	-15.64417	-12.190291
Repin1	-13.596477	-10.142598
Slc30a7	-12.194182	-8.740304
Fgl1	-17.030464	-13.576586
Eya1	-13.734627	-10.280748
Impa2	-14.257875	-10.803997
Ppib	-9.368937	-5.915059
Nt5dc3	-13.292794	-9.838916
Arhgef16	-15.931851	-12.477973
Timm9	-12.405491	-8.951612
Dll4	-12.5996475	-9.145769
Nmnat2	-14.19725	-10.743372
Wdr73	-13.118441	-9.664562
Lmbrd2	-12.564556	-9.110678
Zfp438	-14.465514	-11.011636
Ift122	-13.159263	-9.705384
Morn5	-16.337317	-12.883438
Clcf1	-13.504104	-10.050225
Aspm	-17.030464	-13.576586
Btg3	-11.596742	-8.142863
Hist1h4i	-15.084554	-11.630675
Rnf150	-15.084554	-11.630675
Git1	-11.645968	-8.19209
Lhfpl4	-15.931851	-12.477973
Hnrnpm	-10.702527	-7.248649
E030013I19Rik	-14.632568	-11.17869
Slc35b2	-12.26829	-8.814411
Pcdhb8	-15.64417	-12.190291
Hdac8	-13.180316	-9.726438
Rsl1	-14.086025	-10.632147
Nckap5l	-13.663168	-10.20929
Trim41	-12.661016	-9.207138
Zfp628	-13.734627	-10.280748
Gm49544	-17.030464	-13.576586
BC034090	-14.391407	-10.937529
Gm27003	-16.337317	-12.883438
Gm29488	-14.951022	-11.497144
Acrbp	-13.85241	-10.398532
Gm13594	-15.64417	-12.190291
A330040F15Rik	-16.337317	-12.883438
Gm29358	-14.951022	-11.497144
Hdgfl3	-11.216333	-7.7624555
A530032D15Rik	-15.421026	-11.967148
Ung	-14.83324	-11.379361
Arhgap1	-12.033252	-8.579373
Gm38190	-14.632568	-11.17869
Gm16751	-15.421026	-11.967148
Brd2	-10.434684	-6.980806
Pim1	-12.320933	-8.867055
Sf3b1	-10.185649	-6.731771
Grk4	-14.322413	-10.868535
Sntb2	-10.740748	-7.2868705
Foxa2	-15.421026	-11.967148
Uqcrc1	-10.969007	-7.5151286
Qtrt1	-13.159263	-9.705384
Nktr	-10.897066	-7.443188
Rbl1	-13.475116	-10.021237
Dffa	-13.392878	-9.938999
Ttc21b	-13.060172	-9.606294
Rnf19a	-11.562404	-8.108525
Fanci	-15.931851	-12.477973
Lockd	-14.727879	-11.274
Dnajc7	-11.525132	-8.071254
Comp	-13.269264	-9.815386
Abl1	-12.553127	-9.099249
Hbb-bs	-13.596477	-10.142598
Oas1c	-14.19725	-10.743372
Kif21a	-14.83324	-11.379361
Ssbp4	-11.092928	-7.63905
Vipr2	-13.07922	-9.625341
Tusc2	-12.186276	-8.732398
Mrpl3	-12.311965	-8.858087
Npc1	-12.386073	-8.932195
Gm12043	-15.64417	-12.190291
2810457G06Rik	-15.931851	-12.477973
Slc24a5	-13.564728	-10.110849
Csde1	-9.890803	-6.4369254
Etv5	-14.951022	-11.497144
Fbxw7	-12.006583	-8.552705
Ccdc163	-13.629267	-10.175388
Rab3b	-17.030464	-13.576586
Plbd2	-11.149931	-7.696053
Brpf1	-12.673755	-9.219876
Zfp9	-12.856076	-9.402198
Cbfb	-12.376504	-8.922626
Adh6a	-16.337317	-12.883438
Gm42595	-14.322413	-10.868535
Gab1	-12.405491	-8.951612
Pkd2l2	-17.030464	-13.576586
Gm48914	-15.238705	-11.784826
Specc1l	-11.752349	-8.2984705
Ntan1	-11.034012	-7.580134
Josd1	-12.386073	-8.932195
Cul1	-11.161167	-7.707289
Sh3tc1	-13.475116	-10.021237
Ggps1	-11.843079	-8.3892
Hectd1	-10.825906	-7.372028
Fads2	-11.762606	-8.308727
Ralbp1	-10.288763	-6.834885
Plekhm2	-12.810956	-9.357078
Myl12b	-9.2241745	-5.7702966
Smg5	-12.871581	-9.417703
Fam107b	-13.180316	-9.726438
A430018G15Rik	-13.939422	-10.485543
Snrpb2	-11.529205	-8.075327
Ints7	-12.987412	-9.533534
