gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Dctn6	0.3299999999999999	0.36	0.3299999999999999	0.52	1.0	-267.71478	-254.86055	-260.1053	-260.75803	0.0	-3.021281	-9.633461180794336	0.7464468327170923	0.41509433962264153	110
Pknox2	0.48	0.37	0.37	0.54	1.0	-60.683594	-55.96747	-61.012474	-56.098225	0.0	-1.9914005	-12.155146953172043	5.15649140925861	0.052830188679245285	14
Trim34a	0.2099999999999999	0.36	0.2099999999999999	0.67	0.9899999999999998	-106.182884	-103.773766	-103.87826	-106.382545	0.0	0.08671178	-11.215152719112307	0.4057480357763632	0.11320754716981132	30
Zc3h18	0.46	0.49	0.46	0.56	1.0	-165.18999	-154.16125	-158.02774	-160.92398	0.0	-1.8527031	-10.427280934351469	3.5970646162700435	0.19622641509433963	52
Inca1	0.26	0.46	0.26	0.61	1.0	-5.3327394	-5.6500874	-5.4586678	-5.555835	0.6031851	0.09688911	-14.815657766895752	0.12792619810779815	0.0037735849056603774	1
Plac9b	0.3	0.26	0.26	0.54	1.0	-143.32304	-139.35898	-142.78316	-139.9511	0.0	-1.4644185	-10.669458535970785	5.513871163891501	0.18867924528301888	50
Asxl3	0.42	0.27	0.27	0.64	1.0	-21.48703	-21.050743	-21.596985	-20.724438	0.0	-0.33118963	-13.467683207643933	4.844916778479479	0.01509433962264151	4
Jag2	0.26	0.2099999999999999	0.2099999999999999	0.63	1.0	-138.66359	-135.48557	-137.38512	-136.55038	0.0	-0.9177532	-11.077890083463803	5.4716460618686495	0.0830188679245283	22
Pdzd4	0.39	0.17	0.17	0.73	0.8099999999999999	-21.024883	-21.639486	-20.827631	-21.552647	1.0	0.22920471	-13.496880563717513	4.520472450370403	0.011320754716981131	3
Clk2	0.5	0.4399999999999999	0.4399999999999999	0.61	1.0	-128.41104	-122.345604	-127.955765	-122.694664	0.0	-2.4825912	-10.873281114878765	4.972552249261616	0.15849056603773584	42
Dcdc2a	0.4	0.38	0.38	0.55	1.0	-39.37313	-39.08166	-38.9759	-39.356133	0.0	-0.007382264	-12.833415571644771	0.49894038529834184	0.022641509433962263	6
Utp15	0.45	0.15	0.15	0.68	0.9599999999999996	-89.21611	-88.643166	-88.3857	-89.62225	0.0	0.17638575	-11.570440806122686	4.7334855040014885	0.09433962264150944	25
Chaf1a	0.37	0.4499999999999999	0.37	0.53	1.0	-38.548416	-37.209663	-37.599995	-38.198486	0.0	-0.15197258	-12.847997365250368	5.732592665844397	0.022641509433962263	6
Smim15	0.22	0.43	0.22	0.66	1.0	-249.18613	-247.2518	-249.7834	-250.18106	0.0	0.43209437	-9.784020234051725	2.7329127593452687	0.35094339622641507	93
Mrps35	0.35	0.29	0.29	0.67	0.9899999999999998	-145.07906	-142.0239	-144.28642	-143.4463	0.0	-0.70909494	-10.745199954469044	2.4581602932179787	0.19245283018867926	51
Klf10	0.48	0.47	0.47	0.44	1.0	-277.53925	-268.7708	-276.66083	-269.9004	0.0	-3.3175125	-9.551456710391477	3.7641146883554035	0.4037735849056604	107
Taf12	0.47	0.4399999999999999	0.4399999999999999	0.5	1.0	-190.28043	-186.87065	-190.0755	-186.92874	0.0	-1.4556181	-10.162509225849305	5.322154076668327	0.25660377358490566	68
Rpl36al	0.41	0.27	0.27	0.49	1.0	-539.95447	-519.05396	-533.8524	-525.61163	0.0	-6.229014	-7.803688535477526	2.0182206037121553	0.8377358490566038	222
Ska1	0.39	0.4	0.39	0.53	1.0	-6.200984	-6.4876976	-6.1919312	-6.4780974	1.0	0.12034883	-14.788204040911248	4.879640947296968	0.0037735849056603774	1
Nynrin	0.39	0.4399999999999999	0.39	0.51	1.0	-128.16464	-122.616394	-126.47579	-124.38523	0.0	-1.6413774	-10.85361277993459	0.22098561757138935	0.1509433962264151	40
Gm1976	0.29	0.4599999999999999	0.29	0.48	1.0	-35.518845	-34.507233	-36.088943	-34.070686	0.0	-0.6289271	-13.060219411101626	3.419198207651823	0.022641509433962263	6
