gene	bin_0	bin_1	bin_2	bin_3
Dctn6	1.8438425	2.0369818	1.993605	1.7618196
Pknox2	0.75825286	0.27775168	1.057433	0.4686053
Trim34a	1.2593068	1.2886416	0.8827862	1.0169277
Zc3h18	0.98480296	1.6679587	1.6146077	1.7828435
Inca1	0.005560264	-0.023510728	-0.11089105	-0.06851894
Plac9b	1.5262237	1.1013062	1.1857313	1.5592803
Asxl3	0.4930812	-0.31968006	0.52471405	0.21076465
Jag2	1.0835232	1.1111023	0.73981863	1.5450166
Pdzd4	-0.17636687	-0.38478518	0.2680123	0.6161895
Clk2	1.1089185	1.2526853	1.4061245	1.5190899
Dcdc2a	0.64215404	0.2920422	0.5020629	-0.029843671
Utp15	0.74652433	0.36628366	1.028277	1.2682424
Chaf1a	0.18386783	0.34603232	-0.23365527	0.6366063
Smim15	0.97804976	1.9423193	2.205354	1.7180742
Mrps35	0.9797135	1.4214467	1.78756	0.86435956
Klf10	1.3680322	2.09359	1.9251788	2.1411362
Taf12	1.6785768	1.545141	1.9073132	1.6030792
Rpl36al	2.3170497	2.746396	2.8573852	2.4073071
Ska1	-0.027318615	-0.017148867	-0.07399502	0.112402126
Nynrin	1.3625005	1.3189719	1.5215796	1.4290942
Gm1976	0.28160658	-0.58733225	0.91702336	0.034446012
Nedd9	1.155554	1.8310866	2.2695284	1.9953729
Itga5	2.0814338	1.9361503	2.4824922	2.2046497
Bms1	1.2742535	1.4937161	1.675197	1.98209
Gata4	-0.040467806	0.4109436	-0.21166237	-0.2464121
Dusp19	0.51293975	0.7815833	1.163137	0.639492
Zfp280d	1.442412	1.6550968	1.7648277	1.8887534
Psma3	2.0406427	2.5341647	2.497642	2.0104575
D930048N14Rik	0.2293526	0.7349693	-0.022252757	0.3119137
mt-Co2	2.920901	2.9728594	2.93633	2.8034756
Thnsl2	0.6459919	0.41632923	1.1601044	-0.36897966
Ly96	1.2612482	1.4519135	-0.29054463	1.1656119
Txndc17	2.392124	2.2320044	2.6247215	2.1483853
Trabd	1.2045141	1.2620779	1.6202054	1.3428341
Gngt2	1.9305637	2.28334	1.6309857	1.9938297
5730409E04Rik	-0.32406214	1.5478079	1.4911356	1.097244
Erf	0.8232797	1.1903989	1.9736646	1.8111699
Tmem138	1.1237371	0.5985731	1.0626856	0.52606773
Zfp384	0.74119735	0.7586125	0.95832497	1.2265818
Fbxo10	0.790387	0.5173088	0.24455974	0.68421906
Gm16933	-0.095174044	0.3425379	0.21957555	-0.10940859
Enc1	1.4110334	1.0077109	1.1373702	1.4190187
Gm43137	-0.09846412	0.1486242	-0.08360692	-0.050368357
1700001C19Rik	-0.013193978	-0.08070001	0.42618507	-0.04434789
Repin1	-0.55374134	0.5670445	1.1284589	0.07783928
Slc30a7	1.0595956	1.6576589	1.6884353	1.5700842
Fgl1	0.21108554	-0.053401206	-0.10552316	-0.11600223
Eya1	1.0107433	0.63579714	0.5730183	0.9754504
Impa2	0.6445932	0.70655125	-1.2556725	0.88436407
Ppib	2.6612415	2.7904782	2.5703232	2.2559125
Nt5dc3	-0.035043675	0.60119325	0.7739822	1.068077
Timm9	1.2242578	1.263778	1.6027539	1.5861148
Dll4	1.1544015	1.3602161	1.3181247	0.77556
Nmnat2	0.6287329	0.7038018	0.52501464	0.1384617
Wdr73	0.2547857	1.2588695	-0.9000876	1.1383772
Lmbrd2	0.6115055	1.7857507	1.3359133	1.2713351
Zfp438	0.060991317	0.7084052	0.58665085	0.8207798
Ift122	0.5830008	0.89145356	0.73882234	1.0988034
Morn5	-0.020884197	0.111688904	-0.061856363	-0.078131355
Clcf1	-0.0036793817	0.51299644	0.41751868	-0.41158792
Aspm	-0.18961655	-0.20413816	-0.34427103	0.5760398
Btg3	1.4899659	1.5814631	1.7722784	1.7369992
Hist1h4i	-0.120772816	0.36997876	0.10566585	-0.27601495
Rnf150	-0.17585047	0.31379825	0.36315182	0.36927798
Git1	1.8233526	1.825873	1.8756598	1.7936811
Gm45309	-0.029066382	-0.08836904	-0.0892122	0.114966415
Lhfpl4	-0.09402592	-0.048113666	0.4202596	-0.09334192
Hnrnpm	2.0317967	2.053196	2.1955209	2.3145988
E030013I19Rik	-0.15552758	-0.18204647	0.44056565	0.5751952
Slc35b2	-0.50255245	1.7897481	1.3934858	-0.64139616
Pcdhb8	-0.014990543	0.14349051	-0.07947992	-0.024971835
Hdac8	0.6139224	0.7393969	1.0532887	1.0611742
Rsl1	-0.52006567	0.9988908	-0.4224019	0.8733983
Nckap5l	0.15396157	0.6614276	1.091134	0.56712013
Trim41	0.672007	1.6952107	0.3866902	1.4727355
Zfp628	0.66671395	0.27981874	0.9521324	0.1726451
BC034090	0.7233311	-0.47874895	0.6407621	0.5197722
Gm27003	-0.082863204	-0.09338099	0.33203793	-0.014207639
Gm29488	0.2471968	-0.051125918	-0.04774988	-0.06600228
Acrbp	0.43970758	1.0246055	0.85288197	0.6864315
A330040F15Rik	-0.046001278	-0.054573193	-0.040147576	0.49019858
Gm29358	0.55873436	-0.4981922	0.5657531	0.032183893
Hdgfl3	1.989611	2.160862	1.7710532	2.0965025
A530032D15Rik	-0.059461087	-0.04216799	0.37791145	-0.057924457
Ung	-0.20760974	0.18892646	0.500039	0.2666037
Arhgap1	1.0642251	1.132464	1.6128021	1.1336803
Gm38190	-0.08866062	0.5277074	0.80971926	1.030367
Gm16751	-0.03518712	0.43653157	-0.10430047	-0.03987734
Pstpip2	-0.04837351	0.20307356	-0.07932416	-0.030148353
Brd2	2.0568414	1.7109975	2.0923502	2.3214705
Pim1	1.0774404	1.1990043	0.09831411	1.9049205
Sf3b1	2.1219122	2.3616798	2.7660148	2.1921368
Grk4	0.46194473	0.55125636	0.572519	0.8616502
Sntb2	1.6495055	2.0311868	2.4172697	2.23592
Foxa2	-0.2363858	-0.3701647	0.65571254	0.59545
Uqcrc1	1.6893678	2.2498753	2.1664805	2.0846074
Qtrt1	0.5837421	0.55136263	1.0384136	1.0469842
Nktr	1.285699	1.8430591	2.4734216	2.2773538
Rbl1	1.0182455	0.31418487	0.091749445	0.73693264
Dffa	0.14875996	1.2737067	0.90830225	0.85262096
Ttc21b	-0.5070391	1.2227105	0.96277285	0.35374713
Rnf19a	1.3474312	1.8701929	2.06582	1.7169552
Fanci	-0.022935968	-0.06774306	-0.068114296	0.1150667
Lockd	0.042296924	-0.04719781	-0.036157064	-0.04318539
Dnajc7	1.8703296	1.4289435	1.723822	1.9655533
Comp	0.7265137	1.1221744	-1.2158048	0.7449822
Abl1	1.1098713	1.3546205	1.4037715	1.178972
Hbb-bs	-0.681268	0.98883843	0.901099	0.3558285
Oas1c	0.6433834	0.36718637	0.71567124	0.14557049
Kif21a	0.41350952	0.3382271	-0.37640053	0.33004645
Ssbp4	1.9016694	1.9826083	2.3264778	1.6617746
Vipr2	0.05362505	1.2489752	1.3491677	0.6873879
Tusc2	1.0843651	1.4306656	1.7781165	1.7131592
Mrpl3	1.473019	1.2812467	1.5109665	1.6323323
Npc1	1.1509666	0.91691506	1.63712	1.7356719
Gm12043	-0.03864699	0.35094112	-0.064578645	-0.051891167
Gm15927	-0.017030494	0.4358752	-0.047213007	-0.052292027
Slc24a5	0.07442535	0.9346842	0.6420332	0.53693724
Csde1	2.4074008	2.1846228	2.3175848	2.6564252
Etv5	-0.06813993	0.26046616	-0.12656665	-0.035655953
Fbxw7	1.2463527	1.6518172	1.5408553	1.6603756
Ccdc163	0.5615526	-0.020817198	0.6464087	0.8814101
Rab3b	-0.02014304	0.2724316	-0.056426086	-0.058964707
Plbd2	1.9968379	1.5312732	2.0784836	2.021282
Brpf1	1.2465308	-0.11387341	1.19412	1.2663971
Zfp9	0.98914707	0.7984407	1.1723241	1.1941315
Cbfb	0.8825301	1.6170186	1.3601602	1.0623703
Gm42595	-0.110145666	0.39258343	-0.16622108	-0.14638166
Gab1	0.5401363	1.0926145	1.412134	1.7692927
Pkd2l2	-0.10904103	0.34263733	0.5046457	-0.118054494
Gm48914	-0.01592239	-0.0595802	-0.060205452	0.15029743
Specc1l	1.6413593	1.5020338	0.7558053	1.9632783
Ntan1	1.7288424	1.7511197	2.1183624	2.1978846
Josd1	1.0365741	0.22439757	1.5834405	1.5758184
Gm5608	-0.19892184	0.22853312	-0.34420595	0.42297742
Cul1	1.716416	2.2546976	1.8652931	1.9708527
Sh3tc1	0.012910727	1.1416308	-0.018332928	0.6932073
Ggps1	1.5252396	1.3979744	1.7752805	1.6918325
Hectd1	1.7336037	2.1250548	2.4049506	2.0763206
Fads2	1.4753014	1.9943283	1.9353071	1.6570233
Ralbp1	2.1210752	2.4755507	2.331955	2.3702447
Plekhm2	0.66440755	1.0909479	1.632352	1.0737394
Myl12b	2.51508	2.5708435	2.568551	2.7282543
Smg5	1.049592	1.2563819	0.3568533	1.1748595
Fam107b	0.9601105	0.95451814	1.0522628	0.7151995
A430018G15Rik	0.5807786	0.7784602	0.99873495	-0.8210985
Snrpb2	1.448261	1.8125578	2.1442115	1.5585477
Ints7	0.86065286	1.219745	0.91786224	1.4780052
Tmc7	0.07621619	0.35586432	0.5906536	1.0113132
Pcdhga5	0.13499413	0.0039359783	0.45859975	0.8781713
Gm4117	0.90537786	0.7646768	-1.2216092	0.777235
0610009L18Rik	-0.60668033	0.49620786	0.72800815	0.668083
Zbtb8a	0.5923319	0.7340837	0.77134615	0.7463347
Xiap	1.6569985	2.061596	2.4598103	2.441364
Six3	0.02061569	0.20814006	1.2153898	-1.1169466
1700001J03Rik	-0.07517325	0.4813372	-0.21500118	-0.15907362
Ilvbl	1.0881389	1.2271215	1.0414191	0.6768375
Glb1	1.5847214	1.2582673	1.7906404	1.6109018
Fbln1	0.83360076	1.045439	0.8463656	-1.2207876
C230038L03Rik	0.30498192	-0.043014962	-0.0927312	-0.0126396185
2410131K14Rik	-0.14517777	0.8887637	1.0908582	0.11350715
Mrnip	0.41477394	-0.003163002	-0.20342529	-0.16042264
Sfrp1	2.5852249	2.9563885	2.7779434	2.3920999
Hace1	0.9440634	0.91685325	1.2326806	0.9688388
Cnot9	0.8037712	-0.4146874	1.0155731	1.2444452
Dars2	0.78254145	0.58259225	0.66187745	0.41083977
Wdr48	1.3399203	1.6584395	1.4698023	1.2880647
Arsb	-1.422388	1.1840158	1.427055	0.79572743
1810037I17Rik	2.4912574	2.541381	2.7114418	2.5004811
Nkrf	0.031257115	-0.115569524	0.5024633	1.1693627
Gm20682	-0.03497611	0.34086463	-0.19105226	0.08477822
Cdc42se1	1.4042572	1.559552	1.7643912	1.5143218
Lin54	0.51042825	1.2439398	1.0804831	0.85258335
Acot9	1.6076208	1.9543718	1.2730755	1.5819113
Kif26a	1.2749399	1.7401589	1.4404571	2.1648285
Rubcn	0.864708	0.62680006	0.9959335	1.0474931
Flvcr1	0.6935191	0.6237307	-0.28440347	0.6684644
Cdhr4	-0.27947363	0.47164696	0.21656057	-0.474611
Grik5	1.13682	0.9268225	1.3800159	0.41985548
4930573H18Rik	-0.05752818	-0.04431111	0.17074555	-0.08177962
Cpeb3	-0.012479548	0.83719087	0.62875324	0.41292623
Zkscan14	0.611615	0.76389885	0.5257066	0.66384715
Irx2	0.08697714	-0.02741018	-0.085556686	-0.054432105
Pdzk1ip1	1.5995318	1.4092656	2.0099304	1.5565721
1110002O04Rik	-0.16726008	0.37487605	-0.20310704	0.32217902
Col16a1	-0.0997021	-0.13810426	0.57222974	-0.14521438
Rnd3	-1.277488	0.68266946	1.5486871	0.9595152
Actr6	1.3112881	0.8676015	1.3338494	1.5137969
Calcrl	2.0405264	2.3487856	2.5551782	2.1469846
Nisch	1.8466597	2.30904	2.3175662	2.1671968
Zbtb9	0.40030992	0.2552515	0.1735434	-0.4944123
Acad11	-0.08535297	0.94206876	0.83837306	0.7196878
Cspg4	-0.47067952	0.23532334	1.0288332	0.13241062
E230029C05Rik	-0.14523722	0.31390858	0.5193017	-0.15475085
R3hdm4	1.6488413	1.5138787	1.1989095	1.3580502
6430548M08Rik	0.76312417	-0.1374413	1.1103308	0.90780437
Bpgm	2.4341016	2.4691527	2.2145114	1.7286144
Parp6	0.958417	-0.21588677	1.5738245	1.0991359
Fam120b	1.4292936	1.5620028	1.2568023	1.6668129
Med6	1.2380512	1.4272598	1.6042203	1.4043072
Tmem18	1.1377217	1.5205766	1.2469274	0.8743368
Usp50	0.6966751	0.8422522	1.08502	-0.69013757
Plaur	1.1500789	-0.097072504	1.7466799	1.335987
Zfp598	0.710928	1.4259315	1.3866878	1.7044483
Itsn2	1.7459056	1.7521371	2.2152803	2.2730079
Tmco6	0.47191322	0.6673295	1.2254275	-0.56583065
Capg	2.1601667	1.8845133	1.9089277	1.8557192
Dennd1b	1.0192186	1.2365888	1.638411	1.4025899
Trim8	1.5222081	1.4323674	1.8172177	1.9738568
Mad1l1	0.8503435	0.71886337	0.92540264	0.61204505
Gm48730	-0.025851935	-0.03179091	-0.099052265	0.19911438
Mfap5	2.4162664	2.5627904	2.4588306	2.5361376
Tmod2	1.5843768	2.1453218	2.2808533	2.127286
Asgr1	-0.054784603	-0.03889545	-0.07985462	0.4295504
Adk	1.1268052	2.0882156	2.3550477	2.0980341
Lck	0.43188453	-0.2277868	-0.32979202	0.6189005
Bloc1s4	1.5774246	1.3892503	0.7713283	1.1191908
Arrdc3	0.8999958	1.5107502	0.25380957	1.9277093
