gene	bin_0	bin_1	bin_2	bin_3
Dctn6	1.7501603	1.9945087	2.197996	1.9954026
Pknox2	0.638035	0.8294052	1.0039555	0.8720754
Trim34a	0.95937693	1.1608999	1.4261024	1.2460687
Zc3h18	1.4233088	1.6695423	1.8486918	1.6870799
Inca1	-0.36251122	0.20192048	0.25700116	0.25229806
Plac9b	1.257048	1.5570639	1.4831505	1.4622447
Asxl3	0.35725644	0.484765	0.4715677	0.35598665
Jag2	1.0649431	1.4746249	1.3144622	1.2943352
Pdzd4	0.3431838	0.49117437	0.48268113	-0.10421548
Clk2	1.2690833	1.5123106	1.6588918	1.4330814
Dcdc2a	0.33555108	0.59111404	0.8534776	0.6470621
Utp15	0.9740348	1.0938529	1.2755022	1.0430654
Chaf1a	0.5816909	0.40254712	0.62799215	0.43497127
Smim15	1.5278152	1.8904995	2.0853229	1.951501
Mrps35	1.337924	1.4454976	1.5815778	1.3537296
Klf10	1.7314019	2.0123558	2.1444232	1.958201
Taf12	1.532936	1.8081211	1.7747883	1.8470726
Rpl36al	2.3550475	2.6298697	2.74284	2.6092012
Ska1	0.17622362	0.22675343	0.22777502	-0.22045816
Nynrin	1.3492197	1.4715346	1.683713	1.621279
Gm1976	0.4894128	0.45690376	0.40772963	0.83174837
Nedd9	1.6944484	1.9837883	2.0469668	1.9400985
Itga5	2.0551121	2.241204	2.4135156	2.1775153
Bms1	1.5287932	1.7880207	1.832694	1.6945376
Gata4	0.27089897	-0.5862002	0.38300362	0.35876098
Dusp19	0.9021173	0.939113	1.0654137	1.0918441
Zfp280d	1.6335937	1.7825937	1.9897053	1.8379862
Psma3	2.180325	2.3817093	2.4542477	2.3897595
D930048N14Rik	0.46270326	0.5277155	0.4510848	0.52247363
mt-Co2	2.6872027	2.7278962	2.7103393	2.4981487
Thnsl2	0.6756555	0.84952074	0.64076084	0.7538071
Ly96	1.1751522	1.1664408	1.0785735	1.3272387
Txndc17	2.2390816	2.39176	2.5606337	2.3976805
Trabd	1.2309753	1.5614309	1.6575295	1.5462042
Gngt2	1.717259	2.114324	2.0534208	2.1015108
5730409E04Rik	0.9562629	1.3043671	1.6441354	1.4391446
Erf	1.4441866	1.6975162	1.8813092	1.6810572
Tmem138	0.6525981	1.014561	1.2355455	1.0767999
Zfp384	1.0323434	1.1035899	1.2526373	1.0273405
Fbxo10	0.47565606	0.69863886	0.77145624	0.76983196
Gm16933	0.27189362	0.21142977	0.092271514	0.32668358
Enc1	1.1374679	1.3698206	1.605221	1.4847115
Gm43137	0.16065045	-0.24754518	0.27117568	0.23266649
1700001C19Rik	0.18510167	0.2743717	-0.17655656	0.23437572
Repin1	0.47741646	0.5036003	0.68617934	0.7108061
Slc30a7	1.4202341	1.6062536	1.7132037	1.6229291
Fgl1	-0.32623422	0.21328211	0.24821682	0.23128515
Eya1	0.6946128	0.97938067	1.0343481	1.1367016
Impa2	0.41707548	0.6995571	0.58490866	0.6385447
Ppib	2.5106397	2.6997914	2.5989482	2.5005531
Nt5dc3	0.69636136	0.8452565	1.0454016	0.5729519
Timm9	1.3057225	1.4142379	1.739887	1.5417575
Dll4	1.1988494	1.2040012	1.4426357	1.3479961
Nmnat2	0.50131214	0.4883392	0.7753999	0.73476
Wdr73	0.7946989	0.900374	0.7763981	0.87424004
Lmbrd2	1.2332433	1.4217727	1.52095	1.5084454
Zfp438	0.70827943	0.6957414	0.89670193	0.8619787
Ift122	1.0104176	1.0442283	1.3095161	1.1624287
Morn5	0.17675632	-0.28834373	0.27217314	0.2670571
Clcf1	0.13339911	0.13284479	0.5909588	0.5115888
Aspm	0.33300763	0.40252456	0.48383033	-0.7002731
Btg3	1.61594	1.7010357	1.8562284	1.7284695
Hist1h4i	0.31328088	0.033307977	0.20051533	0.4312613
Rnf150	0.32866427	0.20785607	0.35422212	0.4471626
Git1	1.6044682	1.8928361	2.031069	1.9982381
Gm45309	0.14038563	0.21595758	0.24080603	-0.15317658
Lhfpl4	0.18864979	0.20560731	-0.105621815	0.25145805
Hnrnpm	1.9928341	2.2298474	2.3316936	2.1969414
E030013I19Rik	0.34045047	0.36098167	0.6228087	0.00064703915
Slc35b2	0.9191771	1.0965766	1.5276796	0.99571586
Pcdhb8	0.14081158	-0.29477352	0.23979238	0.22021104
Hdac8	0.8708285	1.0273428	1.0554065	1.026773
Rsl1	0.47559577	0.59976965	0.64453864	0.6106816
Nckap5l	0.70361227	0.8466821	1.1081846	0.8883101
Trim41	1.2411208	1.3358806	1.2601578	1.4319371
