gene	log_min	log_max
Dctn6	-11.295612	-7.8417344
Pknox2	-13.717461	-10.263582
Trim34a	-12.870163	-9.416285
Zc3h18	-12.031062	-8.577184
Inca1	-16.42551	-12.971632
Plac9b	-12.314637	-8.860759
Asxl3	-15.039216	-11.585338
Jag2	-12.66431	-9.210432
Pdzd4	-15.039216	-11.585338
Clk2	-12.474267	-9.020389
Dcdc2a	-14.346069	-10.892191
Utp15	-13.093307	-9.639428
Chaf1a	-14.346069	-10.892191
Smim15	-11.382086	-7.928208
Mrps35	-12.331166	-8.877288
Klf10	-11.210575	-7.756697
Taf12	-11.840544	-8.386665
Rpl36al	-9.528816	-6.074939
Ska1	-16.42551	-12.971632
Nynrin	-12.474267	-9.020389
Gm1976	-14.479601	-11.0257225
Nedd9	-11.266456	-7.8125777
Itga5	-10.620376	-7.1664977
Bms1	-11.994694	-8.540815
Gata4	-15.732364	-12.278485
Dusp19	-13.380988	-9.92711
Zfp280d	-11.707012	-8.253134
Psma3	-10.406918	-6.9530396
D930048N14Rik	-14.816072	-11.362194
mt-Co2	-6.8072414	-3.353364
Thnsl2	-13.940604	-10.486726
Ly96	-12.814593	-9.360715
Txndc17	-10.195029	-6.7411513
Trabd	-12.400159	-8.9462805
Gngt2	-10.95324	-7.4993625
5730409E04Rik	-12.493685	-9.039806
Erf	-11.892911	-8.439033
Tmem138	-13.380988	-9.92711
Zfp384	-13.167415	-9.713536
Fbxo10	-14.027616	-10.573737
Gm16933	-15.732364	-12.278485
Enc1	-12.38246	-8.928581
Gm43137	-16.42551	-12.971632
1700001C19Rik	-16.42551	-12.971632
Repin1	-14.228287	-10.774408
Slc30a7	-12.121446	-8.667567
Fgl1	-16.42551	-12.971632
Eya1	-13.429778	-9.9759
Impa2	-13.940604	-10.486726
Ppib	-9.368474	-5.914596
Nt5dc3	-13.786453	-10.332575
Timm9	-12.298376	-8.844498
Dll4	-12.66431	-9.210432
Nmnat2	-14.346069	-10.892191
Wdr73	-13.334469	-9.88059
Lmbrd2	-12.400159	-8.9462805
Zfp438	-14.027616	-10.573737
Ift122	-13.129674	-9.675796
Morn5	-16.42551	-12.971632
Clcf1	-15.039216	-11.585338
Aspm	-15.326899	-11.87302
Btg3	-11.830391	-8.376513
Hist1h4i	-15.326899	-11.87302
Rnf150	-15.326899	-11.87302
Git1	-11.589229	-8.13535
Gm45309	-16.42551	-12.971632
Lhfpl4	-16.42551	-12.971632
Hnrnpm	-10.838263	-7.3843846
E030013I19Rik	-15.326899	-11.87302
Slc35b2	-12.53369	-9.079812
Pcdhb8	-16.42551	-12.971632
Hdac8	-13.481071	-10.027193
Rsl1	-14.122926	-10.669047
Nckap5l	-13.940604	-10.486726
Trim41	-12.418178	-8.964299
Zfp628	-13.860561	-10.406683
BC034090	-14.633751	-11.1798725
Gm27003	-16.42551	-12.971632
Gm29488	-16.42551	-12.971632
Acrbp	-13.481071	-10.027193
A330040F15Rik	-16.42551	-12.971632
Gm29358	-14.816072	-11.362194
Hdgfl3	-11.0548725	-7.6009946
A530032D15Rik	-16.42551	-12.971632
Ung	-15.039216	-11.585338
Arhgap1	-12.400159	-8.9462805
Gm38190	-13.717461	-10.263582
Gm16751	-16.42551	-12.971632
Pstpip2	-16.42551	-12.971632
Brd2	-10.364054	-6.910176
Pim1	-12.331166	-8.877288
Sf3b1	-10.040317	-6.5864387
Grk4	-13.940604	-10.486726
Sntb2	-10.790721	-7.336843
Foxa2	-14.816072	-11.362194
Uqcrc1	-10.95324	-7.4993625
Qtrt1	-13.429778	-9.9759
Nktr	-10.842014	-7.3881364
Rbl1	-13.940604	-10.486726
Dffa	-13.290016	-9.836138
Ttc21b	-13.380988	-9.92711
Rnf19a	-11.448777	-7.9948993
Fanci	-16.42551	-12.971632
Lockd	-16.42551	-12.971632
Dnajc7	-11.613326	-8.159448
Comp	-13.481071	-10.027193
Abl1	-12.474267	-9.020389
Hbb-bs	-13.940604	-10.486726
Oas1c	-14.027616	-10.573737
Kif21a	-15.326899	-11.87302
Ssbp4	-11.050233	-7.596355
Vipr2	-13.129674	-9.675796
Tusc2	-12.031062	-8.577184
Mrpl3	-12.191404	-8.737526
Npc1	-12.251123	-8.797245
Gm12043	-16.42551	-12.971632
Gm15927	-16.42551	-12.971632
Slc24a5	-13.940604	-10.486726
Csde1	-9.881599	-6.4277215
Etv5	-16.42551	-12.971632
