gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.43	0.48	0.43	0.52	1.0	-71.34501	-69.289276	-70.415115	-70.04359	0.0	-0.56520045	-14.949317918322746	2.4185673476322083	0.002540937323546019	9
Zdhhc12	0.21	0.18	0.18	0.64	1.0	-572.8457	-562.19763	-563.92	-570.59033	0.0	-0.9794952	-12.237848012749739	4.118365201786384	0.03811405985319029	135
Ly6i	0.4599999999999999	0.3	0.3	0.59	1.0	-84.008095	-83.418655	-83.96803	-83.54925	0.0	-0.19927473	-14.742388298270704	1.637409761625607	0.0033879164313946925	12
Trmt11	0.48	0.35	0.35	0.56	1.0	-941.9666	-939.9336	-941.77844	-940.5748	0.0	-0.6044444	-11.562234174885456	1.7160971275194683	0.07142857142857142	253
Nckap5l	0.42	0.48	0.42	0.63	1.0	-783.46985	-770.7208	-775.9424	-778.14197	0.0	-2.3138692	-11.806238498269446	3.4711003664155897	0.057029926595143984	202
Sec24d	0.36	0.39	0.36	0.48	1.0	-3147.936	-3092.5378	-3132.1301	-3107.007	0.0	-17.775219	-9.618714422591221	3.528161080906821	0.3495200451722191	1238
Lama5	0.28	0.3399999999999999	0.28	0.68	0.9599999999999996	-322.12213	-313.4025	-317.05008	-318.20297	0.0	-1.702069	-13.016716824237648	5.585658862935144	0.017221908526256352	61
4930563E22Rik	0.15	0.34	0.15	0.72	0.84	-192.74713	-187.54436	-191.43399	-188.52567	0.0	-1.8333594	-13.810415499173635	0.34544782825542253	0.009034443817052512	32
Laptm5	0.14	0.12	0.12	0.63	1.0	-160.57384	-163.86176	-160.41487	-163.38518	1.0	1.2209495	-14.08083734672001	0.6914491544028634	0.0036702428006775835	13
Il12rb2	0.47	0.29	0.29	0.57	1.0	-8.749408	-9.004607	-8.720439	-9.016726	1.0	0.116094634	-17.164832411820555	4.716731093575099	0.000282326369282891	1
Zfp622	0.2299999999999999	0.46	0.2299999999999999	0.61	1.0	-1656.5133	-1639.9739	-1646.0201	-1651.3324	0.0	-2.2500398	-10.653028297159164	6.261947971556051	0.1603613777526821	568
Slc9b1	0.35	0.1	0.1	0.7	0.9	-51.300507	-51.76363	-51.003105	-52.18966	1.0	0.38615403	-15.39942482732249	1.9363943017613012	0.001976284584980237	7
Phactr2	0.4599999999999999	0.46	0.4599999999999999	0.55	1.0	-2525.3098	-2504.0586	-2520.1448	-2510.4502	0.0	-6.4534507	-9.984685937044434	1.4293305728700556	0.26228119706380576	929
Coq2	0.49	0.35	0.35	0.63	1.0	-2023.3582	-2006.1992	-2021.634	-2008.264	0.0	-6.555291	-10.342537243488572	2.0538642212663634	0.21174477696216826	750
Syt3	0.34	0.36	0.34	0.52	1.0	-236.97739	-231.12393	-235.83347	-231.64023	0.0	-2.3178983	-13.443751915297943	2.7647573475063942	0.012140033879164314	43
4833408A19Rik	0.39	0.3299999999999999	0.3299999999999999	0.51	1.0	-242.9202	-241.60806	-244.06161	-240.16316	0.0	-1.1973648	-13.46304604801872	5.209149444245211	0.012140033879164314	43
Gm43403	0.48	0.32	0.32	0.41	1.0	-143.41948	-140.62788	-144.29904	-139.5892	0.0	-1.6634679	-14.10069415643295	1.3535056333674769	0.006493506493506494	23
Shisal1	0.41	0.0899999999999999	0.0899999999999999	0.48	1.0	-27.516062	-28.985712	-28.478489	-27.785229	0.34513184	0.11689772	-15.90544156403013	4.739763093692491	0.000564652738565782	2
Arhgap39	0.25	0.29	0.25	0.68	0.9599999999999996	-362.78696	-360.4023	-361.70233	-361.40936	0.0	-0.59828144	-12.873389196481746	2.48838605861986	0.021456804065499716	76
C030004G16Rik	0.3399999999999999	0.34	0.3399999999999999	0.69	0.93	-19.533312	-19.350422	-19.256924	-19.545746	0.0	0.00540002	-16.52954239432638	0.8386614511434427	0.000564652738565782	2
Zfp667	0.35	0.35	0.35	0.6	1.0	-703.8306	-690.84344	-702.6437	-691.98334	0.0	-5.1452127	-11.977074522100477	0.8972435661373517	0.0471485036702428	167
Tmem74	0.49	0.36	0.36	0.53	1.0	-9.373143	-9.852639	-9.586458	-9.640715	0.5551266	0.116204806	-17.164374835470092	1.5491243468393119	0.000282326369282891	1
9330159M07Rik	0.5	0.45	0.45	0.58	1.0	-534.329	-524.95685	-533.1555	-525.77814	0.0	-3.7135835	-12.321382105006132	0.3839335625089131	0.033314511575381144	118
Ccdc34	0.45	0.48	0.45	0.58	1.0	-3168.9507	-3127.3489	-3156.8203	-3141.7375	0.0	-11.818514	-9.670410312017891	1.9787945505414308	0.33681535855448896	1193
Dlg4	0.36	0.4	0.36	0.58	1.0	-1926.1042	-1903.7754	-1914.7292	-1915.492	0.0	-4.6088653	-10.436759818761294	4.316478931103717	0.18294748729531338	648
Fam241b	0.16	0.0899999999999999	0.0899999999999999	0.8	0.5999999999999999	-63.948128	-63.377083	-63.37439	-64.15102	0.0	0.08811335	-15.049878988172832	5.340022984231457	0.001976284584980237	7
Pak2	0.45	0.43	0.43	0.6	1.0	-3599.6167	-3564.183	-3585.8306	-3577.8008	0.0	-9.474533	-9.309792320226414	4.0096186154925775	0.42970073404856013	1522
Ndufb11	0.32	0.48	0.32	0.58	1.0	-6599.1367	-6529.339	-6585.7607	-6545.292	0.0	-23.384468	-7.994177547772432	3.0141567705653647	0.8080180688876341	2862
Pex19	0.5	0.32	0.32	0.59	1.0	-1741.3645	-1715.8851	-1723.4954	-1733.4426	0.0	-3.4404266	-10.596359229806446	1.2906053075701633	0.17052512704686618	604
Shpk	0.49	0.14	0.14	0.66	1.0	-310.16794	-303.67474	-307.88257	-307.8642	0.0	-1.0005022	-13.144958702698169	1.768002733949733	0.017786561264822136	63
Oxsm	0.41	0.4	0.4	0.53	1.0	-498.21436	-494.80875	-497.05753	-495.99243	0.0	-0.9649692	-12.360926300259557	5.312546106019523	0.032185206098249576	114
Kif9	0.25	0.47	0.25	0.7	0.9	-116.17261	-114.39461	-115.05383	-115.03965	0.0	-0.49203718	-14.329270232611488	2.903355059811213	0.00564652738565782	20
Aqr	0.4399999999999999	0.36	0.36	0.56	1.0	-1823.5547	-1780.4021	-1807.4219	-1795.968	0.0	-11.980739	-10.571111361420026	1.3138291634443142	0.17363071710897798	615
Alg12	0.34	0.4499999999999999	0.34	0.53	1.0	-596.0692	-586.1505	-592.9599	-588.71545	0.0	-3.1936972	-12.200416510099988	3.4530160044362836	0.038396386222473176	136
Gm48657	0.5	0.4	0.4	0.66	1.0	-7.7538476	-8.28417	-7.8754454	-8.152138	0.7707098	0.17297521	-17.18799055510813	4.702487969579991	0.000282326369282891	1
Pfdn6	0.43	0.41	0.41	0.65	1.0	-3051.7024	-3033.816	-3046.3958	-3038.9688	0.0	-5.5301504	-9.602727039945133	1.5736141899056726	0.37267080745341613	1320
D830050J10Rik	0.4	0.35	0.35	0.58	1.0	-900.1195	-876.9225	-896.8711	-879.7565	0.0	-8.8435545	-11.583588871376644	4.222335322993997	0.0660643704121965	234
Smpd2	0.36	0.21	0.21	0.6	1.0	-1426.8522	-1422.5403	-1425.7434	-1423.7023	0.0	-1.3679851	-10.944752577289012	2.092372160939366	0.1281761716544325	454
Shank3	0.5	0.47	0.47	0.58	1.0	-256.81238	-249.1375	-256.26172	-249.15506	0.0	-3.325531	-13.335932329978737	5.135055999670287	0.01355166572557877	48
2810004N23Rik	0.43	0.49	0.43	0.65	1.0	-1826.149	-1811.348	-1823.4954	-1813.4016	0.0	-5.5361414	-10.535761180351884	2.7472527631941692	0.16600790513833993	588
Zrsr1	0.1999999999999999	0.24	0.1999999999999999	0.57	1.0	-1255.2468	-1250.5543	-1253.0898	-1253.5002	0.0	-0.7585309	-11.14505841505877	0.7425150678480597	0.10107284020327499	358
Asprv1	0.4599999999999999	0.25	0.25	0.53	1.0	-8.629864	-8.728216	-8.555712	-8.730478	1.0	0.043696344	-17.142863345479313	4.70965099708325	0.000282326369282891	1
Mcm7	0.27	0.4	0.27	0.66	1.0	-998.80145	-975.9285	-979.03546	-992.7199	0.0	-2.6411805	-11.492969917882668	0.7647768662217365	0.07340485601355166	260
Abhd6	0.35	0.4	0.35	0.57	1.0	-544.32526	-539.9505	-542.8522	-541.2455	0.0	-1.3375283	-12.304859300272605	3.6448636879559335	0.03613777526821005	128
