gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.24417073	0.78825814	0.56694734	0.598817
Zdhhc12	1.3620584	1.349511	2.0882092	1.9982919
Ly6i	0.8413368	0.77476746	0.7052263	-0.041953918
Trmt11	2.1294665	2.412932	2.2888725	1.9573288
Nckap5l	2.034884	2.1018534	2.2662609	2.009746
Sec24d	3.0007834	2.773478	3.1692412	2.8493333
Lama5	1.7455577	1.1784425	1.3441732	1.4223505
4930563E22Rik	1.2710652	1.2471231	-0.043462727	0.9807431
Laptm5	1.6621486	1.0434506	0.26464486	-1.0919926
Il12rb2	-0.06828423	-0.06133491	-0.06759088	0.18831035
Zfp622	2.8938508	2.6624615	2.2759595	2.531997
Slc9b1	-0.024543088	0.84989166	0.6082933	-0.47499043
Phactr2	2.917982	3.0023465	2.871307	2.603325
Coq2	2.7645483	2.8069692	2.8968787	2.4024987
Syt3	0.9677276	1.2518326	1.332643	1.0015877
4833408A19Rik	1.6169178	0.23713437	1.2974553	1.041469
Gm43403	0.5463721	1.3693979	0.4624025	1.0146548
Shisal1	-0.39319736	0.18148977	-0.43068713	0.5915545
Arhgap39	1.4752803	1.5877396	1.8149654	1.0714875
C030004G16Rik	0.24557324	0.41208634	-0.18814927	-0.09045131
Zfp667	2.126388	2.099378	1.9070977	1.8095453
Tmem74	-0.06904271	0.22214904	-0.06720195	-0.03976062
9330159M07Rik	1.86281	1.8209603	1.9331071	1.7059686
Ccdc34	2.8769374	3.0790803	3.0163484	2.793252
Dlg4	2.7367918	2.153076	2.9002216	2.6302993
Fam241b	0.93299073	-0.8653292	-0.24350598	0.867774
Pak2	2.9839957	2.945685	3.1015062	2.9548507
Ndufb11	3.1423962	3.3350937	3.375371	3.3266814
Pex19	2.7399485	2.793443	2.5948536	2.3888862
Shpk	1.4666066	1.5869713	1.6083585	-0.08344179
Oxsm	1.8342782	1.8723941	1.7783167	1.7804106
Kif9	0.25233272	0.7129212	1.1667506	0.6160399
Aqr	2.8241816	2.6450515	2.7460194	2.1402516
Alg12	1.8377192	1.9265803	2.046293	1.7056284
Gm48657	-0.06958769	-0.075321615	-0.055883206	0.22040616
Pfdn6	2.975777	2.9253752	3.083303	2.7968779
D830050J10Rik	2.1344867	2.2586153	2.196773	2.2358577
Smpd2	2.3405287	2.6726294	2.7097778	2.066798
Shank3	1.3447545	1.1493262	1.5302644	0.93073565
2810004N23Rik	2.5956662	2.7549033	2.8017745	2.5266984
