gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.78826994	0.65286773	0.80742264	0.7212261
Zdhhc12	1.8362414	1.7979448	2.0193694	1.6446214
Ly6i	1.0132434	0.8415791	0.83847106	0.62461936
Trmt11	2.3134763	2.2112079	2.4180164	2.1293383
Nckap5l	2.205635	2.173346	2.2507837	2.0176644
Sec24d	3.0065362	2.8976026	3.0756934	2.932955
Lama5	1.6213748	1.610589	1.7299246	1.4246186
4930563E22Rik	1.2725989	1.0752937	1.0495633	1.1676943
Laptm5	1.2128133	1.3996542	1.2280194	0.76399255
Il12rb2	0.23848598	0.21545757	0.24277307	-0.358102
Zfp622	2.7810075	2.7029495	2.5456784	2.5643935
Slc9b1	0.80360496	0.15107872	0.79353976	0.4861593
Phactr2	2.9477446	2.957245	2.9219894	2.7051494
Coq2	2.8092117	2.8026893	2.850716	2.5717535
Syt3	1.4202011	1.2182047	1.4864008	1.0833504
4833408A19Rik	1.3634504	1.165233	1.3857876	1.2814586
Gm43403	1.1372025	0.96322477	1.1204348	0.8903409
Shisal1	0.496072	0.42764804	0.50047016	-0.51659596
Arhgap39	1.8219403	1.6327516	1.6464622	1.5149313
C030004G16Rik	0.21284655	0.15126544	0.36370572	0.29001936
Zfp667	2.1672847	2.0114315	2.158888	1.9847128
Tmem74	0.24224007	-0.2738736	0.25945628	0.16647738
9330159M07Rik	1.9505512	1.9024987	2.0345273	1.7930305
Ccdc34	2.9676576	3.006475	3.0522351	2.8474119
Dlg4	2.782541	2.4484742	2.8397408	2.6694856
Fam241b	0.5882231	0.48562813	0.65573746	0.40401328
Pak2	3.0145998	3.0019321	3.1017523	2.9752462
Ndufb11	3.2110565	3.237604	3.2771769	3.2505977
Pex19	2.757896	2.7050529	2.6738918	2.5128675
Shpk	1.7192911	1.3814943	1.5981718	1.1593612
Oxsm	1.9368623	1.9790732	2.0196733	1.6857139
Kif9	0.996366	0.88762844	0.9856644	1.0120459
Aqr	2.7753458	2.6900976	2.751791	2.3944218
Alg12	2.035043	2.0158455	2.0728045	1.7400585
Gm48657	0.241242	0.22537091	0.24739645	-0.2336201
Pfdn6	2.9785056	2.9515133	3.0859208	2.8623583
D830050J10Rik	2.3368828	2.2766454	2.3296309	2.1243422
Smpd2	2.5093918	2.5862348	2.6684973	2.3472605
Shank3	1.3529481	1.4690832	1.5424844	1.2413167
2810004N23Rik	2.6902807	2.7824318	2.7988153	2.5948262
Zrsr1	2.5507267	2.454839	2.4315994	2.330654
Asprv1	0.25709704	0.22036739	0.2579483	-0.38333517
Mcm7	2.2961597	2.2804885	2.3237133	2.1892183
Abhd6	2.020758	1.9455426	1.9233154	1.7852944
Tnfrsf19	0.67621017	0.54887	0.79261446	0.5322338
Kif27	0.5093728	0.46060193	0.23844561	-0.01301818
Gsta1	0.43352336	0.49054572	0.66415465	0.5255812
Fendrr	1.2408005	1.4083625	1.4324074	0.96698487
Slc25a51	2.762578	2.7676666	2.9061751	2.5789468
Kat7	2.6138742	2.5066059	2.6451964	2.4139545
Chrm1	0.24650097	0.39368808	0.44021264	-0.14227656
Stag3	0.5490255	0.22319855	0.4328329	0.35003313
Unk	2.2254722	2.1557767	2.1311135	2.130722
Ampd1	0.64325386	0.65993667	0.5390606	0.6426594
Cbr2	1.5596827	1.3702185	1.6872143	1.5120646
Agpat4	2.9284177	2.7752721	2.994394	2.6485853
Ampd2	2.6407924	2.6753652	2.657576	2.468015
Btbd1	2.9245405	2.6590533	2.8657098	2.7836256
Abca2	2.516182	2.5805888	2.6638355	2.4705756
Asb3	2.5216055	2.3338332	2.4677694	2.3820488
Vac14	2.0445478	2.058397	2.2123132	1.9053024
Rdh10	2.3258686	2.2473173	2.307922	1.7744896
Ptpn22	0.3729439	0.34519738	0.27102444	-0.20903645
Wdr31	0.8342564	0.7982608	0.6362277	0.5058043
Sec23b	2.724181	2.2917585	2.7206638	2.5061252
Gm26760	0.39014077	0.6772756	0.61224693	0.6807503
Fbrs	2.4543207	2.3136349	2.4485006	2.2317054
Pdrg1	2.8504167	2.8679092	2.6433454	2.6280606
Plagl2	1.9264534	1.9616925	2.1203842	1.8404629
Adam23	2.1305845	2.1203108	2.1712496	2.0085046
Rwdd2a	1.7518224	1.6654904	1.9483081	1.43831
Ghitm	3.0461676	3.0067184	3.0689564	2.8978748
Gm16537	1.0331808	0.63196814	0.75310427	0.6567182
Olfr1392	0.07624549	0.1266841	0.44076467	0.36087838
P2ry1	1.9764106	1.7636395	1.6701057	1.8489408
Gm9913	1.5090162	1.2948687	1.4525465	1.1425132
Gng4	1.2202202	1.3178655	1.2922392	0.9830406
Eps8l2	0.37841436	0.4972595	0.5194696	0.32463926
Ash1l	3.1460397	3.1061935	3.0387	3.066945
Bmp6	1.418481	1.0921462	1.3704408	1.472425
Actl6a	2.6877375	2.3904355	2.740092	2.5301998
Ccdc47	3.0016053	2.8383389	3.0775442	2.763574
Gm33474	0.45447397	0.4629463	0.44089162	0.3983405
Pcbp2	3.2527947	3.232203	3.258687	3.1935933
Tmem163	0.24749988	-0.34151706	0.25347212	0.18793692
Gm9908	0.64014345	0.88776356	1.0201409	0.7544719
Ttll4	2.0759077	1.9666085	2.159841	1.9317318
Asxl1	2.4564707	2.4046311	2.2702792	2.0793598
Eapp	3.0221527	2.8284376	3.0323734	2.7896569
Gm45890	0.35924727	0.57162833	0.5888612	0.4896313
Unc13a	0.5040883	0.4502207	0.21728365	0.45381317
Gabrr2	0.75000274	0.1893689	0.78484195	0.48088607
Cyp20a1	2.97372	2.7711387	2.9437776	2.783958
Ubtd2	2.6381197	2.6051056	2.7671647	2.531431
Wwc2	2.9843562	3.0053663	3.0074737	2.7637572
Txnrd1	2.8548946	2.808548	2.7506545	2.6924016
Mob1a	3.0171227	2.699998	3.0706515	2.9052463
Ripply3	1.1762446	1.0083305	1.0333419	0.9626174
Cpne7	1.2764766	1.2600595	1.2548788	1.0197811
Slc16a1	2.173917	2.245619	2.346676	2.0850515
Srsf4	2.811393	2.625205	2.795498	2.5368917
Mss51	1.5236182	1.4897448	1.4327135	1.2433202
Akr1c19	1.5569836	1.1140636	1.5418849	1.4205165
Rapgef6	3.024003	2.7856328	2.9679463	2.771942
B130046B21Rik	0.48771027	0.5203082	0.6763208	0.23190111
Gm14325	1.6095543	1.6035057	1.694819	1.3183656
Sox17	0.41659102	0.30430526	0.06139035	0.35667032
Gm19585	-0.3247221	0.21581097	0.24985074	0.17091532
Ilf3	2.7496839	2.637827	2.711012	2.413403
Exog	1.9529722	1.6747911	1.915966	1.7165061
Kansl2	2.5287142	2.4967525	2.6442814	2.3343499
Iqsec1	2.779056	2.626271	2.8953145	2.6956937
Rnaset2b	2.789904	2.6960678	2.7788363	2.6222713
Ssu2	0.25071266	0.21772136	0.25086182	-0.36017054
Lrrc40	2.2029696	1.971016	2.2302828	1.9761711
Fjx1	1.8853145	1.7043966	1.8256595	1.5871203
Gm45464	1.3939806	1.4268334	1.6556158	1.4500908
Tubgcp4	2.4731154	2.3128521	2.4640312	2.338869
Thap4	2.2582839	2.1946115	2.3086364	2.0083666
Helz2	2.1748798	2.1921268	2.2700417	2.0724018
Gm10037	0.79853135	0.7633015	1.0815431	0.75248486
Cstf2t	2.526251	2.3380208	2.5138993	2.2486398
Zfp772	1.623725	1.6278962	1.5223631	1.5099213
Ly6k	2.1625416	2.1189609	2.2152414	2.0061457
Pp2d1	0.23484023	0.3915718	0.13382536	0.35530853
Gm19569	-0.12867826	0.221494	0.2507486	0.1701025
Gm11613	1.1090277	0.90288013	1.0082258	0.8150697
Gm49698	0.7036464	0.8388511	1.0073923	0.7188875
Pdlim3	2.2004008	1.9225687	2.3986294	2.0522127
Ppp2r1a	2.979499	2.9575324	2.8324497	2.875149
2810405F17Rik	1.7211732	1.5457158	1.6392038	1.5815125
Apaf1	2.405354	2.388353	2.5113828	2.2869573
Ocrl	2.5882535	2.4221134	2.5371714	2.3826141
Dnlz	2.8504019	3.0197482	3.0024123	2.8702242
Fbxo7	2.2945492	2.2475638	2.3777819	2.1607313
Wnt11	2.1136363	1.9503812	2.023859	1.8784039
Gm17216	1.3583996	1.0682746	1.2979412	1.0606403
Crybb3	1.7389714	1.7375678	1.8354341	1.6329925
Atp13a2	2.3008468	2.2268996	2.3472018	2.115181
Olfr921	1.2003144	1.0463446	1.0724906	1.1120744
Tsen34	3.1666026	3.1397684	3.1491077	2.8937888
Manba	2.5141156	2.4636307	2.5957544	2.3439372
Fbxo27	1.861465	1.6219155	1.8743432	1.3881992
Vangl2	2.0273347	1.9391773	2.0349238	1.8080598
Tmeff2	2.9006705	2.6832669	2.9615395	2.7737253
Armcx4	2.2629719	2.2245858	2.415809	2.0936584
Dmxl1	2.8456187	2.8853438	2.9477825	2.7750716
Wdr24	1.9351988	1.7382753	1.7153866	1.6927676
Rps14	3.3826914	3.3658488	3.393522	3.3858378
Meak7	1.5296154	1.1899123	1.4531714	1.380777
Dio3os	0.86142063	0.8561573	1.0782334	0.9497032
Med23	2.3459055	2.3143516	2.4027483	2.1661673
Tlr6	1.2460941	0.9526881	1.2164856	0.80699086
Clvs2	0.84521306	0.77972984	1.0478169	0.6839427
Xirp1	0.3531624	0.61761934	0.8379825	0.5019358
Srd5a3	2.5520751	2.5117037	2.644927	2.4263
Psma2	3.1733055	3.238368	3.2708664	3.164794
Tada3	2.6346228	2.4882457	2.7001553	2.469459
Slc38a1	2.1160748	1.9580345	2.0800989	1.725253
Capg	3.149305	3.1283977	3.2006893	2.950904
Dctd	1.3206322	1.1353208	1.2343335	1.1072215
Hyal1	2.2923582	2.183009	2.3401854	2.0977628
Zmym6	2.1103325	1.9475214	2.1625078	1.8967468
Gm20627	0.49297273	0.6051647	0.47907603	0.49356803
Sf3b6	3.0767715	3.165764	3.201767	3.1124933
Jaml	0.08158231	0.8167344	0.5357167	0.4822638
Tmem138	2.3977382	2.3387268	2.4466503	2.2036572
Fcer1a	0.36481595	-0.14997159	0.09815062	0.29531437
E130317F20Rik	1.7284791	1.5245883	1.7876346	1.5782167
Lnpep	3.0197833	3.0638018	3.0479484	2.6496801
Gm15927	0.563441	-0.864239	0.48239064	0.48122376
Bloc1s6os	1.1200786	0.8221826	1.1938471	0.60304624
Hemk1	1.6456121	1.5749786	1.5351858	1.4980421
Haghl	2.636942	2.5353487	2.2250943	2.474776
Phf2	2.6742826	2.6392999	2.7234325	2.4953132
Best2	0.30464613	0.3944886	0.22898577	0.37310043
Tnxb	2.9038897	3.2402503	3.302751	3.019682
Lat2	0.50197315	0.30527252	0.48302296	0.45704
Atg4b	2.5253975	2.5044093	2.562906	2.4306295
Cnih4	3.1335657	3.0160816	3.1350138	3.0078766
Ate1	2.8307104	2.8031218	2.928277	2.7574556
Acp2	2.6929948	2.5339491	2.6891239	2.408729
Gm15915	0.6588076	0.7627487	0.59784806	0.5392211
Llgl2	1.0449388	0.74520606	0.9107979	0.88883895
Nkapd1	2.721328	2.707829	2.6057584	2.4534864
Mpdz	2.9609683	2.9584498	2.9128935	2.7701008
Tead2	2.1079545	2.2097158	2.3442788	2.0282536
Col4a1	3.2502644	2.8931794	3.1492927	3.2409837
Fbxo11	2.9971611	2.852559	2.9720547	2.7942264
1600020E01Rik	2.425315	2.2692673	2.3226717	2.1227412
Pcgf5	2.7033885	2.5976462	2.5515065	2.5649824
Urgcp	2.548643	2.418014	2.5175025	2.2852356
Fktn	2.560376	2.5201972	2.6105776	2.3063536
Als2cl	0.47632262	0.2590834	0.74252445	0.41526264
Car5b	2.4017403	2.3975852	2.369753	2.2642746
Ifrd2	2.3524528	2.2312665	2.3976362	2.0426002
A930012O16Rik	0.9054475	1.0435362	1.0765853	0.65541476
Gm48530	0.25228602	0.2127488	0.25881085	-0.27113447
Gm49256	0.28261098	0.33705425	0.35731024	-0.0857606
Pon1	0.6376857	0.63896763	0.6501079	-0.8258764
Txnl4a	2.7853022	2.8885875	3.0323648	2.8584049
Mrpl21	2.8415074	2.9680297	3.0391634	2.8903677
Fam89b	3.0059578	2.940508	3.023497	2.8669674
Gle1	2.6829143	2.6806812	2.3994105	2.5483913
Dap3	2.9113095	2.8154361	2.799671	2.7317405
Ces2c	0.49269846	0.43438008	0.59515816	0.4768403
