gene	log_min	log_max
Lbx2	-16.512747	-13.058868
Zdhhc12	-13.859505	-10.405626
Ly6i	-16.250381	-12.796504
Trmt11	-13.228083	-9.774204
Nckap5l	-13.482613	-10.028734
Sec24d	-11.31979	-7.865912
Lama5	-14.595824	-11.141946
4930563E22Rik	-15.318824	-11.864945
Laptm5	-15.318824	-11.864945
Il12rb2	-18.81533	-15.361453
Zfp622	-12.330696	-8.876818
Slc9b1	-16.869421	-13.415543
Phactr2	-11.682035	-8.228157
Coq2	-12.034274	-8.580396
Syt3	-15.031142	-11.577264
4833408A19Rik	-14.9866905	-11.532812
Gm43403	-15.679837	-12.225959
Shisal1	-17.429037	-13.975159
Arhgap39	-14.458623	-11.004745
C030004G16Rik	-18.122183	-14.668305
Zfp667	-13.622375	-10.168496
Tmem74	-18.81533	-15.361453
9330159M07Rik	-13.971145	-10.517266
Ccdc34	-11.374011	-7.920133
Dlg4	-12.095112	-8.641233
Fam241b	-16.512747	-13.058868
Pak2	-11.013531	-7.559653
Ndufb11	-9.764925	-6.311047
Pex19	-12.29471	-8.840832
Shpk	-14.625677	-11.171799
Oxsm	-14.011311	-10.557432
Kif9	-15.819599	-12.365721
Aqr	-12.243049	-8.78917
Alg12	-13.852487	-10.398608
Gm48657	-18.81533	-15.361453
Pfdn6	-11.30874	-7.8548617
D830050J10Rik	-13.258504	-9.8046255
Smpd2	-12.602725	-9.148847
Shank3	-14.9235115	-11.469633
2810004N23Rik	-12.222287	-8.768409
Zrsr1	-12.801617	-9.347738
Asprv1	-18.81533	-15.361453
Mcm7	-13.152371	-9.698493
Abhd6	-13.917492	-10.4636135
Tnfrsf19	-16.869421	-13.415543
Kif27	-17.429037	-13.975159
Gsta1	-16.869421	-13.415543
Fendrr	-15.008669	-11.5547905
Slc25a51	-12.043396	-8.589518
Kat7	-12.58485	-9.130972
Chrm1	-17.716719	-14.262841
Stag3	-17.716719	-14.262841
Unk	-13.502126	-10.048247
Ampd1	-16.417437	-12.963558
Cbr2	-14.625677	-11.171799
Agpat4	-11.6669855	-8.213107
Ampd2	-12.514545	-9.060667
Btbd1	-11.815909	-8.362031
Abca2	-12.546235	-9.092357
Asb3	-12.82637	-9.372492
Vac14	-13.7277355	-10.273857
Rdh10	-13.385986	-9.932108
Ptpn22	-18.122183	-14.668305
Wdr31	-16.618107	-13.164228
Sec23b	-12.438604	-8.984726
Gm26760	-16.869421	-13.415543
Fbrs	-12.9517	-9.497822
Pdrg1	-11.864517	-8.410639
Plagl2	-13.811385	-10.357507
Adam23	-13.552641	-10.0987625
Rwdd2a	-14.220212	-10.766334
Ghitm	-11.293472	-7.8395944
Gm16537	-16.330425	-12.876547
Olfr1392	-17.716719	-14.262841
P2ry1	-13.859505	-10.405626
Gm9913	-14.883506	-11.429627
Gng4	-15.2318125	-11.777934
Eps8l2	-17.205893	-13.752015
Ash1l	-10.890898	-7.43702
Bmp6	-14.864088	-11.41021
Actl6a	-12.440307	-8.986428
Ccdc47	-11.342831	-7.8889527
Gm33474	-17.429037	-13.975159
Pcbp2	-9.9866905	-6.5328126
Tmem163	-18.81533	-15.361453
Gm9908	-16.250381	-12.796504
Ttll4	-13.759086	-10.305207
Asxl1	-12.989331	-9.535453
Eapp	-11.400759	-7.946881
Gm45890	-17.205893	-13.752015
Unc13a	-17.205893	-13.752015
Gabrr2	-16.73589	-13.282012
Cyp20a1	-11.586218	-8.1323395
Ubtd2	-12.355427	-8.901548
Wwc2	-11.31094	-7.857062
Txnrd1	-11.983378	-8.5295
Mob1a	-11.441957	-7.9880795
Ripply3	-15.637278	-12.183399
Cpne7	-15.288971	-11.835093
Slc16a1	-13.258504	-9.8046255
Srsf4	-12.255716	-8.801838
Mss51	-14.9235115	-11.469633
Akr1c19	-14.9235115	-11.469633
Rapgef6	-11.489524	-8.0356455
B130046B21Rik	-16.869421	-13.415543
Gm14325	-14.566836	-11.112958
Sox17	-17.716719	-14.262841
Gm19585	-18.81533	-15.361453
Ilf3	-12.327647	-8.873769
Exog	-14.17094	-10.717062
Kansl2	-12.753875	-9.299996
Iqsec1	-11.977999	-8.52412
Rnaset2b	-12.191266	-8.737388
Ssu2	-18.81533	-15.361453
Lrrc40	-13.667837	-10.213959
Fjx1	-14.272037	-10.818158
Gm45464	-14.754889	-11.30101
Tubgcp4	-12.9072485	-9.45337
Thap4	-13.477794	-10.023915
Helz2	-13.42626	-9.972382
Gm10037	-15.724289	-12.270411
Cstf2t	-12.918178	-9.464299
Zfp772	-14.610639	-11.15676
Ly6k	-13.552641	-10.0987625
Pp2d1	-17.716719	-14.262841
Gm19569	-18.81533	-15.361453
Gm11613	-15.557235	-12.103356
Gm49698	-16.250381	-12.796504
Pdlim3	-13.224344	-9.770466
Ppp2r1a	-11.486895	-8.033016
2810405F17Rik	-14.497844	-11.043965
Apaf1	-13.010197	-9.556318
Ocrl	-12.77985	-9.325972
Dnlz	-11.408621	-7.954743
Fbxo7	-13.274068	-9.820189
Wnt11	-13.759086	-10.305207
Gm17216	-15.448035	-11.994157
Crybb3	-14.220212	-10.766334
Atp13a2	-13.15934	-9.7054615
Olfr921	-15.637278	-12.183399
Tsen34	-10.901444	-7.4475665
Manba	-12.8440695	-9.390191
Fbxo27	-14.433305	-10.979426
Vangl2	-13.873689	-10.41981
Tmeff2	-11.331525	-7.877647
