gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.24	0.19	0.19	0.52	1.0	-104.33437	-102.16748	-103.24203	-103.613976	0.0	-0.31286484	-14.510686007900029	2.44884851515196	0.004612280196021909	16
Zdhhc12	0.41	0.37	0.37	0.63	1.0	-445.67905	-433.56055	-440.09064	-439.1208	0.0	-2.8482153	-12.55473280958072	2.9152182098227617	0.029403286249639667	102
Ly6i	0.29	0.09	0.09	0.67	0.9899999999999998	-70.150826	-74.61153	-71.38631	-72.40802	0.7230298	0.98028713	-15.096820793505998	1.4166176146791383	0.0028826751225136927	10
Trmt11	0.36	0.48	0.36	0.57	1.0	-853.8162	-844.97754	-852.93536	-847.13293	0.0	-2.9025154	-11.703385522852159	2.986251544149996	0.0637071202075526	221
Nckap5l	0.4499999999999999	0.45	0.4499999999999999	0.61	1.0	-774.3367	-764.7193	-769.7477	-769.55634	0.0	-2.076073	-11.809668946189795	0.7484429971495308	0.05707696742577112	198
Sec24d	0.39	0.4	0.39	0.65	1.0	-3151.7563	-3134.4136	-3148.8132	-3137.5496	0.0	-6.169929	-9.55179328722416	5.935274111988803	0.366099740559239	1270
Lama5	0.2199999999999999	0.38	0.2199999999999999	0.64	1.0	-434.42743	-432.0753	-432.352	-433.63467	0.0	-0.34428918	-12.615260206862407	0.3665339637032643	0.02392620351686365	83
Slc13a3	0.43	0.39	0.39	0.57	1.0	-9.020029	-9.033919	-8.899568	-9.105364	1.0	0.03706042	-17.187317589468325	4.842231034415212	0.0002882675122513693	1
4930563E22Rik	0.37	0.44	0.37	0.59	1.0	-234.025	-229.89856	-233.5087	-230.63266	0.0	-1.473272	-13.430711192880288	0.2993210253598102	0.012107235514557509	42
Laptm5	0.17	0.12	0.12	0.47	1.0	-76.94663	-79.56465	-77.48447	-79.304	0.7945645	1.0237921	-14.752478192898382	2.3973840549823175	0.002017872585759585	7
Il12rb2	0.45	0.14	0.14	0.6	1.0	-13.968495	-14.903621	-13.835315	-15.019376	1.0	0.45639157	-16.51433879526559	4.828074309958371	0.0005765350245027386	2
Mpig6b	0.36	0.24	0.24	0.57	1.0	-36.044106	-35.26867	-35.755577	-35.555916	0.0	-0.21201809	-15.65678233533087	1.2581512334243206	0.0014413375612568463	5
