gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.24689075	1.0321676	1.1169524	-0.12689334
Zdhhc12	1.1143377	2.0747075	1.6469693	1.750008
Ly6i	-0.44027752	1.335153	-0.83032304	-0.38389975
Trmt11	1.5125339	2.535037	1.9340359	2.290701
Nckap5l	1.7269284	2.4257007	1.95974	2.0073686
Sec24d	2.806475	3.0971203	2.9142346	3.0838757
Lama5	1.4123237	2.130323	0.6436558	1.6420218
Slc13a3	-0.013164027	-0.11001483	-0.051786907	0.32814687
4930563E22Rik	0.9638567	1.5205642	0.95881754	1.2622617
Laptm5	0.257822	0.759499	1.0850812	-1.2617714
Il12rb2	-0.038005844	-0.2679506	-0.09692034	0.39619926
Mpig6b	0.31532001	0.7107621	0.3046192	-0.52983904
Zfp622	2.1558068	2.7727687	2.594412	2.4297707
Slc9b1	0.2907646	1.0913937	0.80315703	1.0826383
Phactr2	2.7068553	3.037358	2.8697202	2.3459496
Coq2	2.3770967	2.590142	2.366735	2.9786105
Syt3	0.40747547	-0.12715007	1.30833	1.6920271
4833408A19Rik	0.52935666	1.3557583	1.4328753	1.4994698
Gm43403	0.8259469	0.708999	0.3697924	0.42214298
Shisal1	0.30076933	1.2192572	1.0286144	1.0840727
Arhgap39	1.5558585	1.6709737	1.2429649	2.0658486
C030004G16Rik	0.13062446	-0.44933668	-0.20012425	0.23392205
Zfp667	1.5019678	2.3104336	1.9119663	2.2408643
Tmem74	0.34123525	-1.0495884	0.30957383	0.95120394
9330159M07Rik	0.25123507	2.2779162	1.4062399	1.9983592
Ccdc34	2.513037	3.2221909	2.6299603	2.855276
Dlg4	2.2936742	2.9554799	2.4148543	2.872153
Fam241b	0.34739786	0.6569964	0.17437851	0.6839512
Pak2	3.0263627	3.016884	3.137656	3.0532067
Ndufb11	3.1362529	3.4343984	3.1768758	3.3264847
Pex19	2.2849705	2.8888724	2.1712978	2.7632954
Shpk	1.1168114	1.8159058	1.1225402	1.4705881
Oxsm	1.0348011	2.0626872	1.8967898	1.8061224
