gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.6905277	1.1195749	0.5991246	0.80526733
Zdhhc12	1.3558273	2.1636038	1.6783713	1.8871802
Ly6i	0.49186295	0.5125436	0.48096225	0.7525834
Trmt11	1.8793843	2.516663	2.1232414	2.2995996
Nckap5l	1.6420066	2.4663382	2.0308273	2.193344
Sec24d	2.7274036	3.1435688	2.9579074	3.0858185
Lama5	1.2456849	2.091208	1.3661929	1.934705
Slc13a3	0.11507612	0.3184251	0.17597757	-0.009040296
4930563E22Rik	1.0446784	1.6114676	1.296058	1.4316738
Laptm5	0.4928303	1.09989	0.0047396123	0.5972187
Il12rb2	0.18908843	0.42890504	0.29944277	-0.39351472
Mpig6b	0.1188236	0.6482841	0.43259916	0.48883787
Zfp622	2.2673094	2.778782	2.5758524	2.5540464
Slc9b1	0.7520009	1.239026	1.0618391	1.0787698
Phactr2	2.6279595	3.0215454	2.8627653	2.6126065
Coq2	2.4095223	2.7562134	2.5337605	2.821486
Syt3	0.9435095	1.1856856	1.0605055	1.3609904
4833408A19Rik	1.0822734	1.7345442	1.2531786	1.4789201
Gm43403	0.25753936	0.92889315	0.7370584	1.0012667
Shisal1	0.72122043	1.5345128	0.97671556	1.4308274
Arhgap39	1.2715133	2.0811913	1.6708745	1.8192079
C030004G16Rik	-0.9081351	0.5007528	0.38544095	0.033027317
Zfp667	1.7450013	2.3401906	1.959836	2.2549672
Tmem74	-0.06821685	0.5481831	0.65055746	0.37840843
9330159M07Rik	1.2466757	2.1850877	1.7287534	2.0656772
Ccdc34	2.6060867	3.163212	2.7905867	2.900233
Dlg4	2.432742	2.960873	2.573037	2.848435
Fam241b	0.40670544	0.80149823	0.7037689	0.7971895
Pak2	2.8541276	3.1313818	3.0751052	3.0754864
Ndufb11	3.116078	3.3082237	3.2454312	3.3184938
Pex19	2.3479245	2.8667264	2.3964477	2.7514374
Shpk	1.1391205	1.8681282	1.3563242	1.7508287
Oxsm	1.4092473	2.2222404	1.631324	1.9939047
Kif9	0.62455213	1.1840388	0.95656914	1.092331
Aqr	2.358415	2.8595388	2.6374326	2.8046093
Alg12	1.30458	2.2046528	1.8341045	1.9212496
Pfdn6	2.6303573	3.0908625	2.838161	2.9845898
D830050J10Rik	1.5026654	2.511112	2.189254	2.347505
Smpd2	2.0362809	2.5894716	2.327151	2.6050656
Shank3	0.9725902	1.5672718	1.2595714	1.3443915
2810004N23Rik	2.3136024	2.775051	2.565334	2.8558304
Zrsr1	2.0627186	2.5603592	2.3449538	2.6219664
Asprv1	0.39401865	0.7376039	0.47821772	0.58206755
Mcm7	1.9858936	2.6506689	2.1613903	2.000732
Abhd6	1.6083122	2.308621	1.9538668	2.188773
Slitrk4	-0.7118042	0.64677906	0.4693814	0.51370305
Tnfrsf19	0.22293898	0.8691557	0.5503798	0.60333234
Kif27	0.37337285	0.6669527	-0.5583507	0.5017032
Gsta1	0.36866498	0.5367868	0.4724511	0.6319936
Fendrr	0.9001349	1.5905349	1.1977309	1.4229416
Slc25a51	2.359429	2.7989306	2.686872	2.836153
Kat7	2.2234633	2.7779446	2.366564	2.6668918
Chrm1	0.13582017	0.75454915	0.19796231	0.5946389
Stag3	-0.03592209	0.28063077	0.39848885	0.5022959
Unk	1.6477611	2.2891116	1.9395024	2.18549
Ampd1	0.38474676	0.9023118	0.5407625	0.6667802
Cbr2	1.0195577	2.0584056	1.4516487	1.8846674
Agpat4	2.5722349	2.9791632	2.702586	2.9135096
Ampd2	2.2044237	2.8702946	2.5488434	2.2116005
Btbd1	2.4834056	2.9591055	2.6124716	2.8751323
Abca2	2.2659411	2.588151	2.4931018	2.7078495
Asb3	2.0539248	2.7086732	2.3073885	2.4787729
Vac14	1.6700357	2.329199	1.9519361	2.2457712
Rdh10	1.7506875	1.9692729	2.0239701	2.1889803
Ptpn22	0.38583937	0.88954884	0.6413751	0.49968284
Ribc2	-0.62143	0.30726436	0.17545415	0.25565752
Wdr31	0.68501174	1.0587927	0.8304493	1.0985608
Sec23b	2.0514	2.6062636	2.4091897	2.6752238
Gm26760	0.40446028	0.6979815	0.14633873	0.83104527
Fbrs	1.8616228	2.4971507	2.2748404	2.5325058
Pdrg1	2.5085719	3.064358	2.6018634	2.7216098
Plagl2	1.3655529	2.2612069	1.6795884	1.9144504
Adam23	1.6926126	2.244184	1.8307093	2.1580126
Igf2bp1	0.23895796	0.7945475	0.4854	0.65854603
Rwdd2a	1.2990291	2.0706398	1.5123732	1.8792979
Ghitm	2.7618725	3.1193614	2.8232915	3.0752194
Gm16537	-0.6775815	0.6974212	0.50334454	0.4709254
Olfr1392	0.24223316	0.45742732	0.38086614	0.3297817
P2ry1	1.4374564	2.0383358	1.387754	1.7332587
Gm9913	-0.6247515	1.3841181	1.0798899	1.4090334
Gng4	-0.084488556	1.2560415	1.0217903	1.2114018
Eps8l2	0.66102576	1.1689558	0.76017356	0.80729973
Ash1l	2.8859303	3.1624196	3.0784016	3.1093545
Bmp6	1.1832982	1.7357482	0.86537546	1.7803882
Actl6a	2.281854	2.673624	2.5532925	2.742036
Ccdc47	2.679046	3.170513	2.9207568	2.8009174
Gm33474	0.3683645	0.9320877	0.7246638	0.81111914
Pcbp2	2.9706333	3.3195667	3.200798	3.1862953
Tmem163	0.11800602	0.15294096	0.1840889	0.24886543
Csmd2	0.26931906	0.3714738	0.3697414	0.43888628
Gm9908	0.70467144	0.9757404	0.54604787	0.8161323
Ttll4	1.6441321	2.2747076	1.9328622	2.182235
Asxl1	1.9624678	2.531777	2.2385843	2.518545
Eapp	2.7213666	3.0551317	2.9683425	3.0668948
Gm45890	0.49903423	1.1091869	0.64989245	0.5644509
Unc13a	0.32223153	0.5809795	0.3419443	0.63353723
Gabrr2	0.63237774	0.7109653	0.57705414	0.8934007
Cyp20a1	2.5855865	3.065942	2.8438578	2.756668
Ubtd2	2.234768	2.7580369	2.1273882	2.8154888
Wwc2	2.7026324	3.0787964	2.9536486	2.9832735
Txnrd1	2.4513495	2.926818	2.6724312	2.6648974
Mob1a	2.6390374	2.8779802	2.8000727	3.0631077
Agbl1	0.11928537	0.0026040417	0.1725207	0.24869543
Ripply3	0.50877875	0.99460083	0.8724175	1.07237
Cpne7	1.1512983	1.7557615	1.246708	1.6467763
Slc16a1	1.9152701	2.6483269	2.3241704	2.1975381
Srsf4	2.3542445	2.816342	2.60563	2.6605003
Mss51	1.0845326	1.6146854	1.1518975	1.4522953
Akr1c19	0.8100332	1.761964	1.2010907	1.6112406
Rapgef6	2.5081441	3.1342432	2.7702067	2.6010716
B130046B21Rik	0.35213983	0.17499633	0.45652187	0.6066392
Gm14325	1.0617129	1.7874278	1.3248085	1.6213253
Sox17	0.42830598	1.039688	0.49383017	0.78323025
Ilf3	2.3148546	2.8418062	2.55502	2.4469452
