gene	log_min	log_max
Lbx2	-16.046076	-12.592197
Zdhhc12	-14.174274	-10.720396
Ly6i	-16.333757	-12.87988
Trmt11	-13.3133335	-9.859455
Nckap5l	-13.490788	-10.03691
Sec24d	-11.275922	-7.822044
Lama5	-14.174274	-10.720396
Slc13a3	-18.818665	-15.364787
4930563E22Rik	-15.012003	-11.558125
Laptm5	-16.253716	-12.799837
Il12rb2	-18.125517	-14.671639
Mpig6b	-17.209227	-13.755349
Zfp622	-12.372945	-8.919066
Slc9b1	-15.640612	-12.186733
Phactr2	-11.596099	-8.1422205
Coq2	-12.105709	-8.651831
Syt3	-14.968517	-11.514639
4833408A19Rik	-14.867421	-11.413543
Gm43403	-16.333757	-12.87988
Shisal1	-15.417468	-11.96359
Arhgap39	-14.039541	-10.585663
C030004G16Rik	-17.720053	-14.266174
Zfp667	-13.576918	-10.123039
Tmem74	-16.872755	-13.418877
9330159M07Rik	-13.9983835	-10.544505
Ccdc34	-11.366843	-7.9129653
Dlg4	-12.038743	-8.584865
Fam241b	-16.62144	-13.1675625
Pak2	-10.798723	-7.3448453
Ndufb11	-9.817072	-6.363194
Pex19	-12.270446	-8.816567
Shpk	-14.69153	-11.237652
Oxsm	-13.9358635	-10.481985
Kif9	-15.822933	-12.369055
Aqr	-12.160654	-8.706776
Alg12	-13.928316	-10.474438
Pfdn6	-11.489572	-8.035693
D830050J10Rik	-13.338026	-9.884148
Smpd2	-12.693981	-9.240103
Shank3	-15.034475	-11.580597
2810004N23Rik	-12.135304	-8.681426
Zrsr1	-12.731891	-9.278012
Asprv1	-16.872755	-13.418877
Mcm7	-13.001554	-9.547675
Abhd6	-13.642515	-10.188637
Slitrk4	-17.209227	-13.755349
Tnfrsf19	-16.110615	-12.656736
Kif27	-17.026905	-13.573028
Gsta1	-17.209227	-13.755349
Fendrr	-15.105093	-11.651215
Slc25a51	-12.053626	-8.599748
Kat7	-12.543903	-9.090025
Chrm1	-17.026905	-13.573028
Stag3	-17.43237	-13.978492
Unk	-13.530398	-10.07652
Ampd1	-16.872755	-13.418877
Cbr2	-14.233698	-10.7798195
Agpat4	-11.679005	-8.225126
Ampd2	-12.405206	-8.951327
Btbd1	-11.848874	-8.394996
Abca2	-12.462558	-9.008679
Asb3	-12.837251	-9.383372
Vac14	-13.603729	-10.149851
Rdh10	-13.402565	-9.948687
Ptpn22	-16.872755	-13.418877
Ribc2	-18.818665	-15.364787
Wdr31	-15.928293	-12.474415
Sec23b	-12.483611	-9.029733
Gm26760	-16.872755	-13.418877
Fbrs	-12.902463	-9.448585
Pdrg1	-11.873614	-8.419736
Plagl2	-13.91339	-10.459512
Adam23	-13.443387	-9.989509
Igf2bp1	-16.516079	-13.0622015
Rwdd2a	-14.318855	-10.864977
Ghitm	-11.224787	-7.770909
Gm16537	-16.872755	-13.418877
Olfr1392	-17.720053	-14.266174
P2ry1	-14.254317	-10.800439
Gm9913	-15.292304	-11.838426
Gng4	-15.207747	-11.753869
Eps8l2	-16.046076	-12.592197
Ash1l	-10.772757	-7.3188787
Bmp6	-14.555985	-11.102107
Actl6a	-12.466036	-9.012157
Ccdc47	-11.342759	-7.888881
Gm33474	-15.928293	-12.474415
Pcbp2	-10.028548	-6.5746703
Tmem163	-18.818665	-15.364787
Csmd2	-17.720053	-14.266174
Gm9908	-16.046076	-12.592197
Ttll4	-13.768809	-10.314931
Asxl1	-12.9465475	-9.492669
Eapp	-11.308234	-7.8543563
Gm45890	-16.179607	-12.725729
