gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.23	0.29	0.23	0.66	1.0	-24.908966	-24.578554	-24.538208	-24.910574	0.0	0.00069829985	-15.907084303460614	2.5245517800236783	0.0011843663639952626	3
Zdhhc12	0.45	0.49	0.45	0.52	1.0	-314.7015	-305.48853	-312.02115	-308.8993	0.0	-2.5198703	-12.72135297758665	3.4007266919560153	0.026845637583892617	68
Ly6i	0.38	0.24	0.24	0.62	1.0	-34.41324	-33.22179	-34.31037	-33.36329	0.0	-0.45598733	-15.666002304374972	5.352061478633802	0.0015791551519936833	4
Trmt11	0.39	0.49	0.39	0.43	1.0	-701.1471	-695.6673	-699.9481	-696.4302	0.0	-2.0485318	-11.603106588893045	3.159990083564643	0.07461508093170154	189
Nckap5l	0.41	0.4	0.4	0.58	1.0	-609.4325	-603.4515	-608.86163	-603.6041	0.0	-2.5312285	-11.811732965352878	2.1469029257844596	0.06395578365574418	162
Sec24d	0.38	0.47	0.38	0.59	1.0	-2525.3901	-2503.1965	-2516.202	-2512.512	0.0	-5.59292	-9.533663397285569	3.327993229887494	0.41413343861034346	1049
Lama5	0.4599999999999999	0.45	0.45	0.54	1.0	-334.776	-328.00906	-330.81976	-331.72015	0.0	-1.3271376	-12.601638115263087	2.5431027676808133	0.026845637583892617	68
4930563E22Rik	0.05	0.18	0.05	0.69	0.93	-173.2772	-174.0661	-172.7806	-175.71094	1.0	1.0569559	-13.69967890914615	5.69553922409032	0.012633241215949467	32
Laptm5	0.39	0.14	0.14	0.57	1.0	-63.683575	-62.822777	-63.78733	-62.881775	0.0	-0.34821722	-14.79249353821221	1.3478423915258348	0.0019739439399921043	5
Il12rb2	0.48	0.29	0.29	0.55	1.0	-7.84281	-8.329045	-7.8708925	-8.237951	0.9422453	0.17160761	-16.926458831423272	1.6202339751732815	0.00039478878799842083	1
Mpig6b	0.22	0.31	0.22	0.63	1.0	-33.085083	-33.646156	-32.731556	-33.8644	1.0	0.3384526	-15.51145040680362	2.5020929706129693	0.0019739439399921043	5
Zfp622	0.44	0.4399999999999999	0.4399999999999999	0.59	1.0	-1315.7953	-1293.4012	-1305.7004	-1303.4216	0.0	-5.373811	-10.68255784191631	3.7706370495298454	0.17765495459928937	450
Slc9b1	0.44	0.25	0.25	0.58	1.0	-79.257835	-77.680405	-78.38167	-78.72115	0.0	-0.23307808	-14.63047970536105	1.9714687387625514	0.00473746545598105	12
Phactr2	0.48	0.29	0.29	0.6	1.0	-2380.246	-2340.1707	-2361.0205	-2357.9988	0.0	-9.661886	-9.643471412073483	1.3089368042238831	0.3687327279905251	934
Coq2	0.3	0.2099999999999999	0.2099999999999999	0.67	0.9899999999999998	-1604.739	-1600.8854	-1605.6826	-1602.4874	0.0	-0.97785175	-10.364236295347016	4.232412820038551	0.22818791946308725	578
Syt3	0.31	0.1999999999999999	0.1999999999999999	0.66	1.0	-234.12527	-234.4084	-232.16382	-236.47949	1.0	1.0224236	-13.187975101125675	5.408509755572855	0.0189498618239242	48
4833408A19Rik	0.24	0.42	0.24	0.53	1.0	-179.68948	-176.59296	-177.59572	-179.07918	0.0	-0.26505244	-13.54024066903022	5.840446574468972	0.013422818791946308	34
Gm43403	0.27	0.48	0.27	0.57	1.0	-54.299335	-52.5904	-53.922462	-52.858418	0.0	-0.6257827	-14.942710179489424	3.069762130919787	0.0031583103039873666	8
Shisal1	0.16	0.4399999999999999	0.16	0.37	1.0	-70.815186	-70.628716	-74.14832	-68.12272	0.0	-1.1693234	-14.582797962298455	3.422343065397165	0.0027635215159889457	7
Arhgap39	0.49	0.25	0.25	0.61	1.0	-435.69806	-427.23526	-430.97525	-431.75034	0.0	-1.7144744	-12.327070814528788	4.7767009007248165	0.04066324516383735	103
C030004G16Rik	0.35	0.3299999999999999	0.3299999999999999	0.63	1.0	-15.86894	-15.957814	-15.908461	-16.000164	0.5553219	0.05698972	-16.293025020215723	5.651262362685362	0.0007895775759968417	2
Zfp667	0.32	0.3199999999999999	0.3199999999999999	0.68	0.9599999999999996	-719.3962	-712.2199	-714.525	-716.9299	0.0	-1.0711042	-11.601529051596222	3.9947528171525084	0.07540465850769838	191
Tmem74	0.24	0.09	0.09	0.62	1.0	-27.57406	-29.631077	-27.883047	-29.16145	0.8497889	0.6893943	-15.586397035180472	1.3083857859118027	0.0015791551519936833	4
9330159M07Rik	0.43	0.29	0.29	0.55	1.0	-372.54755	-365.95767	-374.08078	-366.67294	0.0	-2.5513077	-12.487982503192944	0.9664293110027806	0.03276746940386893	83
