gene	bin_0	bin_1	bin_2	bin_3
Lbx2	-0.33184186	0.31917498	0.452925	-0.20161228
Zdhhc12	1.5057734	1.3726864	1.5460539	1.423591
Ly6i	0.4712164	-0.2398424	0.21954879	0.34142518
Trmt11	1.788884	2.204548	2.0930173	2.140383
Nckap5l	2.1147196	1.8377181	2.0783937	1.7761317
Sec24d	2.8509037	2.8273702	3.0871778	2.8858104
Lama5	1.6203277	1.5553874	1.499801	1.5429804
4930563E22Rik	1.4311934	0.5153618	-0.6481875	1.5080394
Laptm5	0.9221378	0.7148449	0.6121444	-0.8313009
Il12rb2	-0.07797374	0.3136615	-0.06819566	-0.056336313
Mpig6b	-0.60278887	0.6700092	0.57953674	0.035480917
Zfp622	2.5729146	2.4746342	2.4419599	2.5752392
Slc9b1	0.43410692	0.74598515	0.6926886	-0.05477578
Phactr2	2.9652224	3.0746393	2.7054758	2.8019748
Coq2	2.6716654	1.9270966	2.8632035	2.7385225
Syt3	1.3876791	0.8069647	0.77493113	1.4951775
4833408A19Rik	1.409964	0.8484632	0.48439494	0.986928
Gm43403	-0.19013777	0.59062487	0.8321303	0.579223
Shisal1	-1.3387893	0.8392338	0.5357932	1.0677979
Arhgap39	1.812597	1.4012638	1.6189708	1.7751331
C030004G16Rik	0.29064494	-0.11939767	-0.16324496	0.23226011
Zfp667	2.139247	1.9636333	2.2126052	2.1046975
Tmem74	0.24322271	0.65759426	-0.3452215	-0.29416546
9330159M07Rik	1.7742796	1.6668917	1.3776551	1.5135679
Ccdc34	3.1564932	2.7878997	2.8779395	2.4767995
Dlg4	2.7643583	2.6586018	2.5600162	2.6761332
Fam241b	-0.8289052	0.456486	0.58741426	0.6013433
Hs3st6	0.0878422	-0.047646567	-0.050699554	-0.058469597
Pak2	2.9694295	2.9763074	3.1462011	3.0914738
Ndufb11	3.3587978	3.2431986	3.320358	3.270431
Pex19	2.8024645	2.5877063	2.6614459	2.4325454
Shpk	1.7041743	1.205104	1.3931129	1.4568819
Oxsm	2.0441146	1.6917726	1.7660477	1.5092597
Kif9	0.32472467	1.0176065	-0.25069773	0.7845205
Aqr	2.6286793	2.5225697	2.8097394	2.6967695
Alg12	2.052089	1.4242642	1.7521621	1.6811938
Gm48657	-0.07009032	-0.04608217	-0.05149489	0.43408808
Pfdn6	2.9916787	2.5324118	2.8672373	2.8780186
D830050J10Rik	2.2758963	2.1628344	2.1485524	1.2614741
Smpd2	2.629953	2.3858185	2.2080903	2.1799812
Shank3	1.6189132	1.1469817	0.71533597	1.1893079
2810004N23Rik	2.6742685	2.0321295	2.4763794	2.773784
Zrsr1	2.1181548	2.3329499	2.517464	2.429183
Asprv1	-0.09114588	-0.04330099	-0.06686932	0.1598651
Mcm7	2.1491868	1.8689619	2.3810198	1.5961595
Abhd6	2.1484852	1.8059561	1.8490702	2.0371556
Slitrk4	-0.19715895	-0.09023956	0.22138484	-0.13149369
Tnfrsf19	0.41069615	-1.0124552	0.8337825	-1.1136742
Kif27	-0.3420841	0.2844641	0.29046604	0.23833016
Gsta1	-0.075590685	-0.039310373	0.38089013	-0.054065812
Fendrr	1.032443	0.8985973	1.2728158	1.1633651
Slc25a51	2.6834898	2.756038	2.7575707	2.5833209
Kat7	2.5837836	2.0286114	2.4153903	2.613253
Chrm1	0.3174548	-0.33323163	0.5136252	0.65059656
Stag3	0.7329212	-0.34632578	0.46796548	0.20931546
Unk	2.1461763	2.0533538	1.906085	2.0998774
Ampd1	0.31185478	0.28278396	-0.35226175	0.5333502
Cbr2	1.7613016	0.8115257	1.5193905	1.5563357
Agpat4	2.8576286	2.724474	2.9372818	2.2403016
Ampd2	2.6179302	2.3585563	2.6805952	1.8821372
Btbd1	2.946558	2.6942048	2.4134526	2.8014007
Abca2	2.49004	2.5969884	2.4649582	2.4215481
Asb3	2.1094086	2.3282638	2.3469288	2.2706
Vac14	2.150115	1.7712657	2.052592	1.9671208
Rdh10	2.367508	0.58223075	2.1453984	2.2294483
Ptpn22	-0.0793681	-0.037937764	0.23886569	-0.04735193
Wdr31	0.8639078	0.45762515	0.6422821	-0.030698925
Sec23b	2.7688215	1.9328828	2.5094898	2.5118742
Gm26760	0.4163347	0.6995443	0.037422672	0.110781126
Fbrs	2.570367	2.1892657	1.9757382	2.365122
Pdrg1	2.844243	2.5659046	2.8143883	2.4519613
Plagl2	1.9233043	1.644577	2.0432928	1.8344126
Adam23	1.903407	2.0447712	2.1773384	2.0789294
Igf2bp1	-0.32983372	0.38098484	-0.22650717	0.4373743
Rwdd2a	1.5595282	1.0556124	1.318264	1.2943178
Ghitm	2.9643514	2.7790487	2.9447331	2.9155564
Gm16537	-0.19484705	0.17265263	0.35022753	-0.1376543
P2ry1	1.2367702	1.5033749	1.6525437	1.6412207
Gm9913	1.5144081	1.054585	-0.83687115	0.6148575
Gng4	1.1427487	0.87156606	1.052054	0.44991443
Eps8l2	0.07321876	-0.89418024	1.0661302	-0.06106937
Ash1l	3.0961576	3.1566806	2.774408	3.1266234
Bmp6	1.1468012	0.64369863	-0.019075966	0.7138544
Actl6a	2.7116299	2.411798	2.5550652	2.4980955
Ccdc47	3.0938525	2.4151778	2.664395	3.0689344
Gm33474	-0.4720076	0.6440006	0.2090007	-0.29606363
Pcbp2	3.106806	3.2592878	3.2390428	3.1701367
Gm9908	0.3794211	1.163865	1.1117538	0.9186844
Ttll4	1.7713138	1.6810158	1.9627165	1.7900578
Asxl1	2.2887387	2.0079489	2.4662216	2.4258533
Eapp	2.9904306	2.4284565	3.0527265	2.9915524
Gm45890	0.88593763	0.63977396	-0.44273826	-0.3886602
Unc13a	0.82996523	0.4385892	0.2475013	0.4390401
Gabrr2	0.47418204	0.33233908	0.7933921	0.85563445
Cyp20a1	3.0080876	2.7297263	2.8821697	2.6958766
Ubtd2	2.8925302	2.7203312	2.4804223	1.5953451
Wwc2	2.9434063	3.056852	2.9071658	2.968891
Txnrd1	2.7167146	2.665632	2.7348688	2.7167835
Mob1a	3.0157595	2.9109316	2.8983772	2.7272203
Agbl1	-0.087241165	-0.049100425	-0.06803934	0.15403613
Ripply3	1.0404216	0.8645844	0.9385593	-0.65918213
Cpne7	0.23404774	0.8855367	0.8147653	1.650513
Slc16a1	1.9987966	1.211494	2.584876	2.0303264
Srsf4	2.7167854	2.379761	2.6905808	2.6096919
Mss51	1.0669947	1.3616679	0.8603337	1.4201444
Akr1c19	1.1894486	0.9906727	1.1941205	0.9017737
Rapgef6	2.765232	3.0524204	2.5266535	2.9072638
B130046B21Rik	0.3495785	0.3135157	-0.23037061	-0.22567648
Gm14325	1.2443094	1.2960496	1.544589	1.0423707
Sox17	0.44544575	-0.036521018	-0.06034103	-0.046120103
Ilf3	2.7403	2.474022	2.7121909	2.4622388
Exog	1.924016	1.5174787	0.39956018	1.4526373
Kansl2	2.5230944	2.4517963	2.4873264	2.2962055
Iqsec1	2.7905698	2.7687104	2.5866778	2.5540462
Rnaset2b	2.4296637	2.0087643	2.1555028	2.1905172
Ssu2	0.3431244	-0.04573959	-0.07531056	-0.04229358
Lrrc40	2.1842833	1.6516738	1.8806732	1.9326977
Fjx1	1.544577	1.3454958	1.3859055	1.4417635
