gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.46456736	0.03329541	0.009816827	0.37624824
Zdhhc12	1.7660877	1.5412345	1.4721681	1.5035852
Ly6i	0.34091464	0.39626247	0.5448574	0.3486269
Trmt11	2.1704226	2.0921912	2.1986713	2.0230157
Nckap5l	2.2013688	1.8771027	2.0207798	2.03898
Sec24d	2.947377	2.9173157	3.0479803	2.9501464
Lama5	1.8870593	1.5639857	1.6065793	1.6597853
4930563E22Rik	1.3109981	1.1620055	0.8900149	1.1891986
Laptm5	0.69528615	0.7632194	0.6391462	0.49928734
Il12rb2	0.27066728	-0.39607126	0.2321083	0.21558785
Mpig6b	0.5040193	0.3689365	0.4856832	0.5669084
Zfp622	2.7221446	2.4824464	2.523634	2.5340564
Slc9b1	0.9171272	0.5369388	0.7431149	0.7822309
Phactr2	3.0298443	2.898395	2.8360343	2.8716261
Coq2	2.7683246	2.3210104	2.7113676	2.6507254
Syt3	1.3760009	1.3616096	1.3696793	1.330248
4833408A19Rik	1.2958478	1.2163925	1.116332	1.006683
Gm43403	0.7442761	0.555884	0.6269666	0.62193847
Shisal1	0.6105833	0.6585606	0.96858954	0.5673289
Arhgap39	1.9661934	1.7668443	1.8072993	1.6008787
C030004G16Rik	0.02772999	0.3012286	0.34150252	0.09334266
Zfp667	2.300986	2.1259851	2.2079527	2.0764742
Tmem74	0.48537847	-0.80944294	0.45833015	0.4285134
9330159M07Rik	1.8772081	1.4330604	1.7595652	1.6786655
Ccdc34	3.0618904	2.8008733	2.8703065	2.6824887
Dlg4	2.795954	2.6666975	2.6843066	2.6980994
Fam241b	0.48713943	0.112179756	0.65304637	0.5690181
Hs3st6	-0.06288104	0.19110617	0.21024807	0.19435573
Pak2	3.0275438	2.9754992	3.114103	3.1019444
Ndufb11	3.3056173	3.2041154	3.2520566	3.2445076
Pex19	2.8306997	2.5827837	2.694758	2.5407424
Shpk	1.8126135	1.4317832	1.6211691	1.4693913
Oxsm	2.0696287	1.6715376	1.9670643	1.8817933
Kif9	1.0597292	0.50594944	0.69083893	0.92648536
Aqr	2.7585783	2.5973704	2.725603	2.693887
Alg12	2.0685775	1.770898	1.790085	1.8681293
Gm48657	0.26677802	0.18244435	0.22045422	-0.1954007
Pfdn6	3.0020132	2.6817827	2.886722	2.8823612
D830050J10Rik	2.3438814	1.9076384	2.1685045	1.7921851
Smpd2	2.629206	2.308568	2.398541	2.3632843
Shank3	1.4021626	1.1884692	1.2401687	1.4228021
2810004N23Rik	2.7090135	2.3550909	2.582979	2.6162803
Zrsr1	2.3557053	2.372348	2.487877	2.4121115
Asprv1	0.27589202	0.1932942	0.22646919	-0.34921107
Mcm7	2.3150635	2.0730217	2.0933695	1.9839458
Abhd6	2.2391849	1.9444346	2.1087708	1.8954674
Slitrk4	0.3852334	0.29387218	-0.5691663	0.3275581
Tnfrsf19	1.0429313	0.5158896	-0.44449478	0.54383653
Kif27	0.4610917	-0.02130505	0.25612766	0.19306168
Gsta1	0.25969413	0.19371513	-0.08527759	0.21024369
Fendrr	1.5183624	1.1239827	1.397154	1.1801554
Slc25a51	2.748756	2.6659808	2.7537189	2.6642962
Kat7	2.653052	2.3535447	2.5189366	2.4441648
Chrm1	0.7507043	0.47867206	0.29971528	0.3425187
Stag3	0.74485993	0.48425403	0.4095032	0.5206332
Unk	2.293821	2.0129507	2.1677072	1.9946184
Ampd1	0.56599134	0.40349314	0.4694504	0.038924716
Cbr2	1.8393966	1.4145247	1.5950909	1.4381357
Agpat4	2.9142392	2.7525945	2.8649106	2.4727113
Ampd2	2.6626256	2.4074805	2.5042408	2.2232766
Btbd1	2.933705	2.6998634	2.6519628	2.8007612
Abca2	2.5919414	2.4282572	2.5810819	2.5220788
Asb3	2.3750455	2.1955545	2.3578334	2.326831
Vac14	2.2327757	1.984833	2.1163404	1.9443239
Rdh10	2.3297668	1.5175556	2.1754906	2.086689
Ptpn22	0.2598321	0.17998423	-0.24396838	0.19751696
Wdr31	0.9290337	0.60985935	0.71908987	0.58714694
Sec23b	2.7343206	2.2762873	2.5492494	2.4793649
Gm26760	0.6699324	-0.005705467	0.5872324	0.840029
Fbrs	2.5376706	2.3057613	2.2640805	2.319218
Pdrg1	2.8167775	2.6566465	2.7748652	2.6466217
Plagl2	2.137959	1.8638479	1.9751399	1.8203657
Adam23	2.225169	2.1479769	2.0740895	2.215435
Igf2bp1	0.47191542	-0.42095897	0.39416543	0.32715133
Rwdd2a	1.6081232	1.4452776	1.5026264	1.2756075
Ghitm	2.9797463	2.8661387	2.9778612	2.9468098
Gm16537	0.37210593	-0.056996	0.26440737	0.32695502
P2ry1	1.7326849	1.5706517	1.6025423	1.5253177
