gene	log_min	log_max
Lbx2	-17.50468	-14.050803
Zdhhc12	-14.354799	-10.900921
Ly6i	-17.217	-13.763122
Trmt11	-13.275418	-9.82154
Nckap5l	-13.467496	-10.0136175
Sec24d	-11.214967	-7.761089
Lama5	-14.221268	-10.767389
4930563E22Rik	-15.106787	-11.652908
Laptm5	-16.300709	-12.84683
Il12rb2	-18.603292	-15.149415
Mpig6b	-16.993856	-13.539978
Zfp622	-12.366924	-8.913046
Slc9b1	-16.118387	-12.664509
Phactr2	-11.35124	-7.897362
Coq2	-12.03803	-8.584151
Syt3	-14.711474	-11.257596
4833408A19Rik	-15.076934	-11.623055
Gm43403	-16.523851	-13.069974
Shisal1	-16.038345	-12.584467
Arhgap39	-13.939856	-10.485977
C030004G16Rik	-17.910147	-14.456269
Zfp667	-13.265757	-9.811878
Tmem74	-17.217	-13.763122
9330159M07Rik	-14.1259575	-10.672079
Ccdc34	-11.414882	-7.961004
Dlg4	-11.979229	-8.525351
Fam241b	-16.657383	-13.2035055
Hs3st6	-18.603292	-15.149415
Pak2	-10.688677	-7.234799
Ndufb11	-9.896308	-6.44243
Pex19	-12.132495	-8.678617
Shpk	-14.398602	-10.944723
Oxsm	-13.705455	-10.251576
Kif9	-16.118387	-12.664509
Aqr	-12.029614	-8.575736
Alg12	-13.841121	-10.387242
Gm48657	-18.603292	-15.149415
Pfdn6	-11.528331	-8.074452
D830050J10Rik	-13.295027	-9.841148
Smpd2	-12.647457	-9.193579
Shank3	-14.819105	-11.365227
2810004N23Rik	-12.151245	-8.697367
Zrsr1	-12.697932	-9.244054
Asprv1	-18.603292	-15.149415
Mcm7	-13.200617	-9.746738
Abhd6	-13.473395	-10.019517
Slitrk4	-17.910147	-14.456269
Tnfrsf19	-15.964237	-12.510359
Kif27	-17.50468	-14.050803
Gsta1	-18.603292	-15.149415
Fendrr	-14.914414	-11.460536
Slc25a51	-11.940162	-8.486283
Kat7	-12.500735	-9.046857
Chrm1	-16.993856	-13.539978
Stag3	-16.993856	-13.539978
Unk	-13.32518	-9.871302
Ampd1	-17.217	-13.763122
Cbr2	-14.259489	-10.805611
Agpat4	-11.712686	-8.258807
Ampd2	-12.51425	-9.060371
Btbd1	-11.77134	-8.317462
Abca2	-12.421209	-8.967331
Asb3	-12.857091	-9.403213
Vac14	-13.444239	-9.99036
Rdh10	-13.2188	-9.764921
Ptpn22	-18.603292	-15.149415
Wdr31	-16.300709	-12.84683
Sec23b	-12.417086	-8.963207
Gm26760	-16.523851	-13.069974
Fbrs	-12.780249	-9.32637
Pdrg1	-11.969975	-8.516097
Plagl2	-13.66882	-10.214942
Adam23	-13.26096	-9.807081
Igf2bp1	-17.50468	-14.050803
Rwdd2a	-14.652051	-11.198173
Ghitm	-11.202674	-7.748796
Gm16537	-17.910147	-14.456269
P2ry1	-14.160643	-10.706764
Gm9913	-14.992376	-11.538498
Gng4	-15.169307	-11.715428
Eps8l2	-16.118387	-12.664509
Ash1l	-10.520274	-7.066396
Bmp6	-15.712922	-12.259044
Actl6a	-12.328532	-8.874654
Ccdc47	-11.206346	-7.7524676
Gm33474	-17.217	-13.763122
Pcbp2	-10.022939	-6.569061
Gm9908	-15.770081	-12.316202
Ttll4	-13.728097	-10.274219
Asxl1	-12.765564	-9.311686
Eapp	-11.357639	-7.9037614
Gm45890	-16.993856	-13.539978
Unc13a	-16.300709	-12.84683
Gabrr2	-16.038345	-12.584467
Cyp20a1	-11.440122	-7.9862437
Ubtd2	-12.108028	-8.65415
Wwc2	-11.043735	-7.5898566
Txnrd1	-11.861593	-8.407715
Mob1a	-11.41036	-7.9564824
Agbl1	-18.603292	-15.149415
Ripply3	-15.712922	-12.259044
Cpne7	-15.019775	-11.565897
Slc16a1	-12.997492	-9.543613
Srsf4	-12.146524	-8.692646
Mss51	-14.61431	-11.160432
Akr1c19	-15.106787	-11.652908
Rapgef6	-11.420942	-7.9670644
B130046B21Rik	-17.50468	-14.050803
Gm14325	-14.595962	-11.142083
Sox17	-18.603292	-15.149415
Ilf3	-12.163944	-8.710066
Exog	-14.137386	-10.683508
Kansl2	-12.601879	-9.148001
Iqsec1	-11.9074955	-8.453617
Rnaset2b	-13.019798	-9.56592
Ssu2	-18.603292	-15.149415
Lrrc40	-13.599348	-10.14547
Fjx1	-14.369187	-10.915309
Gm45464	-15.106787	-11.652908
Tubgcp4	-12.687092	-9.233213
Thap4	-13.275418	-9.82154
Helz2	-13.3457985	-9.89192
Gm10037	-15.345198	-11.891319
Cstf2t	-12.762652	-9.308774
Zfp772	-14.428907	-10.975029
Ly6k	-14.842094	-11.388216
Pp2d1	-17.50468	-14.050803
Gm19569	-17.910147	-14.456269
Gm11613	-16.205399	-12.751521
Gm49698	-16.118387	-12.664509
Pdlim3	-12.722761	-9.268883
Ppp2r1a	-11.359067	-7.905189
2810405F17Rik	-14.369187	-10.915309
Apaf1	-12.822551	-9.368672
Ocrl	-12.657874	-9.203996
Dnlz	-11.445559	-7.9916806
Fbxo7	-13.139462	-9.685584
Wnt11	-14.137386	-10.683508
Gm17216	-14.691272	-11.237393
Crybb3	-14.61431	-11.160432
Atp13a2	-12.902851	-9.448973
Olfr921	-15.895245	-12.441366
Tsen34	-10.976237	-7.5223594
Gm11521	-18.603292	-15.149415
