gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.0699999999999999	0.23	0.0699999999999999	0.64	1.0	-86.953735	-89.197	-87.13717	-88.94033	0.91822916	0.8627673	-14.699823780990826	0.6544000889690462	0.0033324788515765188	13
Zdhhc12	0.42	0.47	0.42	0.55	1.0	-363.12848	-358.32233	-360.28247	-361.51645	0.0	-0.7000957	-12.79912568776352	5.738240550073273	0.019482184055370416	76
Ly6i	0.28	0.17	0.17	0.79	0.6299999999999999	-62.872112	-61.71338	-61.578682	-62.460236	0.0	-0.17887576	-15.17254590166872	4.2952008239900605	0.0023071007433991286	9
Trmt11	0.4599999999999999	0.48	0.4599999999999999	0.64	1.0	-896.14734	-875.7209	-889.4896	-882.53674	0.0	-5.9110065	-11.658656730386909	6.089494322200177	0.05793386311202256	226
Nckap5l	0.3399999999999999	0.41	0.3399999999999999	0.62	1.0	-659.33093	-650.5676	-658.2514	-651.39764	0.0	-3.4453833	-12.064288897689242	0.5630960852949007	0.04152781338118431	162
Sec24d	0.45	0.3	0.3	0.49	1.0	-3375.3958	-3335.7844	-3351.3118	-3362.3394	0.0	-5.670321	-9.540858090437116	4.716729795565226	0.3404255319148936	1328
Lama5	0.33	0.41	0.33	0.66	1.0	-472.71085	-458.2606	-467.88257	-462.04282	0.0	-4.633066	-12.494601303439701	2.4710879986131657	0.021020251217636503	82
4930563E22Rik	0.47	0.43	0.43	0.6	1.0	-221.59738	-217.5131	-218.1237	-220.93388	0.0	-0.28815347	-13.46347158680883	1.4443586159729005	0.010253781081773904	40
Laptm5	0.17	0.4	0.17	0.4	1.0	-158.60355	-158.73033	-159.87094	-157.26924	0.0	-0.5794812	-13.965900898846154	0.16266656174612404	0.0035888233786208665	14
Mpig6b	0.37	0.36	0.36	0.57	1.0	-32.256844	-31.052923	-32.23075	-31.165045	0.0	-0.4741622	-15.935212279857993	0.8193961982852658	0.0010253781081773904	4
Zfp622	0.47	0.42	0.42	0.61	1.0	-1671.6803	-1642.0391	-1655.2041	-1658.321	0.0	-5.80185	-10.69523976457931	1.861493000527676	0.13868238913099204	541
