gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.71281135	0.37165415	0.7492518	0.90011656
Zdhhc12	1.5944177	1.433388	1.8520316	1.5876216
Ly6i	0.7504223	0.48636457	0.7226919	0.30506405
Trmt11	2.3216465	2.0260723	2.425139	2.0943353
Nckap5l	2.1036055	1.8474619	2.2757537	1.984613
Sec24d	3.0730827	2.7274377	3.0427532	3.0190914
Lama5	1.7563525	1.8028407	2.1431856	1.8022763
4930563E22Rik	1.3817681	0.92159235	1.6934677	1.1936017
Laptm5	1.2936333	1.0557486	0.902713	1.1261442
Mpig6b	0.2515278	0.32942054	0.5340223	0.40306294
Zfp622	2.6710863	2.4863694	2.7697978	2.5287728
Slc9b1	0.63036203	0.45652506	0.6830736	0.4883961
Phactr2	2.8365848	2.8069453	2.8014798	2.8369486
Coq2	2.6439972	2.546429	2.9191034	2.6653292
Syt3	1.3282135	1.1727179	1.6120769	1.4997549
4833408A19Rik	1.4940135	1.354963	1.7488542	1.5459193
Gm43403	0.8241135	0.41066083	1.0278807	0.86429876
Shisal1	0.75796473	0.7854778	1.0973786	1.0436202
Arhgap39	1.6735872	1.4897151	1.9475601	1.5955147
Zfp667	2.1826458	1.893322	2.3009865	2.000674
Tmem74	0.35668066	-0.70851463	0.39545584	0.3142861
9330159M07Rik	1.5899655	1.5895307	1.9990746	1.678024
Ccdc34	2.996443	2.8792562	3.0653167	2.8449068
Dlg4	2.7886064	2.6794014	2.869619	2.6400049
Fam241b	0.9626763	0.63901573	1.0487792	0.90424275
Pak2	3.0905986	3.04568	3.1460276	2.951702
Ndufb11	3.2693412	3.233142	3.295993	3.2434423
Pex19	2.5756376	2.5567973	2.8137374	2.6511638
Shpk	1.6880987	1.3878597	1.855598	1.3485554
Oxsm	1.8748988	1.5183713	2.1853695	1.6731172
Kif9	1.0318391	0.9349953	1.2578359	0.8697392
Aqr	2.7109597	2.4799461	2.8736598	2.6306965
Alg12	2.0517693	1.7959101	2.212373	1.7291659
Gm48657	0.5121247	0.4240485	0.051968444	0.48817873
Pfdn6	2.8663044	2.8693805	3.0540009	2.9753199
D830050J10Rik	2.3010983	1.9511954	2.4456055	2.0369666
