gene	log_min	log_max
Lbx2	-16.251154	-12.7972765
Zdhhc12	-14.434077	-10.980199
Ly6i	-16.61888	-13.165001
Trmt11	-13.3354645	-9.881586
Nckap5l	-13.704116	-10.250237
Sec24d	-11.228793	-7.774915
Lama5	-14.071172	-10.617293
4930563E22Rik	-15.102531	-11.648653
Laptm5	-15.4149065	-11.961028
Mpig6b	-17.42981	-13.975931
Zfp622	-12.384772	-8.930894
Slc9b1	-17.206665	-13.752788
Phactr2	-11.612699	-8.15882
Coq2	-12.131492	-8.677613
Syt3	-14.80877	-11.354892
4833408A19Rik	-14.626449	-11.17257
Gm43403	-16.331196	-12.877318
Shisal1	-15.771582	-12.317703
Arhgap39	-14.327467	-10.873589
Zfp667	-13.512799	-10.058921
Tmem74	-18.122955	-14.669078
9330159M07Rik	-14.124756	-10.670877
Ccdc34	-11.4203825	-7.9665046
Dlg4	-12.015934	-8.562056
Fam241b	-15.98289	-12.529012
Pak2	-10.92852	-7.4746423
Ndufb11	-9.773235	-6.3193574
Pex19	-12.190711	-8.736833
Shpk	-14.385287	-10.931409
Oxsm	-13.979822	-10.525944
Kif9	-15.871665	-12.417787
Aqr	-12.234078	-8.7802
Alg12	-13.662812	-10.208934
Gm48657	-17.206665	-13.752788
Pfdn6	-11.399725	-7.945847
D830050J10Rik	-13.327166	-9.873287
Smpd2	-12.671918	-9.2180395
Shank3	-15.031914	-11.578035
2810004N23Rik	-12.288146	-8.834268
Zrsr1	-12.754647	-9.300769
Mcm7	-13.102371	-9.648493
Abhd6	-13.805469	-10.35159
Tnfrsf19	-18.122955	-14.669078
Kif27	-17.42981	-13.975931
Gsta1	-17.206665	-13.752788
Fendrr	-14.90408	-11.450202
Slc25a51	-11.989558	-8.53568
Kat7	-12.589567	-9.135689
Chrm1	-17.42981	-13.975931
Stag3	-17.024343	-13.570466
Unk	-13.558608	-10.10473
Ampd1	-16.177046	-12.723168
Cbr2	-14.385287	-10.931409
Agpat4	-11.654482	-8.2006035
Ampd2	-12.495336	-9.041457
Btbd1	-11.690017	-8.236138
Abca2	-12.405929	-8.95205
Asb3	-12.706856	-9.252977
Vac14	-13.792223	-10.338345
Rdh10	-13.225117	-9.771238
Ptpn22	-17.206665	-13.752788
Wdr31	-16.61888	-13.165001
Sec23b	-12.378352	-8.924474
Gm26760	-17.206665	-13.752788
Fbrs	-12.839753	-9.385875
Pdrg1	-11.844435	-8.390556
Plagl2	-13.759858	-10.30598
Adam23	-13.543104	-10.089226
Igf2bp1	-16.736662	-13.2827835
Rwdd2a	-14.361756	-10.907878
Ghitm	-11.197853	-7.743975
Gm16537	-17.024343	-13.570466
Olfr1392	-18.122955	-14.669078
P2ry1	-13.548245	-10.094367
Gm9913	-14.755661	-11.301783
Gng4	-15.448808	-11.994929
Cd300lb	-18.816103	-15.362226
Eps8l2	-16.331196	-12.877318
Ash1l	-10.840196	-7.3863177
Bmp6	-15.205186	-11.7513075
Actl6a	-12.497135	-9.043257
