gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.35	0.28	0.28	0.63	1.0	-111.53355	-109.39125	-110.63413	-110.36772	0.0	-0.5063113	-14.6994822549617	3.8470923019381544	0.003856350927934442	16
Zdhhc12	0.17	0.4	0.17	0.64	1.0	-436.31015	-436.8065	-434.2591	-438.5682	1.0	0.9806615	-12.886894213867098	3.3202509955777755	0.02217401783562304	92
Ly6i	0.13	0.12	0.12	0.68	0.9599999999999996	-84.09358	-84.20015	-83.35698	-85.19878	1.0	0.4799797	-15.019981454777499	2.209211113801077	0.0031332851289467343	13
Trmt11	0.4499999999999999	0.38	0.38	0.61	1.0	-1050.5166	-1041.8822	-1048.3137	-1046.1644	0.0	-1.8901247	-11.614217260828573	1.514485143575068	0.06748614123885273	280
Nckap5l	0.44	0.4599999999999999	0.44	0.52	1.0	-893.5832	-886.2218	-890.72034	-889.54376	0.0	-1.7543015	-11.806920810026512	3.467677394914358	0.05736322005302483	238
Sec24d	0.33	0.39	0.33	0.44	1.0	-4070.241	-3987.684	-4022.8542	-4041.657	0.0	-12.413866	-9.440121235239072	2.6608412517221636	0.401060496505182	1664
Lama5	0.28	0.48	0.28	0.62	1.0	-495.56708	-488.07452	-493.04437	-489.5578	0.0	-2.609796	-12.621462309681862	0.05929889843599945	0.025066281031573875	104
4930563E22Rik	0.18	0.29	0.18	0.66	1.0	-227.22578	-226.8223	-225.8691	-226.89145	0.0	-0.14519998	-13.70453511963392	0.6073738693788657	0.0091588334538443	38
Laptm5	0.14	0.47	0.14	0.4	1.0	-62.514885	-64.85392	-63.91408	-63.628185	0.40180606	0.48350018	-15.201969041399618	6.098884398202291	0.0014461315979754157	6
Il12rb2	0.41	0.23	0.23	0.67	0.9899999999999998	-15.274182	-16.194752	-15.312696	-15.7864685	0.9581627	0.22248305	-16.707834346561683	1.3812200441586953	0.00048204386599180526	2
Mpig6b	0.4399999999999999	0.3	0.3	0.59	1.0	-9.195358	-9.3959255	-9.21989	-9.368102	0.8776901	0.07502168	-17.302052107140156	4.864904945825156	0.00024102193299590263	1
Zfp622	0.41	0.42	0.41	0.56	1.0	-1889.5602	-1863.53	-1877.9801	-1878.0857	0.0	-4.9833064	-10.691079367588273	3.9355095108434224	0.15304892745239818	635
Slc9b1	0.14	0.49	0.14	0.72	0.84	-98.7037	-96.96793	-97.90265	-97.93251	0.0	-0.33492216	-14.802752673500937	3.276934278024569	0.0036153289949385392	15
Phactr2	0.47	0.46	0.46	0.51	1.0	-3463.517	-3411.691	-3456.8335	-3422.8293	0.0	-17.670462	-9.700087948360252	1.248372753238189	0.3041696794408291	1262
Coq2	0.48	0.37	0.37	0.62	1.0	-2365.3137	-2336.057	-2356.3792	-2346.536	0.0	-8.155108	-10.339667010094928	4.87350704861793	0.20342251144854182	844
Syt3	0.5	0.31	0.31	0.63	1.0	-314.22656	-310.63287	-313.8056	-311.55914	0.0	-1.1584455	-13.2310549640128	4.892704478269338	0.013979272113762353	58
4833408A19Rik	0.29	0.35	0.29	0.66	1.0	-273.85248	-269.94852	-272.2586	-270.94934	0.0	-1.2608165	-13.470178956548624	3.6412799224456966	0.011810074716799228	49
Gm43403	0.4399999999999999	0.37	0.37	0.56	1.0	-64.872314	-63.321167	-64.28116	-63.701866	0.0	-0.50831926	-15.18349313465665	4.905393696418999	0.0021691973969631237	9
Shisal1	0.1	0.31	0.1	0.54	1.0	-284.36203	-289.52454	-288.01498	-287.771	0.29240683	1.4804951	-13.541034085438378	3.0263523553976888	0.0091588334538443	38
Arhgap39	0.4	0.31	0.31	0.54	1.0	-575.4476	-561.2523	-574.39606	-562.36755	0.0	-5.680579	-12.435882098862209	0.6137175161188289	0.03036876355748373	126
C030004G16Rik	0.41	0.3199999999999999	0.3199999999999999	0.69	0.93	-15.716031	-15.590101	-15.4110775	-15.801081	0.0	0.036936585	-16.640723804671723	3.963988368452556	0.00048204386599180526	2
Zfp667	0.46	0.31	0.31	0.54	1.0	-963.7336	-957.506	-959.3709	-961.65106	0.0	-0.90442675	-11.71197486547503	1.5478024208787433	0.059050373583996146	245
Tmem74	0.2	0.28	0.2	0.57	1.0	-29.408014	-29.690226	-28.920874	-29.973913	1.0	0.24576676	-16.076499045958343	3.723538798301154	0.0007230657989877079	3
9330159M07Rik	0.41	0.48	0.41	0.6	1.0	-535.731	-529.4916	-534.1956	-530.6053	0.0	-2.2260773	-12.544339154745877	0.7334079502931301	0.027717522294528802	115
Ccdc34	0.36	0.29	0.29	0.63	1.0	-3255.1145	-3211.4229	-3249.8833	-3222.564	0.0	-14.1365185	-9.895960058157776	2.395225376418337	0.277175222945288	1150
Dlg4	0.46	0.48	0.46	0.58	1.0	-2430.105	-2393.4333	-2405.4949	-2420.5933	0.0	-4.130887	-10.310188310873126	1.4248236512957515	0.2024584237165582	840
Fam241b	0.18	0.4599999999999999	0.18	0.57	1.0	-75.00185	-74.107635	-74.87952	-74.54572	0.0	-0.19809185	-15.034447175274927	2.926573407924364	0.002651241262954929	11
Hs3st6	0.26	0.3	0.26	0.64	1.0	-21.133408	-21.628887	-20.800827	-21.759062	1.0	0.27171817	-16.29154370708289	0.8484728570714317	0.00048204386599180526	2
Pak2	0.26	0.42	0.26	0.61	1.0	-4698.4575	-4659.8516	-4696.099	-4660.0977	0.0	-16.659477	-9.10199439660284	0.35028286777718165	0.477705471197879	1982
Ndufb11	0.43	0.42	0.42	0.5	1.0	-7350.829	-7233.854	-7288.811	-7290.475	0.0	-26.21141	-8.15888674365925	1.032297272832425	0.7801879971077368	3237
Pex19	0.22	0.33	0.22	0.7	0.9	-2224.6895	-2206.2185	-2218.5273	-2217.225	0.0	-3.2417283	-10.498556705832318	2.7423307041958447	0.18703302000482044	776
Shpk	0.38	0.49	0.38	0.61	1.0	-370.2103	-367.4336	-371.95355	-365.99048	0.0	-1.8326437	-13.005753331792668	3.378974729083572	0.018799710773680405	78
Oxsm	0.3399999999999999	0.4599999999999999	0.3399999999999999	0.69	0.93	-829.834	-821.1781	-827.9334	-823.35144	0.0	-2.8153331	-11.90063303213129	5.820101797523776	0.048204386599180526	200
Kif9	0.43	0.26	0.26	0.61	1.0	-104.790245	-101.97319	-104.57037	-102.465866	0.0	-1.009465	-14.618907001713456	5.154608584199263	0.0036153289949385392	15
Aqr	0.31	0.47	0.31	0.59	1.0	-2459.0242	-2417.4038	-2455.7693	-2420.1084	0.0	-16.900904	-10.265872570577644	6.036898998522487	0.21691973969631237	900
Alg12	0.48	0.17	0.17	0.7	0.9	-737.5382	-726.1444	-734.89484	-727.31445	0.0	-4.44012	-12.10953945400033	4.76996850622022	0.04266088214027477	177
Gm48657	0.49	0.26	0.26	0.58	1.0	-16.584673	-16.760538	-16.894777	-16.546278	0.0	-0.016674705	-16.68320279426278	1.4241179559492227	0.00048204386599180526	2
Pfdn6	0.45	0.45	0.45	0.59	1.0	-3146.0317	-3108.3198	-3125.3591	-3130.0637	0.0	-6.9348216	-9.840554673795303	4.19662464501619	0.30682092070378403	1273
