gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.3298551	0.27794138	0.9750147	0.9407378
Zdhhc12	0.3794055	1.729812	1.8925537	1.7319831
Ly6i	-0.6923551	1.0471166	0.85069716	-0.23602381
Trmt11	2.0730178	2.47886	2.391625	1.9984007
Nckap5l	1.7687232	2.3442404	2.2769864	2.2523358
Sec24d	2.4860797	3.1555092	3.0963624	2.9526706
Lama5	1.6525131	1.9342147	1.3799143	1.7308686
4930563E22Rik	1.1753807	1.4655148	0.27592227	0.9508808
Laptm5	0.66138	-0.32224834	0.38397452	0.046743013
Il12rb2	-0.080760136	0.62491006	-0.18005838	-0.15202217
Mpig6b	-0.024346314	-0.08712405	-0.07192796	0.39233848
Zfp622	2.3920085	2.6345882	2.6954093	2.7680082
Slc9b1	-0.7931114	0.70826226	1.0693388	0.7603225
Phactr2	2.9136124	3.1036022	2.9646018	2.5542057
Coq2	2.596793	2.7358549	2.839001	2.9520233
Syt3	1.1603037	1.4440936	1.4849465	1.5506722
4833408A19Rik	0.84844565	1.3368554	1.5534793	1.3509203
Gm43403	0.28454533	0.601742	0.5204914	0.69617575
Shisal1	-1.3866535	1.6270438	1.4474081	1.5528363
Arhgap39	1.6769186	2.0601933	1.7773061	1.7247844
C030004G16Rik	-0.07225236	-0.21829097	0.49228692	0.25681332
Zfp667	1.9736954	2.4327312	2.295373	1.770646
Tmem74	-0.1897779	-0.48983803	0.6411172	0.09630467
9330159M07Rik	1.4682152	2.1135445	1.5127343	1.797579
Ccdc34	2.6344392	3.097279	3.0289023	2.777166
Dlg4	2.5193064	2.9883127	2.7593682	2.7159524
Fam241b	-0.64282423	0.91869354	0.7793242	0.5431549
Hs3st6	0.3424345	0.66876215	-0.2556099	-0.22350475
Pak2	3.096998	3.3546028	2.7022736	3.154976
Ndufb11	3.3065903	3.4932077	3.310725	3.3434377
Pex19	2.0432875	2.9524522	3.0564954	2.404052
Shpk	1.2941114	1.3399608	1.7344607	1.374557
Oxsm	1.8790326	2.1748855	2.2335148	2.144948
Kif9	0.58324736	0.81821114	0.60555494	0.9835714
Aqr	2.7072995	2.8975387	2.58433	2.8685722
Alg12	1.7392454	1.6462992	2.0805888	2.231683
Gm48657	-0.08400468	0.4837446	-0.17641826	-0.14481552
Pfdn6	2.5962677	3.1247983	2.9375818	3.0564508
D830050J10Rik	2.0027716	2.3821545	2.1805682	2.1161888
Smpd2	2.320387	2.8155134	2.6473265	2.537907
Shank3	1.2436832	1.4656036	1.6665765	1.5002654
2810004N23Rik	2.8210375	2.8476295	2.3886924	2.9338431
Zrsr1	2.5445414	2.4002223	2.5489068	2.8296669
Asprv1	-0.34086964	-0.010731293	0.7638898	-0.09275354
Mcm7	2.2610748	2.0283463	2.6490624	2.485992
Abhd6	1.7056912	2.1321867	2.0417802	1.9209771
Tnfrsf19	-1.1633477	1.5481008	1.0572257	-1.1010472
Kif27	-0.08728838	-0.21513231	-0.1747306	0.49681512
Gsta1	-0.1916258	0.5703406	0.4951199	-0.33664414
Fendrr	0.24236126	1.6422647	1.5853598	0.43027604
Slc25a51	2.783563	2.7797163	2.8164752	2.934911
Kat7	2.3221626	2.7693684	2.6406054	2.6789958
Chrm1	-0.18900235	0.55114794	-0.387924	-0.32437053
Stag3	-0.107913144	0.2759667	-0.264558	0.56817317
Unk	1.9730754	2.443229	2.412357	1.956789
Ampd1	0.64674515	0.7194571	0.22712171	0.59168077
Cbr2	1.7399758	1.912774	1.5836098	2.14693
Agpat4	2.6967824	2.8217402	3.0007052	2.9210193
Ampd2	2.475323	2.8687546	2.6364164	2.6068401
Btbd1	2.8423	2.8281422	2.8859687	2.8667185
Abca2	2.5698957	2.556172	2.7421005	2.8648403
Asb3	2.23079	2.4634423	2.53088	2.5957766
Vac14	1.7322947	2.2960277	1.7353357	2.179202
Rdh10	2.293588	2.089771	2.4235842	2.41188
Ptpn22	-0.20379569	0.37367135	0.40597957	0.08483519
Wdr31	0.73938435	0.87385345	0.64154977	0.8125699
Sec23b	2.4391227	2.6017985	2.3218553	2.9701607
Gm26760	-0.072298184	1.1425362	1.1339428	0.016877182
Fbrs	1.6722621	2.8119323	2.6325798	2.5817537
Pdrg1	2.6515217	2.7911499	2.7175298	3.061516
Plagl2	1.2201382	2.2535443	2.155463	2.0677044
Adam23	1.9907097	1.3549087	2.3332036	2.2916327
Rwdd2a	1.3281775	2.0748966	1.9997721	1.3921975
Ghitm	2.8354185	3.1644871	3.0145228	3.1704714
Gm16537	0.06845382	1.1323731	1.1424057	0.18905479
Olfr1392	0.32221016	-0.214486	-0.17731656	0.45685163
P2ry1	1.5581053	1.6786159	1.8995467	1.8086009
Gm9913	1.3929454	1.042527	0.056101374	1.1236285
