gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.85002613	1.01591	0.7439262	1.0177068
Zdhhc12	1.232244	1.9813615	1.6439394	1.7922603
Ly6i	0.47842106	0.611041	0.93442225	0.70486504
Trmt11	2.0702384	2.5147567	2.4005682	2.2434669
Nckap5l	2.0195055	2.4148366	2.3303297	2.2565749
Sec24d	2.7016926	3.1058698	3.1245534	3.0003707
Lama5	1.4710933	1.9762852	1.8136377	1.8090672
4930563E22Rik	1.098452	1.2147346	1.1871508	1.3530345
Laptm5	-0.57290995	0.599549	0.76202095	0.65180033
Il12rb2	0.25457454	-0.028192854	0.38046974	0.34263694
Mpig6b	0.14451146	0.27851903	0.2418285	-0.19071136
Zfp622	2.5002234	2.7114663	2.7117603	2.7515125
Slc9b1	0.48434833	0.9642802	0.85511667	0.8323081
Phactr2	2.8740387	3.1173866	2.9819465	2.738869
Coq2	2.6536827	2.8090427	2.928031	2.8275313
Syt3	1.2671847	1.7944621	1.6754435	1.4412984
4833408A19Rik	1.3586521	1.7468522	1.4185345	1.4090995
Gm43403	0.55073774	0.7280951	0.8221275	0.64460444
Shisal1	0.69911456	1.6140782	1.4790852	1.7169207
Arhgap39	1.5569863	2.0895107	1.9703531	1.9753643
C030004G16Rik	0.2606928	0.3948033	0.13104767	0.11104323
Zfp667	1.9657975	2.4234998	2.2960474	2.1382387
Tmem74	0.37018546	0.5101296	0.007806435	0.25847396
9330159M07Rik	1.6325105	2.0524442	1.848559	1.8886411
Ccdc34	2.7727337	3.047217	2.9957962	2.8855312
Dlg4	2.586163	2.9727192	2.839596	2.7912207
Fam241b	0.4874136	0.90624845	0.85443234	0.7384674
Hs3st6	0.1414427	0.30319706	0.41402802	0.39391717
Pak2	3.0314438	3.2593014	2.9104524	3.1594727
Ndufb11	3.2439477	3.337918	3.326281	3.3193235
Pex19	2.3881786	2.9451306	2.8917806	2.6108973
Shpk	1.374017	1.765918	1.5025539	1.7224754
Oxsm	1.79329	2.314567	2.3241997	2.196382
Kif9	0.7627621	1.1378603	1.0653939	0.7227696
Aqr	2.6725986	2.9356058	2.7415998	2.8584573
Alg12	1.8088824	2.0547755	2.1834302	2.0591965
Gm48657	0.2709003	-0.28720504	0.3661121	0.3367532
Pfdn6	2.7209074	3.1220493	3.0374832	3.0101974
D830050J10Rik	1.8630565	2.4343936	2.3120587	2.2370822
Smpd2	2.387753	2.7911713	2.6759303	2.6238112
Shank3	1.2594665	1.8521035	1.6560342	1.5927702
2810004N23Rik	2.62233	2.9088738	2.635731	2.8740256
Zrsr1	2.4586415	2.6161056	2.5960062	2.7199004
Asprv1	0.4614982	0.6821452	0.26828623	0.6189207
Mcm7	2.2603114	2.3494084	2.5565443	2.5222754
Abhd6	1.8321385	2.173088	2.1252482	2.0706792
Tnfrsf19	0.55715775	0.9978749	1.1944373	0.75893396
Kif27	0.2494889	0.38204098	0.36441156	-0.5427189
Gsta1	0.38187695	0.46229663	0.28824022	0.4583086
Fendrr	1.0479994	1.7033769	1.3625818	1.2523998
Slc25a51	2.6742923	2.8647354	2.891548	2.9181898
Kat7	2.4190993	2.8023078	2.7134948	2.6639855
Chrm1	0.3637911	-0.50285804	0.5058746	0.46233144
Stag3	0.31511664	0.5413551	0.4204121	0.126704
Unk	1.9431137	2.504677	2.4147706	2.2632713
Ampd1	0.4979471	1.0128511	0.8238205	0.7555078
Cbr2	1.8074607	2.1846943	1.9850289	1.9099392
Agpat4	2.779327	2.9374888	2.946216	2.9501462
Ampd2	2.4352353	2.857353	2.7369306	2.685255
Btbd1	2.7572038	2.9088585	2.945333	2.9355671
Abca2	2.5259886	2.7417367	2.763527	2.7943482
Asb3	2.320026	2.5592692	2.5977118	2.518605
Vac14	1.7801051	2.2885883	2.0568345	2.2086573
Rdh10	2.0491235	2.3830884	2.4922614	2.486502
Ptpn22	0.3711161	0.37269384	0.415192	0.46555838
Wdr31	0.454079	1.0760761	1.0001103	0.9970304
Sec23b	2.5453317	2.7313428	2.5627832	2.674216
Gm26760	0.6716746	1.0104179	1.1636379	0.79979086
Fbrs	2.0819037	2.7508829	2.6494415	2.6332996
Pdrg1	2.7143629	2.87823	2.810126	2.911675
Plagl2	1.6781075	2.3063412	2.2483628	2.0426028
Adam23	1.9416823	1.9290437	2.308503	2.2237453
Rwdd2a	1.6817539	2.098023	1.868687	1.811223
Ghitm	2.8628745	3.158645	3.0926964	3.11919
Gm16537	0.8168701	1.1329051	0.8130779	0.87860566
Olfr1392	-0.25556928	0.38387102	0.36941764	0.19702417
P2ry1	1.4750557	2.009127	1.9321544	1.9293948
Gm9913	0.52722913	1.5021107	1.0664426	1.3139739
Gng4	0.87164885	1.4011112	1.1921396	1.4033235
Eps8l2	0.5095169	0.9585521	0.70315206	0.68421304
Ash1l	3.1048582	3.1512012	3.2004898	3.1958175
Bmp6	1.1872888	1.601665	1.7494099	0.93321955
Actl6a	2.4762282	2.851982	2.5888202	2.7066448
Ccdc47	2.8228726	3.1824472	2.9275248	3.0691338
Gm33474	0.37580714	0.22527443	0.35004523	0.4610033
Pcbp2	3.1954453	3.3625102	3.321543	3.2620206
Csmd2	0.15922879	0.008201852	0.24436568	0.21209599
Gm9908	0.67636216	1.0788642	0.8722482	1.0142994
Ttll4	1.8974262	2.3527837	2.2165115	2.1690116
Asxl1	2.352903	2.731527	2.5859382	2.5483947
Eapp	2.8940995	3.160784	2.9965436	3.1380365
Gm45890	0.4142811	0.48781845	0.6434148	0.49630958
Unc13a	0.4960555	0.9203954	0.8532541	0.5314123
Gabrr2	0.65684056	0.7306935	0.7522541	0.70086735
Cyp20a1	2.8395238	3.0761302	2.934027	3.0237868
Ubtd2	2.5209718	2.9671278	2.4729106	2.7661288
Wwc2	2.9467208	3.1683178	2.985611	3.1193361
Txnrd1	2.789674	3.0424364	2.8944876	2.7052672
Mob1a	2.9596305	3.114207	2.678975	3.1185305
Ripply3	0.66280866	1.3169899	1.2244434	0.75257444
Cpne7	0.8562405	2.225374	2.071037	1.8701264
Slc16a1	1.6809171	2.5752165	2.3656216	2.2070348
Srsf4	2.5511496	2.9638898	2.775273	2.8228047
Mss51	1.3719908	1.8236785	1.5396783	1.6986085
Cd209c	0.15186651	-0.13054904	0.23926452	0.22000654
Akr1c19	0.80573165	1.4741203	1.1876223	1.315977
Rapgef6	2.8451047	3.1046734	2.8664374	2.5900123
B130046B21Rik	0.5124634	0.70729434	0.68819284	0.38011017
Gm14325	1.3428102	1.8525231	1.5809348	1.5860463
Ilf3	2.4223316	2.688389	2.8880832	2.740707
Exog	1.7499142	2.1233888	2.0351753	1.9680084
Kansl2	2.4400194	2.7416816	2.632805	2.676282
Iqsec1	2.8076193	3.0397286	2.8075142	2.9215317
Rnaset2b	2.1773646	2.3902934	2.736861	2.7648447
Ssu2	0.32659665	0.42373344	0.20808706	0.15651894
Lrrc40	1.8262277	2.3544989	2.2611918	2.0933106
Fjx1	1.6490911	2.1192107	1.9840516	1.8498253
Gm45464	1.1980888	1.7992349	1.5499916	1.6518289
Tubgcp4	2.3786073	2.7337291	2.603325	2.5845075
Thap4	2.0157902	2.5249636	2.3513522	2.3816705
Helz2	2.0126526	2.4785943	2.4077847	2.3332212
Gm10037	0.59183156	1.160523	0.94466525	1.0548838
Gria2	-0.7954433	0.2716359	0.24550661	0.2150623
Cstf2t	2.2799542	2.61891	2.589298	2.4624698
Zfp772	1.2064226	1.8115184	1.6860265	1.6097807
Ly6k	1.0013591	1.5479493	1.2089914	1.5182221
Pp2d1	0.3325129	0.3387799	-0.06752562	0.40609345
