gene	log_min	log_max
Lbx2	-16.197208	-12.743331
Zdhhc12	-14.426504	-10.972626
Ly6i	-16.404848	-12.950971
Trmt11	-13.279439	-9.825561
Nckap5l	-13.452346	-9.998467
Sec24d	-11.115029	-7.6611514
Lama5	-14.269319	-10.81544
4930563E22Rik	-15.232129	-11.778251
Laptm5	-16.772573	-13.318696
Il12rb2	-18.27665	-14.822772
Mpig6b	-18.969797	-15.51592
Zfp622	-12.378125	-8.924247
Slc9b1	-16.261747	-12.80787
Phactr2	-11.389099	-7.935221
Coq2	-12.04617	-8.592292
Syt3	-14.842664	-11.388785
4833408A19Rik	-15.018555	-11.564676
Gm43403	-16.772573	-13.318696
Shisal1	-14.8922615	-11.438383
Arhgap39	-14.086997	-10.633119
C030004G16Rik	-18.27665	-14.822772
Zfp667	-13.3639965	-9.910118
Tmem74	-17.583504	-14.129625
9330159M07Rik	-14.157614	-10.703735
Ccdc34	-11.587674	-8.133796
Dlg4	-11.992517	-8.538639
Fam241b	-16.484892	-13.0310135
Hs3st6	-17.871185	-14.417308
Pak2	-10.817888	-7.3640103
Ndufb11	-9.934646	-6.4807677
Pex19	-12.144339	-8.69046
Shpk	-14.60035	-11.146472
Oxsm	-13.585303	-10.131425
Kif9	-16.197208	-12.743331
Aqr	-11.960389	-8.506511
Alg12	-13.749443	-10.295565
Gm48657	-18.27665	-14.822772
Pfdn6	-11.529652	-8.075773
D830050J10Rik	-13.464467	-10.010589
Smpd2	-12.659881	-9.206002
Shank3	-14.61309	-11.159211
2810004N23Rik	-11.977702	-8.523824
Zrsr1	-12.436009	-8.982131
Asprv1	-17.023888	-13.57001
Mcm7	-12.913014	-9.459136
Abhd6	-13.793649	-10.33977
Tnfrsf19	-15.834304	-12.380425
Kif27	-18.27665	-14.822772
Gsta1	-17.583504	-14.129625
Fendrr	-14.810915	-11.357037
Slc25a51	-11.947822	-8.493943
Kat7	-12.437464	-8.983585
Chrm1	-17.583504	-14.129625
Stag3	-17.871185	-14.417308
Unk	-13.266016	-9.812138
Ampd1	-16.484892	-13.0310135
Cbr2	-13.816507	-10.362629
Agpat4	-11.712796	-8.258918
Ampd2	-12.453606	-8.999727
Btbd1	-11.768628	-8.31475
Abca2	-12.265384	-8.811505
Asb3	-12.838572	-9.384693
Vac14	-13.671481	-10.217603
Rdh10	-13.067165	-9.613287
Ptpn22	-17.583504	-14.129625
Wdr31	-16.079426	-12.625548
Sec23b	-12.314358	-8.860479
Gm26760	-16.079426	-12.625548
Fbrs	-12.723692	-9.269814
Pdrg1	-11.880555	-8.426677
Plagl2	-13.728051	-10.274173
Adam23	-13.4726305	-10.018752
Rwdd2a	-14.141485	-10.687607
Ghitm	-11.1279125	-7.6740346
Gm16537	-16.197208	-12.743331
Olfr1392	-18.27665	-14.822772
P2ry1	-14.102264	-10.648386
Gm9913	-15.332212	-11.878334
Gng4	-15.332212	-11.878334
Eps8l2	-16.772573	-13.318696
Ash1l	-10.6004095	-7.1465316
Bmp6	-14.962465	-11.508587
Actl6a	-12.410183	-8.956305
Ccdc47	-11.307331	-7.853453
Gm33474	-17.583504	-14.129625
Pcbp2	-9.986233	-6.532355
Csmd2	-18.969797	-15.51592
Gm9908	-16.197208	-12.743331
Ttll4	-13.63226	-10.178382
Asxl1	-12.773355	-9.319476
Eapp	-11.224362	-7.7704844
Gm45890	-17.178038	-13.72416
Unc13a	-16.261747	-12.80787
Gabrr2	-16.772573	-13.318696
Cyp20a1	-11.57592	-8.122042
Ubtd2	-12.100784	-8.646906
Wwc2	-11.140168	-7.6862903
Txnrd1	-11.782142	-8.328263
Mob1a	-11.25646	-7.8025823
Ripply3	-15.602503	-12.148624
Cpne7	-13.939361	-10.485482
Slc16a1	-13.2108965	-9.757018
Srsf4	-12.164076	-8.710197
Mss51	-14.587771	-11.133893
Cd209c	-18.969797	-15.51592
Akr1c19	-15.38628	-11.932402
Rapgef6	-11.496161	-8.042283
B130046B21Rik	-16.890356	-13.436479
Gm14325	-14.665733	-11.211855
Ilf3	-12.203607	-8.749728
Exog	-14.035324	-10.581446
Kansl2	-12.549804	-9.095925
Iqsec1	-11.692551	-8.238672
Rnaset2b	-12.353733	-8.899855
Ssu2	-17.871185	-14.417308
Lrrc40	-13.613213	-10.159334
Fjx1	-14.125611	-10.671733
Gm45464	-14.909355	-11.455477
Tubgcp4	-12.678229	-9.224351
Thap4	-13.317309	-9.863431
Helz2	-13.335009	-9.88113
Gm10037	-15.8787565	-12.424878
Gria2	-18.969797	-15.51592
Cstf2t	-12.894452	-9.440574
Zfp772	-14.693132	-11.239254
Ly6k	-14.810915	-11.357037
Pp2d1	-17.871185	-14.417308
Gm19569	-17.36036	-13.906482
Gm11613	-15.673962	-12.220083
Gm49698	-16.772573	-13.318696
Pdlim3	-12.506769	-9.052891
Ppp2r1a	-11.325836	-7.8719583
2810405F17Rik	-14.810915	-11.357037
Apaf1	-12.771319	-9.317441
Ocrl	-12.670849	-9.21697
Dnlz	-11.412326	-7.958448
Fbxo7	-13.132068	-9.678189
Wnt11	-13.869932	-10.416054
Gm45805	-18.969797	-15.51592
Gm17216	-14.858925	-11.405046
Crybb3	-14.278451	-10.824573
Atp13a2	-13.223596	-9.769717
Olfr921	-16.261747	-12.80787
Tsen34	-11.025661	-7.5717835
