gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.27	0.29	0.27	0.67	0.9899999999999998	-17.874512	-16.985737	-17.299677	-17.418665	0.0	-0.19797175	-15.806511057256698	0.6807159369552291	0.0010162601626016261	2
Zdhhc12	0.47	0.42	0.42	0.59	1.0	-227.54007	-221.50107	-225.80318	-223.33801	0.0	-1.8249301	-12.631351499430433	4.792255664295144	0.024390243902439025	48
Ly6i	0.43	0.03	0.03	0.73	0.8099999999999999	-59.024548	-63.260963	-58.246044	-62.72632	1.0	1.6076586	-14.396853676649254	4.846878242452265	0.003556910569105691	7
Trmt11	0.4499999999999999	0.25	0.25	0.53	1.0	-512.39343	-505.18692	-508.46542	-508.9668	0.0	-1.488169	-11.517972348770321	1.6720315226415234	0.06961382113821138	137
Nckap5l	0.3199999999999999	0.37	0.3199999999999999	0.57	1.0	-373.1612	-359.78903	-372.2391	-361.8996	0.0	-4.890849	-11.948746661217262	0.6284872544669007	0.046747967479674794	92
Sec24d	0.31	0.41	0.31	0.71	0.87	-1646.7112	-1636.3522	-1642.1465	-1640.6917	0.0	-2.6142492	-9.591855115983702	2.6383174057579075	0.3404471544715447	670
Lama5	0.24	0.38	0.24	0.61	1.0	-211.58	-202.50533	-209.11052	-204.66629	0.0	-3.0025868	-12.719188189389927	6.221789299703114	0.021341463414634148	42
4930563E22Rik	0.28	0.3199999999999999	0.28	0.69	0.93	-110.88049	-110.47035	-110.12705	-111.05137	0.0	0.07421031	-13.53276922069529	3.713200314318088	0.01016260162601626	20
Laptm5	0.11	0.22	0.11	0.76	0.72	-59.151573	-61.439228	-58.0347	-62.265484	1.0	1.3523542	-14.385085765747277	2.537095705581962	0.002540650406504065	5
Il12rb2	0.49	0.27	0.27	0.67	0.9899999999999998	-7.9601264	-8.215144	-8.123937	-8.053395	0.3576516	0.040506154	-16.447268617151746	1.577234975403269	0.0005081300813008131	1
Mpig6b	0.18	0.4599999999999999	0.18	0.65	1.0	-15.712415	-15.7981825	-15.964247	-15.450854	0.0	-0.11359426	-15.865878764271379	6.282146677935152	0.0005081300813008131	1
Zfp622	0.31	0.4599999999999999	0.31	0.65	1.0	-903.27356	-899.2842	-902.56805	-899.9118	0.0	-1.4599918	-10.568025835960775	6.163502358937369	0.16107723577235772	317
Slc9b1	0.3	0.28	0.28	0.39	1.0	-44.0431	-44.83381	-44.88627	-44.286133	0.0	0.10554848	-14.655850213283024	4.170109125482786	0.003556910569105691	7
Phactr2	0.48	0.39	0.39	0.59	1.0	-1453.8293	-1432.4976	-1446.4906	-1439.9601	0.0	-6.023344	-9.78003342261761	2.158244195576019	0.27540650406504064	542
Coq2	0.4399999999999999	0.3199999999999999	0.3199999999999999	0.61	1.0	-1049.7911	-1024.7467	-1031.9757	-1042.6338	0.0	-3.108397	-10.387229292114432	5.159851199873151	0.18597560975609756	366
Syt3	0.49	0.37	0.37	0.59	1.0	-137.4755	-132.5734	-135.9837	-133.75554	0.0	-1.6155561	-13.299956021992012	5.099893095413985	0.013211382113821139	26
4833408A19Rik	0.4599999999999999	0.28	0.28	0.29	1.0	-174.69316	-173.80534	-174.64987	-173.28326	0.0	-0.6123104	-13.133654157598725	4.679385860392463	0.017276422764227643	34
Gm43403	0.31	0.38	0.31	0.6	1.0	-55.780273	-54.21477	-55.353737	-54.42475	0.0	-0.58869576	-14.410576762906743	5.7892155679099755	0.0040650406504065045	8
Shisal1	0.18	0.43	0.18	0.37	1.0	-80.313805	-83.05495	-83.083725	-80.256874	0.0	-0.02472462	-14.030307788569274	3.4291177088040596	0.0066056910569105695	13
Arhgap39	0.2299999999999999	0.4599999999999999	0.2299999999999999	0.56	1.0	-238.82693	-235.35825	-239.33228	-235.00986	0.0	-1.6577357	-12.539956344622471	6.056546075746753	0.025914634146341462	51
C030004G16Rik	0.49	0.4	0.4	0.64	1.0	-8.041171	-7.848218	-7.7737474	-8.075202	0.0	0.014779438	-16.468542198129438	1.5138589274055763	0.0005081300813008131	1
Zfp667	0.26	0.28	0.26	0.63	1.0	-465.07584	-458.00302	-462.6747	-460.75156	0.0	-1.8780109	-11.641913881820512	2.5671826449450057	0.05741869918699187	113
Tmem74	0.41	0.35	0.35	0.69	0.93	-15.048671	-14.959579	-14.886386	-15.054396	0.0	0.0024862955	-15.852790312660067	2.498248424242595	0.0010162601626016261	2
9330159M07Rik	0.4499999999999999	0.43	0.43	0.61	1.0	-270.827	-267.90118	-269.65338	-268.95575	0.0	-0.81267196	-12.344986663719318	5.038546265572638	0.03201219512195122	63
Ccdc34	0.42	0.43	0.42	0.6	1.0	-1752.1836	-1740.527	-1746.2429	-1746.2903	0.0	-2.5594323	-9.565398664513967	6.085170052920041	0.3333333333333333	656
Dlg4	0.41	0.45	0.41	0.55	1.0	-1067.0219	-1057.2903	-1064.9265	-1059.6578	0.0	-3.1981504	-10.329496741118868	0.03200980361849837	0.18292682926829268	360
Fam241b	0.47	0.31	0.31	0.33	1.0	-30.242397	-30.625149	-31.161139	-29.554958	0.0	-0.29855093	-14.983919595000305	1.528681167154195	0.0020325203252032522	4
Hs3st6	0.24	0.49	0.24	0.64	1.0	-7.044206	-7.4958024	-7.1927123	-7.277272	0.67115283	0.10121931	-16.464081228954573	6.268651009621168	0.0005081300813008131	1
Pak2	0.36	0.5	0.36	0.52	1.0	-2222.7693	-2182.8208	-2206.3398	-2197.604	0.0	-10.929144	-9.02334149070435	0.6500022997555588	0.4811991869918699	947
Ndufb11	0.38	0.34	0.34	0.62	1.0	-3650.5437	-3595.7507	-3627.893	-3618.0396	0.0	-14.116373	-7.978495827050734	1.7249025597688528	0.8013211382113821	1577
Pex19	0.35	0.4499999999999999	0.35	0.57	1.0	-966.5007	-949.3794	-963.20166	-952.13446	0.0	-6.2391663	-10.550175638599493	3.175018086431128	0.16260162601626016	320
Shpk	0.23	0.46	0.23	0.57	1.0	-151.47661	-149.63358	-151.21768	-149.81778	0.0	-0.7204202	-13.157368283642159	3.1823199465058263	0.014227642276422764	28
Oxsm	0.45	0.46	0.45	0.62	1.0	-317.7625	-310.59085	-314.81665	-313.6971	0.0	-1.7655804	-12.140270953017632	3.0237000498212754	0.037601626016260166	74
Kif9	0.42	0.38	0.38	0.59	1.0	-63.68329	-61.494995	-63.32071	-61.901722	0.0	-0.77372456	-14.353497095398602	5.003884564139826	0.004573170731707317	9
Aqr	0.4	0.3399999999999999	0.3399999999999999	0.54	1.0	-1018.967	-1004.8468	-1015.9642	-1008.0705	0.0	-4.732283	-10.40836183904221	4.563904850670414	0.17530487804878048	345
Alg12	0.35	0.1899999999999999	0.1899999999999999	0.61	1.0	-319.44714	-318.38004	-317.62415	-318.86255	0.0	-0.25388625	-12.15611951847685	5.023470149497901	0.0391260162601626	77
Pfdn6	0.43	0.36	0.36	0.55	1.0	-1413.1279	-1393.2483	-1411.4656	-1394.1521	0.0	-8.241098	-9.85152475866316	6.0115714349467195	0.28302845528455284	557
D830050J10Rik	0.4499999999999999	0.38	0.38	0.52	1.0	-472.99503	-460.7736	-463.05927	-469.79962	0.0	-1.3877463	-11.610016083834864	4.824292006888931	0.06300813008130081	124
Smpd2	0.16	0.33	0.16	0.74	0.7799999999999999	-726.7707	-717.2417	-723.93536	-719.3503	0.0	-3.2226431	-10.974376418819883	0.3969876626897193	0.1173780487804878	231
Shank3	0.4399999999999999	0.33	0.33	0.57	1.0	-150.0603	-144.19736	-147.75987	-146.13297	0.0	-1.705621	-13.16718724076495	1.3822820516975494	0.014227642276422764	28
2810004N23Rik	0.4399999999999999	0.4599999999999999	0.4399999999999999	0.56	1.0	-1082.0511	-1055.3584	-1064.03	-1073.327	0.0	-3.7888377	-10.352815118953085	5.394433892167887	0.18546747967479674	365
Zrsr1	0.3299999999999999	0.31	0.31	0.59	1.0	-755.02344	-740.2585	-748.2651	-747.20294	0.0	-3.396398	-10.880073366577097	0.6878147669024077	0.11686991869918699	230
