gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.45227692	0.44251996	-0.15049988	-0.13409075
Zdhhc12	1.3852031	1.3966328	1.3715582	1.3459074
Ly6i	0.09984249	-0.93264186	-0.24833672	0.79811174
Trmt11	1.9740714	1.9898685	2.02749	1.4916383
Nckap5l	1.8938453	1.6220164	1.7139504	1.4249165
Sec24d	2.419602	2.8154624	2.8971338	2.541482
Lama5	1.3047986	1.3170696	0.47487694	1.3674268
4930563E22Rik	0.41906637	0.62422264	1.1422906	0.83986
Laptm5	-1.0080652	1.1221215	0.9592831	-0.16565217
Il12rb2	-0.05335932	0.30878496	-0.050794717	-0.056729585
Mpig6b	0.46528912	-0.14308625	-0.16175647	-0.14166835
Zfp622	2.502343	2.454562	1.8580853	2.437897
Slc9b1	-0.6301346	0.39062402	0.13148862	0.86813825
Phactr2	2.6961708	2.641391	2.7507906	2.3968189
Coq2	2.468719	2.3519099	2.3275106	2.6148312
Syt3	1.0829054	0.8563974	0.93935853	0.9363199
4833408A19Rik	1.382069	-0.16561304	1.3491226	0.67965263
Gm43403	0.56243455	0.46321765	-0.030467518	0.75813276
Shisal1	-1.2244089	0.7930352	0.39993525	0.9409694
Arhgap39	1.5423886	1.534016	0.7789524	1.4714174
C030004G16Rik	-0.043342866	0.13507895	-0.061197553	-0.045288745
Zfp667	1.22451	1.9787555	1.998896	1.8511336
Tmem74	-0.15489008	0.25608423	0.33791915	-0.12686807
9330159M07Rik	1.5385193	1.4018333	1.5382887	1.4198366
Ccdc34	2.9146292	2.6193197	2.6684518	2.6517758
Dlg4	2.593987	2.4190316	2.3641427	2.4638777
Fam241b	-0.42364493	0.6491707	-0.45815444	0.6190164
Hs3st6	0.28390262	-0.056824397	-0.06776378	-0.056823496
Pak2	2.928695	2.7930627	2.940372	2.8622694
Ndufb11	3.200821	3.1769009	3.2475615	3.147897
Pex19	2.209324	2.3758771	2.5127766	2.3604617
Shpk	0.8088877	1.0974348	1.3368933	1.0366416
Oxsm	1.6092011	1.5062195	1.7365345	1.5641615
Kif9	0.41746423	0.48826796	0.31890756	0.6801611
Aqr	2.3723748	2.3280666	2.3833315	2.606479
Alg12	1.6242032	1.047943	1.2770692	1.9728956
Pfdn6	2.6944373	2.6622047	2.334005	2.723122
D830050J10Rik	1.9016875	1.5581484	1.939057	1.8915842
Smpd2	2.3124285	2.2719347	1.7454324	2.0789661
