gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.1326994	0.25551426	0.35061252	0.34243143
Zdhhc12	1.5559816	1.6409138	1.5571674	1.405164
Ly6i	0.67654634	0.5346189	0.7364101	-0.82932884
Trmt11	2.0280635	1.8935649	2.0339859	1.867196
Nckap5l	1.7526174	1.7908564	1.8128339	1.7710559
Sec24d	2.6509376	2.7893243	2.842676	2.6723065
Lama5	1.3366697	1.3417618	1.2520949	1.3485663
4930563E22Rik	1.0149922	1.0763917	0.9709334	0.8021525
Laptm5	0.54304904	0.9400947	0.739432	0.763881
Il12rb2	0.22850208	-0.31363362	0.22539304	0.20593852
Mpig6b	-0.25482255	0.3296824	0.3423603	0.3298005
Zfp622	2.446369	2.470941	2.1574056	2.4118154
Slc9b1	0.4708297	0.55351746	0.61599064	0.1243297
Phactr2	2.729713	2.6890705	2.6987505	2.5734527
Coq2	2.5266647	2.4549603	2.490514	2.4994764
Syt3	1.1423626	1.2146492	1.0693661	1.1188405
4833408A19Rik	1.1731855	1.0307735	1.1231409	1.2547036
Gm43403	0.75264716	0.62058204	0.7686985	0.60819507
Shisal1	0.5825572	0.69407886	0.99362487	0.5842974
Arhgap39	1.6092457	1.5654687	1.3753644	1.3846282
C030004G16Rik	0.21338806	-0.3773489	0.23970848	0.2147824
Zfp667	1.7140067	1.8354138	1.988139	2.026072
Tmem74	0.33572546	0.19274643	0.15607291	0.31339347
9330159M07Rik	1.5547056	1.6735194	1.6044234	1.5424144
Ccdc34	2.816625	2.6488972	2.7119079	2.652985
Dlg4	2.5312274	2.477806	2.4669118	2.5279539
Fam241b	0.4710636	-0.04223126	0.4632405	0.47241956
Hs3st6	-0.31415722	0.23331553	0.24266455	0.22013585
Pak2	2.8764358	2.823699	2.9785228	2.961703
Ndufb11	3.1084943	3.0552354	3.1433568	3.1026547
Pex19	2.4064932	2.4434588	2.5016122	2.4210913
Shpk	1.2211314	1.271562	1.3280622	1.1937276
Oxsm	1.6923528	1.6914092	1.7144824	1.7619205
Kif9	0.6586276	0.7010393	0.65292346	0.5889681
Aqr	2.5200706	2.486599	2.4925802	2.5086427
Alg12	1.7507179	1.5173178	1.6933279	1.544068
Pfdn6	2.7293684	2.6618967	2.5777566	2.664975
D830050J10Rik	1.9082152	1.8985124	1.9834405	1.8918867
Smpd2	2.1851785	2.2209034	2.0882428	2.2238069
Shank3	1.1616644	1.2202361	1.2039288	1.2591232
2810004N23Rik	2.4891841	2.5104585	2.5923152	2.524349
Zrsr1	2.2404885	2.2311563	2.3131838	2.2746246
Asprv1	0.22618671	-0.35822594	0.23859295	0.21154994
Mcm7	2.0263848	1.9608694	2.1052554	2.102103
Abhd6	1.6582363	1.7333546	1.9432279	1.6970292
Tnfrsf19	0.46786356	-0.2087962	0.32388294	0.46657652
Kif27	0.34371468	-0.07856812	0.33254448	0.07494532
Gsta1	0.16277966	0.32289603	0.12549604	0.33349353
Fendrr	1.070758	1.1658809	1.5033401	0.8889874
Slc25a51	2.4852686	2.393777	2.5291798	2.425156
Kat7	2.3126378	2.4283392	2.4236133	2.3683753
Chrm1	0.3289665	0.30926785	-0.30826086	0.31668803
Stag3	0.17725134	0.31588137	0.22934112	0.33589077
Unk	1.7751586	1.7430563	1.900177	1.860818
Ampd1	0.78650737	0.57868665	0.76704985	0.7060787
Cbr2	1.6004462	1.4266316	1.58834	1.5039968
Agpat4	2.6325681	2.6946754	2.4760044	2.6100383
Ampd2	2.2482765	2.2473073	2.3145463	2.2119937
Btbd1	2.6355686	2.6338823	2.5254886	2.5994148
Abca2	2.2998784	2.0805786	2.3604412	2.2861009
Asb3	2.1699305	2.205697	2.2600212	2.128689
Vac14	1.5956583	1.7292155	1.6958673	1.5529735
Rdh10	2.1246355	1.7972199	2.080006	1.968466
Wdr31	0.7125075	0.5367077	0.5767879	0.55897474
Sec23b	1.9163871	2.219013	2.3756564	2.1839695
Gm26760	0.45756885	0.11304439	0.56434685	0.51962894
Fbrs	2.1164286	2.0895164	2.1312258	2.091848
Pdrg1	2.5856395	2.543241	2.4854777	2.5260801
Plagl2	1.533048	1.7182517	1.5645462	1.7228742
Adam23	1.7452989	1.8961023	1.8464397	1.1947713
Igf2bp1	0.49012056	0.59942985	0.47877696	-0.5539723
Rwdd2a	1.475555	1.470189	1.3567274	1.2931228
Ghitm	2.849643	2.8037093	2.8051429	2.8441732
Gm16537	0.8188325	0.4439397	0.73272	0.5928556
P2ry1	1.3453479	1.4195344	1.5409992	1.4203585
Gm9913	0.83194506	0.7806652	0.8102393	0.78584
Gng4	1.1196146	0.7840825	1.268734	1.0113096
Eps8l2	0.31588382	0.33858982	0.43592763	0.13872592
Ash1l	2.90359	2.9713542	2.874498	2.8848069
