gene	log_min	log_max
Lbx2	-17.435179	-13.9813
Zdhhc12	-14.216303	-10.762424
Ly6i	-15.825741	-12.371862
Trmt11	-13.172499	-9.71862
Nckap5l	-13.57445	-10.120571
Sec24d	-11.258272	-7.8043942
Lama5	-14.278178	-10.8243
4930563E22Rik	-15.083804	-11.629926
Laptm5	-15.730431	-12.276552
Il12rb2	-18.128325	-14.674447
Mpig6b	-17.435179	-13.9813
Zfp622	-12.245004	-8.791125
Slc9b1	-16.182415	-12.728538
Phactr2	-11.462643	-8.008764
Coq2	-12.069202	-8.615324
Syt3	-14.87023	-11.416351
4833408A19Rik	-14.601966	-11.1480875
Gm43403	-15.931102	-12.477223
Shisal1	-15.420276	-11.966397
Arhgap39	-14.139342	-10.685464
C030004G16Rik	-18.128325	-14.674447
Zfp667	-13.260792	-9.806913
Tmem74	-17.435179	-13.9813
9330159M07Rik	-13.969443	-10.515565
Ccdc34	-11.297452	-7.843574
Dlg4	-12.021303	-8.567425
Fam241b	-16.518888	-13.06501
Hs3st6	-18.128325	-14.674447
Pak2	-10.725265	-7.2713866
Ndufb11	-9.783821	-6.329943
Pex19	-12.209433	-8.755554
Shpk	-14.727129	-11.273251
Oxsm	-13.771617	-10.317739
Kif9	-15.931102	-12.477223
Aqr	-12.066869	-8.61299
Alg12	-13.758878	-10.304999
Pfdn6	-11.53118	-8.077302
D830050J10Rik	-13.253129	-9.799251
Smpd2	-12.635264	-9.181386
Shank3	-14.76103	-11.307152
2810004N23Rik	-12.0280075	-8.574129
Zrsr1	-12.548596	-9.094718
Asprv1	-18.128325	-14.674447
Mcm7	-13.0407295	-9.586851
Abhd6	-13.513206	-10.059327
Tnfrsf19	-16.742031	-13.288154
Kif27	-17.435179	-13.9813
Gsta1	-17.435179	-13.9813
Fendrr	-14.544807	-11.090929
Slc25a51	-12.085693	-8.631815
Kat7	-12.375753	-8.921875
Chrm1	-17.435179	-13.9813
Stag3	-17.435179	-13.9813
Unk	-13.427846	-9.973968
Ampd1	-16.182415	-12.728538
Cbr2	-13.923634	-10.469755
Agpat4	-11.68738	-8.233501
Ampd2	-12.529904	-9.076026
Btbd1	-11.733065	-8.279186
Abca2	-12.394985	-8.941107
Asb3	-12.776468	-9.32259
Vac14	-13.865646	-10.411768
Rdh10	-13.059422	-9.605543
Wdr31	-15.825741	-12.371862
Sec23b	-12.360005	-8.906127
Gm26760	-16.336567	-12.8826885
Fbrs	-12.96354	-9.509662
Pdrg1	-11.95454	-8.500662
Plagl2	-13.685675	-10.231796
Adam23	-13.474365	-10.020487
Igf2bp1	-16.742031	-13.288154
Rwdd2a	-14.299685	-10.845806
Ghitm	-11.162302	-7.708424
Gm16537	-16.182415	-12.728538
P2ry1	-14.017452	-10.563574
Gm9913	-15.563376	-12.109498
Gng4	-14.832489	-11.378611
Eps8l2	-17.029713	-13.575835
Ash1l	-10.610262	-7.156384
Bmp6	-15.1838875	-11.730009
Actl6a	-12.408014	-8.954136
Ccdc47	-11.239754	-7.785876
Gm33474	-17.029713	-13.575835
Pcbp2	-9.993858	-6.5399804
Gm9908	-15.643419	-12.189541
Ttll4	-13.628516	-10.174638
Asxl1	-12.81512	-9.361241
Eapp	-11.25103	-7.797152
Gm45890	-16.742031	-13.288154
Unc13a	-17.029713	-13.575835
Gabrr2	-16.182415	-12.728538
Cyp20a1	-11.645219	-8.19134
Ubtd2	-12.198737	-8.744859
Wwc2	-11.158535	-7.704657
Txnrd1	-11.890001	-8.436123
Mob1a	-11.372557	-7.9186788
Ripply3	-15.1838875	-11.730009
Cpne7	-13.685675	-10.231796
Slc16a1	-13.022381	-9.568502
Srsf4	-12.12939	-8.675511
Mss51	-14.992832	-11.538954
Akr1c19	-15.420276	-11.966397
Rapgef6	-11.580107	-8.126228
B130046B21Rik	-17.029713	-13.575835
Gm14325	-14.390656	-10.936778
Ilf3	-12.323191	-8.869312
Exog	-13.985191	-10.531313
Kansl2	-12.465365	-9.011487
Iqsec1	-11.890001	-8.436123
Rnaset2b	-12.57925	-9.125372
Ssu2	-17.435179	-13.9813
Lrrc40	-13.662418	-10.20854
Fjx1	-14.321664	-10.867785
Gm45464	-15.237954	-11.784076
Tubgcp4	-12.681589	-9.227711
Thap4	-13.523156	-10.069278
Helz2	-13.316142	-9.862264
Gm10037	-15.237954	-11.784076
Cstf2t	-12.986663	-9.532784
Zfp772	-14.49074	-11.036861
Ly6k	-14.832489	-11.378611
Pp2d1	-18.128325	-14.674447
Gm11613	-15.825741	-12.371862
Gm49698	-16.048883	-12.595006
Pdlim3	-12.486419	-9.03254
Ppp2r1a	-11.377225	-7.923347
2810405F17Rik	-14.517408	-11.06353
Apaf1	-12.9353695	-9.481491
Ocrl	-12.71668	-9.262801
Dnlz	-11.325932	-7.8720536
Fbxo7	-13.245524	-9.791646
Wnt11	-13.894219	-10.440341
Gm17216	-14.66259	-11.208712
Crybb3	-14.299685	-10.845806
Atp13a2	-13.186684	-9.732805
Olfr921	-16.336567	-12.8826885
Tsen34	-10.936896	-7.4830184
Gm11521	-18.128325	-14.674447
Manba	-12.656055	-9.202177
Fbxo27	-14.76103	-11.307152
Vangl2	-13.797593	-10.343715
Tmeff2	-11.53118	-8.077302
Gm34099	-17.029713	-13.575835
Armcx4	-12.980831	-9.526953
Dmxl1	-11.724751	-8.270873
Wdr24	-14.257125	-10.8032465
Rps14	-8.156526	-4.7026477
Meak7	-14.257125	-10.8032465
Dio3os	-15.037284	-11.5834055
Med23	-13.172499	-9.71862
Tlr6	-15.563376	-12.109498
Xirp1	-16.336567	-12.8826885
Srd5a3	-12.610873	-9.156995
Psma2	-10.38549	-6.9316125
Tada3	-12.518854	-9.064976
Slc38a1	-13.260792	-9.806913
Capg	-10.706551	-7.2526727
Dctd	-16.048883	-12.595006
Hyal1	-13.02846	-9.574581
Zmym6	-13.685675	-10.231796
Gm20627	-18.128325	-14.674447
Sf3b6	-10.589299	-7.1354213
Jaml	-16.742031	-13.288154
