gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.42	0.37	0.37	0.69	0.93	-92.07518	-89.1535	-91.75365	-89.56447	0.0	-1.0903882	-11.743872199526189	2.5881343473917946	0.04929577464788732	21
Zdhhc12	0.29	0.48	0.29	0.39	1.0	-84.91715	-85.28235	-84.86684	-84.60699	1.0	-0.13470313	-11.833626640864479	0.08597786444024003	0.04929577464788732	21
Ly6i	0.19	0.06	0.06	0.77	0.69	-66.91875	-66.2584	-65.43074	-66.49614	0.0	-0.18353607	-12.469457455198434	2.02383175226304	0.009389671361502348	4
Trmt11	0.4399999999999999	0.4399999999999999	0.4399999999999999	0.58	1.0	-82.780014	-79.04179	-80.68658	-81.32893	0.0	-0.63019615	-11.865785959258881	0.2547193152334053	0.04460093896713615	19
Nckap5l	0.31	0.28	0.28	0.61	1.0	-13.951619	-13.953386	-13.742017	-14.1593	1.0	0.09019458	-14.218583878474607	5.240464457276877	0.004694835680751174	2
Sec24d	0.49	0.2199999999999999	0.2199999999999999	0.4	1.0	-120.56123	-119.06459	-120.94002	-118.38174	0.0	-0.9465434	-11.498923613752101	4.953716612301463	0.07276995305164319	31
Lama5	0.4	0.31	0.31	0.54	1.0	-6.2146263	-6.5075617	-6.697679	-6.012591	0.0	-0.08774287	-14.871653813761377	1.7837491452541467	0.002347417840375587	1
Slc13a3	0.48	0.18	0.18	0.68	0.9599999999999996	-105.28734	-101.70457	-103.334946	-102.85459	0.0	-1.0565286	-11.617442522140221	1.6083018084066971	0.0539906103286385	23
4930563E22Rik	0.35	0.41	0.35	0.57	1.0	-13.297577	-13.388843	-13.750795	-12.903974	0.0	-0.17093974	-14.183843856526973	4.04338447009092	0.004694835680751174	2
Laptm5	0.35	0.18	0.18	0.57	1.0	-1010.06506	-1001.8576	-1009.3127	-1004.95526	0.0	-2.219159	-7.122485605342947	5.0703059866311975	0.8262910798122066	352
Il12rb2	0.26	0.36	0.26	0.57	1.0	-19.028742	-17.894812	-18.379496	-18.569128	0.0	-0.19960773	-13.803656831396953	3.7166397213610853	0.007042253521126761	3
Mpig6b	0.47	0.36	0.36	0.49	1.0	-12.869365	-12.623853	-13.015175	-12.4110775	0.0	-0.19903162	-14.184513648042259	4.957448049760092	0.004694835680751174	2
Zfp622	0.39	0.44	0.39	0.64	1.0	-225.14742	-219.29517	-223.51665	-220.30862	0.0	-2.1014602	-10.329790114690558	2.517204718096142	0.16666666666666666	71
Phactr2	0.43	0.28	0.28	0.38	1.0	-213.68857	-207.34167	-212.18872	-208.65164	0.0	-2.1875093	-10.42491737022847	4.090039112234347	0.15258215962441316	65
Coq2	0.45	0.38	0.38	0.57	1.0	-158.2391	-155.16127	-156.77007	-156.54741	0.0	-0.7346943	-10.967368384569905	1.50297458002101	0.1056338028169014	45
Syt3	0.16	0.1999999999999999	0.16	0.62	1.0	-28.525135	-30.169062	-28.892685	-29.758347	0.7764195	0.53557694	-13.135126242722775	3.859013063638448	0.014084507042253521	6
4833408A19Rik	0.41	0.28	0.28	0.51	1.0	-33.713608	-33.182148	-33.938324	-33.06002	0.0	-0.28384936	-13.125171324509822	2.055340316516409	0.014084507042253521	6
Gm43403	0.44	0.36	0.36	0.62	1.0	-51.842518	-49.935165	-51.625366	-49.936935	0.0	-0.8275839	-12.45735222399724	4.123608491795528	0.023474178403755867	10
Vmn1r32	0.31	0.4599999999999999	0.31	0.59	1.0	-6.4092307	-6.399786	-6.2972994	-6.4759154	0.0	0.028960807	-14.828276089910966	6.154637951344322	0.002347417840375587	1
Arhgap39	0.46	0.42	0.42	0.45	1.0	-134.04265	-130.19084	-134.17543	-130.38298	0.0	-1.5893736	-11.283975705898044	2.709210174235335	0.07746478873239436	33
Zfp667	0.18	0.44	0.18	0.45	1.0	-53.839863	-54.30321	-54.788776	-52.969765	0.0	-0.37787881	-12.53166709407444	0.040952405046998486	0.025821596244131457	11
9330159M07Rik	0.4499999999999999	0.47	0.4499999999999999	0.61	1.0	-43.940907	-42.730053	-43.38262	-43.39309	0.0	-0.237914	-12.752980363579713	4.382533563859422	0.02112676056338028	9
Ccdc34	0.36	0.25	0.25	0.42	1.0	-227.79642	-224.64217	-229.51968	-226.9517	0.0	-0.36685345	-10.384754979756122	2.1372245925905995	0.1431924882629108	61
Dlg4	0.48	0.31	0.31	0.62	1.0	-275.13306	-271.6446	-275.0771	-271.82037	0.0	-1.4386799	-10.018944069399211	4.733368389413673	0.19014084507042253	81
