gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.8338753	1.106456	0.9610226	0.64430624
Zdhhc12	1.4517138	0.4639249	0.9199887	0.22372326
Ly6i	-0.7456266	1.3441366	0.7994195	-0.93779975
Trmt11	1.1098373	0.9449065	0.58393145	0.6797111
Nckap5l	0.21389341	-0.17905362	-0.13664936	0.14806917
Sec24d	1.4647609	-0.20803	1.1940787	0.7410793
Lama5	-0.08610515	0.39448193	-0.037422925	-0.065284066
Slc13a3	1.0679967	1.3748244	1.0387193	-0.13335085
4930563E22Rik	0.39024067	-0.20750304	0.3759269	-0.036411315
Laptm5	2.723782	2.3012335	2.6025732	2.4393454
Il12rb2	-0.30190903	0.1162659	0.29403442	0.39169055
Mpig6b	0.42146337	-0.18506442	0.3264363	-0.11136885
Zfp622	1.7075851	1.8577548	1.5424894	1.4363016
Phactr2	1.8378426	0.81796855	1.7225672	1.0261267
Coq2	1.4111425	1.494483	1.2863195	0.95058537
Syt3	0.12929335	-0.6725225	0.57998776	0.4112808
4833408A19Rik	0.5529915	0.53653085	0.39205015	-0.313887
Gm43403	0.7657195	0.23965654	0.746541	0.36193296
Vmn1r32	0.53330827	-0.07148157	-0.073918656	-0.059117462
Arhgap39	1.4439965	0.74071914	1.2546934	0.3768312
Zfp667	0.57940817	1.0999458	-1.0010304	0.7919735
9330159M07Rik	0.5864929	0.54045343	0.40687647	0.09755761
Ccdc34	1.7431463	1.6550258	1.7866098	0.58295
Dlg4	1.8991661	1.8010842	1.575608	1.6780026
Fam241b	0.37181756	-0.091052055	-0.09757684	-0.058680154
Pak2	2.3929636	2.1300473	2.1524656	2.1425395
Ndufb11	2.3738725	2.5500886	1.9537145	2.0266309
Pex19	1.3204619	0.29533875	1.1071872	1.309863
Shpk	0.17858309	0.29191798	0.5469514	0.25445077
Oxsm	0.27813092	1.1947997	0.5884621	0.462576
Kif9	0.74317247	0.12769915	0.5096815	0.23790745
Aqr	1.7022725	1.3359424	1.6593022	1.161869
Alg12	1.0778364	0.26892388	0.51241213	-0.5640828
Pfdn6	2.3288343	1.5358526	1.6031556	1.5308515
D830050J10Rik	0.005864579	0.61776054	0.7767314	0.70343435
Smpd2	0.572094	0.12779443	0.9464203	0.5546966
2810004N23Rik	1.226376	1.8519243	1.5133976	0.37834617
Zrsr1	-0.5889334	1.1869699	0.300531	0.19547288
Mcm7	1.7400184	1.4079468	1.0316235	0.45353124
Abhd6	1.3298825	0.89366454	1.1199374	1.2089275
Kif27	-0.2260114	-0.20504628	0.4342146	-0.08047311
Lyrm7os	-0.06863351	0.2087468	-0.04001484	-0.020397842
Slc25a51	1.7644249	1.5065323	0.9918935	1.3104285
Kat7	1.8913722	1.479137	1.1146994	0.09599253
Stag3	0.32951775	-0.19698955	-0.11207177	0.4327707
Unk	0.58357453	0.94158757	1.0242949	0.48659483
Ampd1	0.00499605	0.49807376	0.34626898	-0.25174856
Cbr2	2.345883	1.8563858	2.3653772	2.3406355
Agpat4	1.7717484	0.30870295	1.4166346	1.3601432
Ampd2	1.1161339	-0.5458032	1.0877708	0.57342017
Btbd1	1.8199492	1.7390745	1.9438411	0.8086478
Abca2	0.8529023	0.8427595	0.9499963	0.3724578
Asb3	1.3180041	0.9898962	0.72744244	0.77641445
Vac14	1.6093762	1.2988045	1.3360229	1.2999706
Rdh10	1.1595504	1.065654	1.2746723	0.80991894
Ptpn22	1.2968781	1.5412136	1.4471482	1.247735
Ribc2	-0.07324821	-0.09624523	0.30857077	-0.024916356
Sec23b	1.6437867	1.3917937	1.276037	0.9378211
Fbrs	1.6876161	0.8613969	1.5846324	1.5117122
Pdrg1	1.8018972	1.7045766	1.4036862	1.7073624
Plagl2	1.3682759	0.3405584	1.0724422	1.1411864
Adam23	1.1646042	0.980771	0.5089636	-1.1132745
Rwdd2a	-0.2676245	0.7796478	1.1085974	0.74029785
Ghitm	1.9520628	2.19515	1.911874	1.5502715
Gm16537	0.3385107	-0.0773433	-0.06514071	-0.011239615
Olfr1392	-0.08721207	-0.10707061	-0.048051894	0.15266998
P2ry1	-0.096708015	0.26425153	-0.042030804	-0.046097584
Cd300lb	1.7637119	0.87805265	0.036684684	0.92666715
Ash1l	2.1388838	2.222121	1.9947891	1.7398666
Actl6a	1.5666201	1.5752056	1.5828727	1.109647
Ccdc47	1.8075448	1.9778754	1.83418	1.7160083
Pcbp2	2.5681434	2.4174473	2.4005911	1.9519509
Tmem163	-0.94344044	0.85783255	-0.7094592	0.15890685
Ttll4	0.26481768	-0.07026429	0.15959021	0.63198185
Asxl1	1.5621911	1.482114	1.1908001	1.0700545
Eapp	1.6282331	2.1065867	1.938397	1.2241154
Gm45890	-0.18764107	-0.20454833	0.49705243	0.20673262
Gabrr2	0.09980661	-0.065171264	-0.016595043	-0.050973605
Cyp20a1	1.7629173	1.2818851	1.1704276	1.3692333
Ubtd2	0.43957365	-0.21099673	0.3005345	-0.056518257
Wwc2	1.5674392	1.433987	1.2952983	1.3839645
Txnrd1	2.123642	1.357563	1.7212272	1.5525486
Mob1a	2.4691925	1.7513814	2.2209535	1.9311522
Ripply3	0.12324312	-0.36495888	0.6814104	-0.18588932
Slc16a1	1.0710102	0.7618516	1.0022709	-0.6410768
Srsf4	1.5086204	1.4513897	1.6307089	1.4712459
Mss51	0.44675407	0.36882484	0.24800968	0.70895004
Cd209c	0.039513744	0.17164774	0.18705451	0.5558472
Rapgef6	1.7027398	2.3058124	1.6620772	1.6658016
B130046B21Rik	-0.22173348	0.63409173	-0.11575215	-0.123342946
Gm14325	-0.06531201	0.27234963	-0.061180733	-0.024678322
Gm19585	-0.8228991	0.83328646	-0.5539555	0.25681332
Ilf3	1.8192346	2.009648	1.1629404	1.3978946
Exog	1.1344849	0.5582377	0.8055288	-0.038891196
Kansl2	1.5487511	1.5608432	0.908344	0.8852815
Iqsec1	1.0656615	2.0091207	1.3338733	1.1721559
Rnaset2b	1.8724759	1.7655253	1.2607157	1.7345053
Lrrc40	0.4633347	1.1080289	1.0701845	0.51740426
Gm45464	-0.4255125	0.602884	0.39042246	-0.27303815
Tubgcp4	1.3098648	1.3725232	1.0369105	0.6920946
Thap4	1.1687655	0.98789424	-0.23594669	0.7701048
Helz2	-1.2204924	0.78854483	0.40884572	-0.91677004
Cstf2t	1.3795857	1.4158577	0.6456252	0.8366089
Zfp772	0.80061036	0.20458418	-0.38510084	0.2901438
Ly6k	-0.2174529	0.45556614	-0.13896996	-0.048717774
Pp2d1	-0.11034497	0.20693551	-0.05285216	-0.014288676
Gm11613	-0.23952259	-0.18510748	0.26461467	0.1595141
Pdlim3	0.5105325	0.90018773	0.20999344	-0.42943943
Ppp2r1a	1.8053635	1.8487746	1.7406439	1.821597
2810405F17Rik	-0.119095504	0.46620125	0.3561149	0.5016444
Apaf1	1.531782	0.99619347	1.6626228	1.3713483
Ocrl	1.8635888	0.55668646	1.7529347	0.7958206
Dnlz	1.6124328	1.4056257	1.1135269	1.421238
Fbxo7	1.2883654	0.9883098	0.882611	0.79738367
Wnt11	1.0280268	-1.2108904	0.9759916	0.5008145
Gm45805	0.28204268	-0.061714076	-0.05883525	-0.034379933
Ghrh	0.10986691	-0.08009853	-0.016066879	-0.035893522
Crybb3	0.4085849	0.391453	-0.2315785	0.3892079
Atp13a2	1.949712	1.7897174	1.1879206	1.7235744
