gene	bin_0	bin_1	bin_2	bin_3
Lbx2	1.1705217	1.1002337	0.9072725	0.8784126
Zdhhc12	1.0437583	1.0573312	1.0462008	0.86717284
Ly6i	0.61507064	0.55004156	1.0062227	0.5334601
Trmt11	1.2095563	1.0554916	0.8677093	0.83796704
Nckap5l	0.17148067	0.37506542	0.303056	-0.12786652
Sec24d	1.2384712	0.9951354	1.1383395	1.1332804
Lama5	0.27377045	0.05112934	0.19864604	0.1554644
Slc13a3	1.195312	1.1340204	1.1247013	0.78488654
4930563E22Rik	0.3264702	0.3959264	0.06759858	0.24490629
Laptm5	2.513814	2.635397	2.5435824	2.3687584
Il12rb2	0.40420794	0.30268306	0.29541954	0.13757825
Mpig6b	0.17877714	0.38402677	0.12653685	0.2787123
Zfp622	1.8513775	1.8621083	1.6153705	1.4916097
Phactr2	1.768969	1.5381516	1.3870648	1.3522481
Coq2	1.5467211	1.5572467	1.4348247	1.2040234
Syt3	0.5825965	0.49313354	-0.2237934	0.40599674
4833408A19Rik	0.5693948	0.7343223	0.12511966	0.4541758
Gm43403	0.8634972	0.8372376	0.6205324	0.608842
Vmn1r32	-0.06416029	0.2707234	0.21216777	0.16903114
Arhgap39	1.4163496	1.2386066	1.044241	0.96508884
Zfp667	0.9126603	0.8404029	0.53046346	0.57228136
9330159M07Rik	0.7741027	0.80082625	0.57977796	0.31470478
Ccdc34	1.8814174	1.8729339	1.6318624	1.2877262
Dlg4	2.0424755	2.010507	1.7263646	1.5333991
Fam241b	0.07604922	0.2807473	0.23706946	0.16163182
Pak2	2.3991876	2.360918	2.2099998	2.0114887
Ndufb11	2.3988974	2.445301	2.213765	2.1119032
Pex19	1.4046263	1.1619246	1.2304337	0.9881264
Shpk	0.71476704	0.6057949	0.18520804	0.23720913
Oxsm	0.90643066	0.9896333	0.77431685	0.7414713
Kif9	0.50867146	0.7085861	0.5548074	0.44563818
Aqr	1.7827057	1.6411866	1.456217	1.4459274
Alg12	0.58549005	0.75059855	0.7044853	0.45760497
Pfdn6	1.998439	1.9059615	1.8064454	1.7545815
D830050J10Rik	0.87957656	0.91804415	0.8573144	0.20780621
Smpd2	0.95931274	0.85833573	0.564004	0.785064
2810004N23Rik	1.4611163	1.6541134	1.4440578	1.2622694
Zrsr1	0.72688556	0.48881915	0.66322505	0.6147529
Mcm7	1.5098505	1.6534051	1.3453413	1.1498464
Abhd6	1.3697628	1.4373189	1.2188768	0.9113887
Kif27	0.41387048	0.3882485	-0.4226822	0.22431244
Lyrm7os	0.30217385	0.013256932	0.20965031	0.14958633
Slc25a51	1.6706375	1.7366832	1.3642508	1.2169485
Kat7	1.4794765	1.6054739	1.4798437	1.068798
Stag3	0.09312041	0.37101445	0.31505683	-0.09906923
Unk	1.1093059	1.1524595	0.884035	0.69184154
Ampd1	0.28674096	0.47739425	0.51621974	0.3903462
Cbr2	2.5733438	2.2242663	1.9193974	2.353643
Agpat4	1.6837919	1.1348122	1.4111412	1.2781432
Ampd2	1.1879674	0.7460825	0.7540136	0.6207987
