gene	log_min	log_max
Lbx2	-13.361456	-9.9075775
Zdhhc12	-13.361456	-9.9075775
Ly6i	-13.7889	-10.335022
Trmt11	-13.452428	-9.998549
Nckap5l	-15.803803	-12.349925
Sec24d	-12.97059	-9.516711
Lama5	-16.49695	-13.043072
Slc13a3	-13.164746	-9.710868
4930563E22Rik	-15.803803	-12.349925
Laptm5	-8.851074	-5.397197
Il12rb2	-15.398338	-11.94446
Mpig6b	-15.803803	-12.349925
Zfp622	-11.997141	-8.5432625
Phactr2	-12.019613	-8.565735
Coq2	-12.5651245	-9.111246
Syt3	-14.705191	-11.251312
4833408A19Rik	-14.705191	-11.251312
Gm43403	-14.012044	-10.558166
Vmn1r32	-16.49695	-13.043072
Arhgap39	-12.833388	-9.37951
Zfp667	-14.012044	-10.558166
9330159M07Rik	-14.299726	-10.845847
Ccdc34	-11.922239	-8.468361
Dlg4	-11.668636	-8.214758
Fam241b	-16.49695	-13.043072
Pak2	-10.337855	-6.8839774
Ndufb11	-10.218429	-6.7645507
Pex19	-12.759281	-9.305403
Shpk	-14.887512	-11.433634
Oxsm	-13.7889	-10.335022
Kif9	-14.551041	-11.097162
Aqr	-12.153145	-8.699266
Alg12	-14.1943655	-10.740487
Pfdn6	-11.303993	-7.8501153
D830050J10Rik	-14.012044	-10.558166
Smpd2	-13.932001	-10.478123
2810004N23Rik	-12.192885	-8.739007
Zrsr1	-14.012044	-10.558166
Mcm7	-12.353816	-8.899938
Abhd6	-12.8593645	-9.405486
Kif27	-15.803803	-12.349925
Lyrm7os	-16.49695	-13.043072
Slc25a51	-12.277443	-8.823565
Kat7	-12.353816	-8.899938
Stag3	-15.803803	-12.349925
Unk	-13.361456	-9.9075775
Ampd1	-15.110656	-11.656777
Cbr2	-9.057391	-5.6035132
Agpat4	-12.322563	-8.868685
Ampd2	-13.501218	-10.047339
Btbd1	-11.692929	-8.239051
Abca2	-13.7889	-10.335022
Asb3	-13.095753	-9.641874
Vac14	-12.353816	-8.899938
Rdh10	-13.0004425	-9.546564
Ptpn22	-12.322563	-8.868685
Ribc2	-16.49695	-13.043072
Sec23b	-12.453899	-9.000021
Fbrs	-12.2064905	-8.752612
Pdrg1	-11.88183	-8.427952
Plagl2	-13.0004425	-9.546564
Adam23	-13.501218	-10.047339
Rwdd2a	-13.7889	-10.335022
Ghitm	-11.315166	-7.8612885
