gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.41	0.23	0.23	0.44	1.0	-62.831245	-63.10912	-62.904602	-62.990498	0.7360076	0.06916234	-12.083008328819222	1.5339984139952856	0.044444444444444446	16
Zdhhc12	0.26	0.42	0.26	0.65	1.0	-52.36211	-50.213573	-51.545574	-51.145897	0.0	-0.52819467	-12.464572637019998	3.3808649826445842	0.030555555555555555	11
Trmt11	0.5	0.47	0.47	0.49	1.0	-45.213066	-44.807026	-45.355568	-44.707405	0.0	-0.21960579	-12.440574217739037	5.758564807983346	0.030555555555555555	11
Nckap5l	0.29	0.43	0.29	0.42	1.0	-32.26399	-32.442394	-33.133373	-31.826862	0.0	-0.18984148	-12.752547733495108	0.1831280102745323	0.016666666666666666	6
Sec24d	0.14	0.42	0.14	0.61	1.0	-134.17284	-132.46106	-133.78223	-133.03848	0.0	-0.4926435	-11.01786542045363	0.03933417040204468	0.10555555555555556	38
Lama5	0.44	0.48	0.44	0.6	1.0	-24.501535	-24.067394	-24.481243	-24.043003	0.0	-0.19913806	-13.255666373569612	1.7390085535356006	0.011111111111111112	4
Slc13a3	0.12	0.24	0.12	0.68	0.9599999999999996	-113.423874	-114.38688	-112.52379	-115.42421	1.0	0.8687347	-11.323463880322267	3.595828199727479	0.07222222222222222	26
4930563E22Rik	0.39	0.4	0.39	0.6	1.0	-12.502771	-12.218829	-12.400066	-12.283812	0.0	-0.095093034	-14.064692919241361	2.3280509035283274	0.005555555555555556	2
Laptm5	0.3199999999999999	0.47	0.3199999999999999	0.59	1.0	-914.5576	-889.4916	-914.75684	-889.8918	0.0	-10.7122345	-6.946249324646426	5.631015948140493	0.8638888888888889	311
Il12rb2	0.41	0.4399999999999999	0.41	0.57	1.0	-6.2236414	-6.2581816	-6.005235	-6.487088	1.0	0.11441349	-14.74409749534358	3.384007431574428	0.002777777777777778	1
Zfp622	0.43	0.45	0.43	0.47	1.0	-206.92093	-202.07942	-203.77557	-205.44942	0.0	-0.63906944	-10.190499382718759	2.5316219316083517	0.20833333333333334	75
Phactr2	0.1899999999999999	0.43	0.1899999999999999	0.7	0.9	-263.5019	-261.28818	-263.35217	-261.914	0.0	-0.68961215	-9.775188779564992	0.1850284195422791	0.2833333333333333	102
Coq2	0.36	0.36	0.36	0.48	1.0	-152.70026	-148.55415	-153.24362	-148.4783	0.0	-1.8335714	-10.712797578085354	5.522593923062198	0.11666666666666667	42
Syt3	0.41	0.4599999999999999	0.41	0.6	1.0	-51.499023	-48.38373	-50.84014	-48.888054	0.0	-1.1339296	-12.334334193315412	5.722640553954088	0.030555555555555555	11
4833408A19Rik	0.4599999999999999	0.17	0.17	0.52	1.0	-14.250769	-14.3730345	-14.337273	-14.316051	0.29249248	0.028351555	-14.138814790218659	1.3111777446800073	0.005555555555555556	2
Gm43403	0.42	0.33	0.33	0.52	1.0	-50.86196	-47.674385	-50.15372	-47.41153	0.0	-1.4985034	-12.569482758222502	1.490381914719686	0.030555555555555555	11
Shisal1	0.48	0.29	0.29	0.68	0.9599999999999996	-6.5614023	-6.8162603	-6.387974	-6.9613485	1.0	0.17369443	-14.723742901736717	4.933395704878576	0.002777777777777778	1
Arhgap39	0.45	0.41	0.41	0.6	1.0	-139.53165	-135.14893	-138.17093	-135.72089	0.0	-1.6549922	-10.918111228798232	5.110342555014853	0.10833333333333334	39
Zfp667	0.37	0.43	0.37	0.55	1.0	-58.015472	-56.410572	-57.56524	-56.886005	0.0	-0.49052128	-12.252863753690198	5.673756396435479	0.03611111111111111	13
Tmem74	0.19	0.42	0.19	0.51	1.0	-10.1196995	-10.364842	-11.097826	-9.26932	0.0	-0.36931533	-14.0438559848897	3.2545932783359532	0.002777777777777778	1
9330159M07Rik	0.28	0.12	0.12	0.44	1.0	-35.40484	-37.18909	-36.76586	-36.10183	0.23720258	0.30269933	-12.637734575945426	5.108048291517017	0.019444444444444445	7
Ccdc34	0.43	0.25	0.25	0.49	1.0	-222.57193	-216.40536	-220.57939	-218.94138	0.0	-1.5767297	-10.201838200484143	1.7674380162854275	0.1527777777777778	55
Dlg4	0.2199999999999999	0.34	0.2199999999999999	0.52	1.0	-282.33072	-278.35138	-283.66986	-274.16797	0.0	-3.5450373	-9.99941140934994	0.36812462056014716	0.19722222222222222	71
Pak2	0.49	0.36	0.36	0.59	1.0	-500.00958	-495.635	-498.8648	-495.40607	0.0	-1.9992814	-8.462252051044945	5.727159621232394	0.5694444444444444	205
Ndufb11	0.38	0.16	0.16	0.68	0.9599999999999996	-482.25433	-480.69733	-476.3443	-488.46494	0.0	2.69723	-8.767607922354726	1.8859102343884624	0.5555555555555556	200
Pex19	0.28	0.44	0.28	0.59	1.0	-138.19858	-134.48726	-136.67134	-136.47849	0.0	-0.7470268	-10.920976399852357	2.852964675548094	0.11944444444444445	43
Oxsm	0.44	0.26	0.26	0.58	1.0	-99.05905	-98.55382	-98.32085	-99.64001	0.0	0.25230578	-11.433869661422406	1.7561336745617755	0.07222222222222222	26
Kif9	0.4399999999999999	0.4399999999999999	0.4399999999999999	0.58	1.0	-11.982208	-11.4196	-11.873538	-11.321028	0.0	-0.28714705	-14.096727320911981	5.410697128928459	0.005555555555555556	2
Aqr	0.3	0.32	0.3	0.45	1.0	-199.77864	-197.28683	-201.25659	-195.9771	0.0	-1.6509897	-10.326348088468519	2.054578194810679	0.18888888888888888	68
Alg12	0.0799999999999999	0.42	0.0799999999999999	0.71	0.87	-49.667645	-51.61366	-50.04235	-50.514183	0.8074494	0.36764702	-12.288475317929944	0.12348338680065662	0.030555555555555555	11
Pfdn6	0.47	0.36	0.36	0.47	1.0	-305.7088	-292.07587	-300.53412	-297.78937	0.0	-3.4393663	-9.628703595236779	2.1058558783504946	0.3194444444444444	115
D830050J10Rik	0.28	0.38	0.28	0.5	1.0	-39.677116	-39.103508	-40.51506	-37.86613	0.0	-0.78650105	-12.918252965345387	0.641655652231834	0.022222222222222223	8
Smpd2	0.3399999999999999	0.1	0.1	0.67	0.9899999999999998	-55.139503	-54.26988	-53.670704	-55.17655	0.0	0.01608989	-12.243011156978861	1.0799946177675182	0.03888888888888889	14
2810004N23Rik	0.38	0.26	0.26	0.54	1.0	-162.23997	-161.59421	-161.98422	-161.54352	0.0	-0.30246738	-10.647532765248211	1.1463476115127271	0.1111111111111111	40
Zrsr1	0.22	0.44	0.22	0.58	1.0	-69.01282	-65.66353	-67.56863	-66.300156	0.0	-1.178094	-12.09687663692504	3.1345392769814002	0.03888888888888889	14
Asprv1	0.4399999999999999	0.3	0.3	0.59	1.0	-6.7078867	-6.783773	-6.5950356	-6.8221908	1.0	0.049641624	-14.738850569394709	4.889998828955916	0.002777777777777778	1
Mcm7	0.09	0.19	0.09	0.82	0.54	-172.02853	-178.18584	-167.74936	-179.8894	1.0	3.4139326	-10.79065361980265	2.7402487074978024	0.09166666666666666	33
Abhd6	0.31	0.11	0.11	0.71	0.87	-108.88005	-109.76943	-107.11479	-111.69169	1.0	1.2210788	-11.447737784040669	1.1803458869113186	0.07777777777777778	28
Kif27	0.39	0.37	0.37	0.66	1.0	-20.723074	-20.44224	-20.361286	-20.716167	0.0	-0.002999459	-13.710495298247682	3.9440809233079257	0.008333333333333333	3
Slc25a51	0.1999999999999999	0.39	0.1999999999999999	0.61	1.0	-190.59732	-185.27818	-189.95578	-186.52548	0.0	-1.768377	-10.394206086945191	5.864594623986482	0.17222222222222222	62
Kat7	0.1	0.36	0.1	0.73	0.8099999999999999	-186.4133	-184.13754	-186.02267	-185.12613	0.0	-0.559011	-10.44859254092034	2.9220868521775416	0.18888888888888888	68
Stag3	0.34	0.43	0.34	0.5	1.0	-5.2553926	-5.783334	-5.81723	-5.276117	0.0	0.009000448	-14.695644254730029	3.245666190349137	0.002777777777777778	1
Unk	0.46	0.4599999999999999	0.4599999999999999	0.5	1.0	-84.90636	-83.29027	-84.36574	-83.795975	0.0	-0.4822328	-11.716193457155779	4.436141447189989	0.058333333333333334	21
Ampd1	0.3	0.31	0.3	0.57	1.0	-31.741833	-29.817356	-31.20708	-30.272778	0.0	-0.6380026	-13.028579969100464	3.8277375998518077	0.016666666666666666	6
Cbr2	0.41	0.29	0.29	0.57	1.0	-1003.1748	-986.8913	-995.84973	-993.4606	0.0	-4.2188377	-6.977206655482519	4.145432707038106	0.7722222222222223	278
Agpat4	0.49	0.15	0.15	0.58	1.0	-180.66019	-177.37405	-180.08475	-180.24979	0.0	-0.17823462	-10.511532647564204	1.5902551049488869	0.125	45
Ampd2	0.43	0.0799999999999999	0.0799999999999999	0.75	0.75	-34.640846	-35.13948	-33.23626	-36.71223	1.0	0.8995908	-12.890332014397	4.468093058410021	0.019444444444444445	7
Btbd1	0.28	0.27	0.27	0.63	1.0	-276.5441	-272.96503	-274.03256	-274.82166	0.0	-0.7480473	-9.85287778886441	2.123112783607489	0.28055555555555556	101
Abca2	0.37	0.4499999999999999	0.37	0.54	1.0	-68.197525	-64.36134	-67.857864	-65.04222	0.0	-1.370331	-12.139496193535207	3.3482914583807184	0.03888888888888889	14
Asb3	0.48	0.18	0.18	0.67	0.9899999999999998	-103.576614	-98.80526	-100.87953	-103.63695	0.0	0.026202397	-11.507903590086283	1.7374619535220521	0.07777777777777778	28
Vac14	0.19	0.27	0.19	0.56	1.0	-151.89941	-152.61917	-151.42317	-152.7605	1.0	0.373964	-10.833374164924459	2.518199881557974	0.1361111111111111	49
Rdh10	0.31	0.13	0.13	0.57	1.0	-90.00951	-89.919174	-89.96605	-89.7383	0.0	-0.11778488	-11.55788670580067	5.150667153656316	0.05555555555555555	20
Ptpn22	0.3199999999999999	0.4	0.3199999999999999	0.55	1.0	-104.32359	-98.19755	-103.2663	-99.23644	0.0	-2.2093215	-11.339214328971131	0.3210179320255664	0.075	27
Sec23b	0.23	0.42	0.23	0.66	1.0	-140.32413	-136.75038	-141.32515	-136.48164	0.0	-1.6687694	-10.915783256162166	3.4142111504486703	0.11388888888888889	41
Fbrs	0.22	0.47	0.22	0.59	1.0	-170.24756	-162.60796	-168.80286	-164.05116	0.0	-2.6910605	-10.634891056786262	3.2863432727030135	0.1361111111111111	49
Pdrg1	0.36	0.42	0.36	0.58	1.0	-232.76492	-226.76035	-232.04288	-227.4259	0.0	-2.3187068	-10.097393630062351	6.099124496432581	0.21388888888888888	77
