gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.7344587	1.0693644	1.0261152	-0.18755186
Zdhhc12	-0.1781644	0.73268616	0.86328405	0.76099414
Trmt11	0.18629213	0.9518796	0.44073808	0.70536643
Nckap5l	0.30920827	0.5227857	0.44641593	0.11324775
Sec24d	0.7405745	1.714074	0.034323454	1.407502
Lama5	-0.069455504	0.6750944	0.2780286	-0.114214286
Slc13a3	-0.29182914	0.45138747	1.6399382	1.3923748
4930563E22Rik	0.032279994	0.37336054	0.3061344	-0.1515894
Laptm5	1.9793483	2.6454532	2.3265426	2.6659312
Il12rb2	-0.0039263046	-0.13678424	0.25562835	-0.08224583
Zfp622	1.0944633	1.8995606	1.6745688	1.535274
Phactr2	1.406635	2.2502372	1.410533	1.9566324
Coq2	1.0653796	1.1599901	1.4069093	1.424985
Syt3	0.2412952	0.7916743	0.35026494	0.6964315
4833408A19Rik	-0.015392395	0.5198563	-0.09204045	-0.18412238
Gm43403	-0.22387274	1.0731801	-0.05336471	0.59421825
Shisal1	-0.0010046754	-0.13143563	-0.06109048	0.26408377
Arhgap39	0.7224821	1.3508809	1.1315981	1.5022551
Zfp667	0.29082155	1.002112	0.36493072	0.7011521
Tmem74	-0.013817342	-0.27617347	0.5500555	-0.17542894
9330159M07Rik	0.46748996	-1.105842	0.83804953	0.7182579
Ccdc34	1.0868188	1.9142636	1.798847	0.22372718
Dlg4	1.1403042	2.2375634	-0.27249902	1.5995259
Pak2	1.8542298	2.2442262	2.3647654	2.265298
Ndufb11	1.3103517	2.5469658	2.0551682	1.3163878
Pex19	0.23768407	1.7961452	1.356832	1.2844025
Oxsm	0.6385021	1.5450568	1.2330669	-0.0763449
Kif9	-0.073893294	0.31173345	-0.17150146	0.31580156
Aqr	0.96000594	1.8800523	1.7802112	0.91215545
Alg12	0.36672097	1.169238	-0.94380575	0.79659116
Pfdn6	1.2157462	2.1705782	1.9504507	1.7542663
D830050J10Rik	-0.1723035	0.99737126	-0.7347577	0.5594656
Smpd2	0.53606397	1.2932994	0.53312004	-0.6776122
2810004N23Rik	1.0192636	1.8055968	1.4705286	0.25273517
Zrsr1	-0.45358723	1.1053754	0.8566682	0.88644135
Asprv1	-0.01679824	-0.14581446	-0.060165744	0.28180516
Mcm7	-1.1820565	1.5643845	1.7797035	-0.080664314
Abhd6	0.53688645	1.8621863	0.37512726	-0.2452862
Kif27	-0.0026631448	0.12650186	0.32900468	0.37280855
Slc25a51	1.1662976	1.3936745	1.21315	1.7285541
Kat7	0.1753039	1.7911445	1.772965	1.2582093
Stag3	-0.029758777	-0.109705515	0.27043897	-0.05885066
Unk	0.19217199	1.120185	0.7571543	1.1239903
Ampd1	-0.10834909	0.34033254	0.40424013	0.6056885
Cbr2	1.883859	2.6251485	2.3314865	2.4811027
Agpat4	0.94456375	1.7920228	1.5698632	0.5311161
Ampd2	-0.18725619	-0.64655524	0.6485578	0.8642451
Btbd1	0.80610335	2.3191624	1.7557685	1.2644572
Abca2	-0.24658446	1.0685647	0.5639757	0.9313446
Asb3	0.58739126	1.5164008	1.102393	0.10755899
Vac14	0.11119423	1.8811144	1.3919297	0.9565581
Rdh10	0.7990556	0.10509663	0.90193605	1.4271275
Ptpn22	0.6344106	1.5303564	0.7499028	1.0325813
Sec23b	0.41483283	1.2475444	1.6210462	1.2506284
Fbrs	0.47992083	1.6000713	1.6885395	1.5123262
Pdrg1	1.2408731	1.8928322	1.5880649	1.7012081
Plagl2	-0.93911344	1.5991987	1.0985047	1.3607606
Adam23	0.1369691	-0.52626544	0.32567912	-0.21188131
Rwdd2a	-0.25002682	-0.42948833	0.9949013	0.7666654
Ghitm	1.2566612	2.1653442	1.9724747	1.6970176
Gm16537	-0.01376076	0.35120785	-0.05286645	-0.062137265
P2ry1	0.2707931	-0.14992905	-0.06000911	-0.06466777
Cd300lb	0.6789984	1.3562306	1.3996086	0.6416595
Ash1l	1.482895	2.3435116	1.8488944	2.2671962
Bmp6	-0.2790504	0.86834836	-0.116112694	-0.9794591
Actl6a	1.0080999	1.7434593	1.6737524	1.5383409
Ccdc47	1.442707	2.3624215	1.6926461	1.8067399
Pcbp2	1.7183698	2.517044	2.300249	2.3718247
Tmem163	-0.029746216	0.51097196	0.27985203	0.23798087
Ttll4	-0.3439524	0.6124368	1.3154769	0.6105278
Asxl1	1.1774604	1.8244337	1.5634006	1.6860595
Eapp	1.0772628	2.216176	1.6155089	1.5200199
Gm45890	-0.022300242	0.032880567	-0.056852587	-0.09405001
Unc13a	0.3467208	0.16775693	0.29199812	-0.21844572
