gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.49602774	1.3484495	0.8144018	0.9029403
Zdhhc12	0.3429899	1.1231393	0.6195576	0.9637578
Trmt11	0.32862622	1.1369244	0.80123055	0.7657437
Nckap5l	-0.67753345	0.9652261	0.4201126	0.73198396
Sec24d	0.3868864	1.7331909	0.92959076	1.4734721
Lama5	0.2539733	0.6354136	0.53771436	0.21656224
Slc13a3	0.6803764	1.2644948	1.0773157	1.45523
4930563E22Rik	0.118171334	0.4618329	0.017318409	0.34079057
Laptm5	1.7217386	2.6754353	2.3211527	2.5040357
Il12rb2	0.072268434	0.3332367	-0.29850954	0.2293498
Zfp622	0.9385185	1.9600147	1.4612267	1.6355646
Phactr2	1.0147705	2.1819754	1.8352916	2.0391922
Coq2	0.57692593	1.649245	1.3885379	1.4664202
Syt3	0.21650739	0.8998378	0.55426496	0.661317
4833408A19Rik	0.13224691	0.15386094	0.3000863	0.37055188
Gm43403	0.40262184	0.790401	0.63023233	0.9548202
Shisal1	0.034700144	0.31169784	0.1878089	-0.25443566
Arhgap39	0.77760386	1.6416017	1.3117265	1.4947034
Zfp667	0.41244128	1.1637532	0.76454324	0.6719314
Tmem74	0.13057624	0.40928867	-0.6222292	0.3608982
9330159M07Rik	-0.40885106	0.5096936	0.61772484	0.60684085
Ccdc34	1.0441843	2.0076127	1.6207501	1.0366588
Dlg4	1.2505904	1.9650908	0.8940748	1.6913273
Pak2	1.5639036	2.384222	2.2199426	2.3157563
Ndufb11	1.6640626	2.40699	2.1781833	1.8887837
Pex19	0.7802363	1.764489	1.4917248	1.3700651
Oxsm	0.6869076	1.4988519	1.1143866	0.82412887
Kif9	0.15431158	0.36909845	0.33070955	0.056366626
Aqr	0.9133479	1.9570326	1.4528786	1.5373964
Alg12	-0.31062078	0.987992	0.4793738	0.8486818
Pfdn6	1.225274	2.224631	1.8448523	2.0036542
D830050J10Rik	0.3671976	0.69596404	0.5221898	0.6992675
Smpd2	0.10071435	1.2156667	0.78782326	0.7062487
2810004N23Rik	0.6745355	1.8805102	1.4345133	1.0418171
Zrsr1	0.49493098	1.2544072	0.83756083	1.041875
Asprv1	0.075692005	0.3177728	0.21192631	-0.2678092
Mcm7	0.46524802	1.8008242	1.3839095	0.9859432
Abhd6	0.69202733	1.4700112	1.095054	0.7416562
Kif27	0.1695383	0.63484836	0.14082193	0.49874386
Slc25a51	0.5597847	1.7240465	1.5086428	1.66357
Kat7	0.9414723	1.9197775	1.3428682	1.6491045
Stag3	0.11007981	0.2868071	-0.5154	0.24211311
Unk	0.45586103	1.3082323	0.9536002	1.0774168
Ampd1	0.3260048	0.888639	0.13443929	0.5708592
Cbr2	1.7099588	2.7854037	2.0055058	2.4059165
Agpat4	0.96218956	1.8879198	1.5744958	1.3352664
Ampd2	0.38913274	0.7307169	0.77900183	0.3174767
Btbd1	1.2149864	2.2029407	1.8007818	1.7383755
Abca2	0.37388438	1.0619528	0.83315396	0.8547129
Asb3	0.7690738	1.4327977	1.1382651	0.9314657
Vac14	0.9373889	1.7892197	1.3779778	1.446782
Rdh10	0.37964386	1.0468309	1.0713452	1.05821
Ptpn22	0.63562226	1.5513259	1.1652106	1.1896157
Sec23b	0.8118038	1.6210396	1.2897453	1.4189006
Fbrs	0.9847536	1.7611145	1.4428468	1.5653336
Pdrg1	0.97117066	2.022242	1.5689547	1.7841349
Plagl2	0.4701946	1.6569581	1.2905866	1.311712
Adam23	-1.082415	0.49227804	0.3020125	0.38937694
Rwdd2a	0.4579435	0.6782953	0.2045769	0.94464433
Ghitm	1.0498285	2.265732	1.7937995	1.967795
Gm16537	0.092932835	0.14525203	0.20621099	0.2611246
P2ry1	-0.6477064	0.36267233	0.17533733	0.2579701
Cd300lb	0.44617754	1.5723654	0.97531074	1.2538536
Ash1l	1.4354908	2.3652465	1.9695807	2.149411
Bmp6	0.47684336	0.6386283	0.7270366	0.5593757
Actl6a	1.0690497	1.8572215	1.5277188	1.8272077
Ccdc47	1.2645247	2.2636676	1.947158	2.0713832
Pcbp2	1.8262678	2.6109457	2.2015831	2.3695176
Tmem163	0.22563016	0.68517274	0.47968957	0.48606202
Ttll4	0.39997625	1.219828	0.6152487	0.9663805
Asxl1	1.0588366	2.0016136	1.5611274	1.8328167
Eapp	1.1792057	2.1909392	1.7487543	1.7887026
Gm45890	0.08145678	-0.08564022	0.20349091	0.251712
Unc13a	-0.23268887	0.6638316	0.19352593	0.37963328
Cyp20a1	0.89731824	1.7587216	1.5125561	1.5086696
Ubtd2	0.18715495	0.26863232	0.2797007	0.40754664
Wwc2	0.89961046	1.792491	1.3334032	1.6126515
Txnrd1	1.1255441	1.9549403	1.5325655	2.060653
Mob1a	1.5273222	2.4037359	2.0363615	2.2255168
Agbl1	0.05544634	0.34309432	0.21333447	-0.36535197
Ripply3	0.16188692	0.6082451	0.38265753	0.2530149
Cpne7	0.09940973	0.4286834	0.34291127	-0.68584675
Slc16a1	0.5506034	1.1878543	0.68960804	1.1564094
Srsf4	0.9485029	1.8458116	1.5107704	1.5475595
Mss51	0.4123213	1.0249043	0.6943705	0.66365963
Cd209c	0.2346051	0.70271325	0.3688691	-0.015742876
Dnah11	0.0716116	-0.047938798	0.25992963	0.24258669
Rapgef6	1.2830039	2.0087562	1.7532855	2.0784624
B130046B21Rik	0.07943964	0.11744365	0.20896673	0.21278822
Gm14325	0.084762484	-0.06905738	0.2112886	0.22184692
Sox17	0.22199732	0.29108247	0.42143324	0.38968712
Gm19585	0.073023185	0.27729383	-0.40048313	0.2453331
Ilf3	1.1589428	1.9688715	1.5639417	1.6201423
Exog	0.086815774	1.0949711	0.6801679	0.98335546
Kansl2	0.53694284	1.6605383	0.91856295	1.3649659
Iqsec1	0.4386004	1.9085016	1.5629818	1.5026683
Rnaset2b	0.920537	1.8937007	1.4725354	1.6297361
Lrrc40	0.49802902	1.2902129	1.0510753	0.932245
Fjx1	0.069496915	0.34607625	-0.3290805	0.24100439
Gm45464	-0.13508032	0.7896307	0.41933197	0.30903092
Tubgcp4	0.7020435	1.5991684	1.2751019	1.1804397
Thap4	0.6543077	1.3129598	0.9115213	0.9776609
Helz2	0.069232464	0.8970887	0.5031347	0.52202445
Cstf2t	0.43921682	1.5151507	1.082812	1.2344191
Zfp772	0.41592374	0.78875065	0.6052082	0.5403208
Pp2d1	0.08380986	-0.03878397	0.18122752	0.1963445
Gm11613	0.12344447	0.05583533	0.34979582	0.32699618
Pdlim3	0.48757723	1.3042225	0.84328043	0.9182341
Ppp2r1a	1.2120585	1.8607014	1.6921391	1.8859547
2810405F17Rik	0.09134665	0.7042354	0.613936	0.6737844
Apaf1	0.92113066	1.9866173	1.3072325	1.7088872
Ocrl	1.0581692	1.8867897	1.6354804	1.6495457
