gene	log_min	log_max
Lbx2	-13.632299	-10.178421
Zdhhc12	-14.006992	-10.553114
Trmt11	-14.006992	-10.553114
Nckap5l	-14.458978	-11.005099
Sec24d	-12.620698	-9.16682
Lama5	-14.79545	-11.341572
Slc13a3	-12.79397	-9.340092
4930563E22Rik	-15.7117405	-12.257862
Laptm5	-8.758056	-5.304178
Il12rb2	-16.404888	-12.95101
Zfp622	-11.962236	-8.508358
Phactr2	-11.492233	-8.038355
Coq2	-12.434596	-8.980718
Syt3	-14.006992	-10.553114
4833408A19Rik	-15.7117405	-12.257862
Gm43403	-14.006992	-10.553114
Shisal1	-16.404888	-12.95101
Arhgap39	-12.533687	-9.079808
Zfp667	-13.839938	-10.38606
Tmem74	-15.7117405	-12.257862
9330159M07Rik	-14.325446	-10.871568
Ccdc34	-11.789767	-8.335889
Dlg4	-11.514539	-8.06066
Pak2	-10.241573	-6.7876954
Ndufb11	-10.302329	-6.848451
Pex19	-12.492865	-9.038986
Oxsm	-13.003691	-9.549812
Kif9	-15.7117405	-12.257862
Aqr	-11.986047	-8.532168
Alg12	-13.919981	-10.466103
Pfdn6	-11.311137	-7.8572593
D830050J10Rik	-14.325446	-10.871568
Smpd2	-13.76583	-10.311952
2810004N23Rik	-12.277753	-8.823874
Zrsr1	-13.571674	-10.117796
Asprv1	-16.404888	-12.95101
Mcm7	-12.048179	-8.5943
Abhd6	-12.878528	-9.424649
Kif27	-15.306275	-11.852397
Slc25a51	-12.1282215	-8.674343
Kat7	-11.998169	-8.544291
Stag3	-16.404888	-12.95101
Unk	-13.313846	-9.859967
Ampd1	-14.613129	-11.15925
Cbr2	-8.793045	-5.3391676
Agpat4	-12.048179	-8.5943
Ampd2	-14.325446	-10.871568
Btbd1	-11.407676	-7.953798
Abca2	-13.696837	-10.242959
Asb3	-13.037592	-9.583714
Vac14	-12.310543	-8.856665
Rdh10	-13.226834	-9.772956
Ptpn22	-12.939152	-9.485273
Sec23b	-12.513067	-9.059189
Fbrs	-12.261753	-8.807875
Pdrg1	-11.84054	-8.386662
Plagl2	-12.667218	-9.21334
Adam23	-15.306275	-11.852397
Rwdd2a	-13.919981	-10.466103
Ghitm	-11.274989	-7.821111
Gm16537	-16.404888	-12.95101
P2ry1	-16.404888	-12.95101
Cd300lb	-12.691316	-9.237437
Ash1l	-10.867554	-7.413676
Bmp6	-14.102303	-10.648424
Actl6a	-12.0354395	-8.581561
Ccdc47	-11.217502	-7.7636237
Pcbp2	-9.932542	-6.478664
Tmem163	-15.018594	-11.564715
Ttll4	-13.632299	-10.178421
Asxl1	-11.962236	-8.508358
Eapp	-11.722756	-8.268878
Gm45890	-16.404888	-12.95101
Unc13a	-15.306275	-11.852397
Cyp20a1	-12.277753	-8.823874
Ubtd2	-15.306275	-11.852397
Wwc2	-12.294014	-8.840136
Txnrd1	-11.263225	-7.8093467
Mob1a	-10.552685	-7.098807
Agbl1	-16.404888	-12.95101
Ripply3	-15.306275	-11.852397
Cpne7	-15.7117405	-12.257862
Slc16a1	-13.226834	-9.772956
Srsf4	-12.1282215	-8.674343
Mss51	-14.006992	-10.553114
Cd209c	-15.018594	-11.564715
Dnah11	-16.404888	-12.95101
Rapgef6	-11.168446	-7.7145677
B130046B21Rik	-16.404888	-12.95101
Gm14325	-16.404888	-12.95101
Sox17	-15.306275	-11.852397
Gm19585	-16.404888	-12.95101
Ilf3	-11.974071	-8.520192
Exog	-13.76583	-10.311952
Kansl2	-12.767302	-9.313423
Iqsec1	-11.938979	-8.485101
Rnaset2b	-12.010439	-8.5565605
Lrrc40	-13.360365	-9.9064865
Fjx1	-16.404888	-12.95101
Gm45464	-14.79545	-11.341572
Tubgcp4	-12.9083805	-9.454502
