gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.23	0.25	0.23	0.56	1.0	-48.1709	-49.063503	-47.50709	-48.58526	1.0	0.17995428	-11.75115562922328	3.9159241243050804	0.05019305019305019	13
Zdhhc12	0.25	0.25	0.25	0.59	1.0	-50.635303	-49.919395	-50.934082	-49.49591	0.0	-0.494832	-11.535327954391331	0.9709665426573588	0.04633204633204633	12
Ly6i	0.24	0.38	0.24	0.56	1.0	-16.271801	-15.177938	-16.10667	-15.375964	0.0	-0.38905698	-13.666520625572716	0.3321294368213632	0.007722007722007722	2
Trmt11	0.12	0.2099999999999999	0.12	0.66	1.0	-56.294647	-57.76362	-55.680305	-56.292664	1.0	-0.000861485	-11.685999406768907	5.722509013109519	0.05791505791505792	15
Sec24d	0.39	0.0699999999999999	0.0699999999999999	0.71	0.87	-73.97461	-73.00314	-72.56583	-74.29255	0.0	0.13807948	-11.274121074464396	4.357856109865565	0.07722007722007722	20
Lama5	0.3	0.4599999999999999	0.3	0.61	1.0	-20.65364	-19.917795	-20.312382	-20.087093	0.0	-0.2460484	-12.946049619534959	3.5134468183221825	0.015444015444015444	4
Slc13a3	0.47	0.2199999999999999	0.2199999999999999	0.59	1.0	-48.09482	-48.52545	-48.749332	-48.001194	0.0	-0.040660437	-11.751873565866287	4.999529955532173	0.05019305019305019	13
4930563E22Rik	0.3299999999999999	0.49	0.3299999999999999	0.57	1.0	-6.790428	-6.204709	-6.344957	-6.621978	0.0	-0.07315706	-14.186009751374842	0.125077478539664	0.003861003861003861	1
Laptm5	0.31	0.49	0.31	0.62	1.0	-575.0921	-569.20886	-572.45715	-571.4925	0.0	-1.5632905	-6.935526450843681	3.0112765699279573	0.8223938223938224	213
Zfp622	0.19	0.3299999999999999	0.19	0.51	1.0	-115.803085	-115.71309	-115.955605	-115.93772	0.0	0.05847164	-10.408872687397928	3.614913325295167	0.14671814671814673	38
Slc9b1	0.38	0.45	0.38	0.65	1.0	-5.5615387	-6.0815268	-5.645295	-5.966215	0.8389262	0.17574874	-14.24525463916908	0.2845697561519618	0.003861003861003861	1
Phactr2	0.47	0.49	0.47	0.46	1.0	-170.80435	-162.48518	-168.10904	-164.92113	0.0	-2.5550518	-9.74589822578412	3.637996150183181	0.23938223938223938	62
Coq2	0.4	0.23	0.23	0.57	1.0	-88.954094	-86.14357	-87.81035	-86.99921	0.0	-0.8489968	-10.836378689647617	2.243385378988342	0.10424710424710425	27
Syt3	0.32	0.4399999999999999	0.32	0.58	1.0	-27.588833	-26.359167	-27.599873	-26.553135	0.0	-0.4497979	-12.478566575862555	3.7163055745894895	0.023166023166023165	6
4833408A19Rik	0.22	0.49	0.22	0.57	1.0	-11.539366	-11.661573	-11.62554	-11.525667	0.29485577	-0.005949217	-13.585855847185055	2.932693500547997	0.007722007722007722	2
Arhgap39	0.48	0.25	0.25	0.37	1.0	-76.28758	-75.987404	-77.694336	-73.954765	0.0	-1.0131296	-11.292294205118367	4.710867978591857	0.07722007722007722	20
Zfp667	0.3199999999999999	0.5	0.3199999999999999	0.56	1.0	-39.42148	-39.128593	-39.45546	-39.09005	0.0	-0.14393757	-12.192917886622944	6.058464951546468	0.03088803088803089	8
9330159M07Rik	0.45	0.5	0.45	0.56	1.0	-26.631023	-25.926777	-26.550867	-26.072723	0.0	-0.24246661	-12.60121894674688	3.927527385637869	0.023166023166023165	6
Ccdc34	0.48	0.13	0.13	0.67	0.9899999999999998	-117.84688	-116.26984	-117.07017	-117.06472	0.0	-0.33968684	-10.655250575782711	1.4982459345901278	0.11196911196911197	29
Dlg4	0.39	0.32	0.32	0.59	1.0	-116.57918	-111.41469	-115.45952	-112.71626	0.0	-1.6776427	-10.328780766036072	1.006567365284063	0.1274131274131274	33
Pak2	0.4	0.47	0.4	0.6	1.0	-338.16156	-326.6696	-330.25882	-335.16583	0.0	-1.3010279	-8.483993497754867	0.4381382108720624	0.5521235521235521	143
Ndufb11	0.28	0.26	0.26	0.59	1.0	-310.13052	-304.1772	-309.27463	-305.89432	0.0	-1.8397609	-8.768505967179905	5.058261271232185	0.5366795366795367	139
Pex19	0.37	0.42	0.37	0.39	1.0	-64.49901	-63.8696	-64.67799	-63.47044	0.0	-0.44670153	-11.50691234883818	2.3018501785858527	0.0694980694980695	18
Shpk	0.3	0.27	0.27	0.65	1.0	-16.032665	-16.933733	-16.58108	-16.410763	0.39137292	0.16420567	-13.180654808919094	5.151748521135396	0.011583011583011582	3
Oxsm	0.23	0.13	0.13	0.69	0.93	-36.653427	-39.165886	-36.76816	-37.68808	0.9543337	0.44934395	-12.106281218797868	4.328376675220742	0.03088803088803089	8
Aqr	0.46	0.4	0.4	0.52	1.0	-126.8777	-122.660645	-126.59788	-123.14386	0.0	-1.6215864	-10.245029833178322	3.2456581986233037	0.17374517374517376	45
Alg12	0.1099999999999999	0.09	0.09	0.82	0.54	-33.77018	-36.43697	-34.144123	-35.90078	0.85977775	0.9253078	-12.280834591309592	0.7397088258442315	0.023166023166023165	6
Pfdn6	0.29	0.32	0.29	0.65	1.0	-180.59004	-178.1481	-178.88635	-180.26807	0.0	-0.13983227	-9.665069475192231	2.667068471672907	0.25868725868725867	67
D830050J10Rik	0.14	0.42	0.14	0.78	0.6599999999999999	-49.484734	-49.403202	-48.994293	-49.747887	0.0	0.11428593	-11.701167633816409	3.3821180490701166	0.04633204633204633	12
