gene	bin_0	bin_1	bin_2	bin_3
Lbx2	-0.33096874	0.08715094	0.672645	1.0095285
Zdhhc12	1.1500711	0.92382514	0.0051258383	0.65727705
Ly6i	0.39926872	-0.08565501	-0.1742317	-0.18881753
Trmt11	1.4493527	-0.68588805	0.09962427	0.73278743
Sec24d	0.8566392	-0.8719339	1.1639795	1.0825087
Lama5	0.26567617	-0.18583831	0.5535372	0.10419582
Slc13a3	0.65141284	0.222925	0.10193263	1.0266553
4930563E22Rik	0.2992192	0.0073731346	-0.042973407	-0.051667906
Laptm5	2.4862635	2.0686364	2.484741	2.401273
Zfp622	0.2440644	0.9118252	1.3544465	1.5972315
Slc9b1	0.19709177	-0.03447548	-0.06863804	-0.05695685
Phactr2	1.7608045	1.2738239	1.5531017	1.5787861
Coq2	1.0410258	0.901387	1.2242327	0.9156472
Syt3	0.42506132	-0.30456737	0.7729311	0.32289797
4833408A19Rik	-0.21284468	-0.047839954	0.42610514	-0.13889618
Arhgap39	1.3494059	-0.9820333	1.1232066	0.27132156
Zfp667	0.994384	-0.25249824	0.3330353	0.15755926
9330159M07Rik	0.59563285	-0.27058482	0.566618	0.012904337
Ccdc34	1.5777912	0.9013516	1.2647909	-0.34954962
Dlg4	1.543055	1.1966388	0.92634434	1.1557101
Pak2	2.3100195	1.6024289	1.9788022	2.0019805
Ndufb11	2.4221556	0.719465	1.98469	1.9738567
Pex19	1.1481609	-0.06501294	1.1159165	-0.27104655
Shpk	0.24481484	-0.15076685	-0.30725652	0.6672436
Oxsm	-0.49067536	-0.33273864	0.4638955	0.8458233
Aqr	1.3550817	0.8404345	1.4080651	1.2717453
Alg12	1.0629808	0.45557326	-0.89235055	-0.87105554
Pfdn6	1.2175167	1.4374548	1.7030793	1.5653257
D830050J10Rik	-0.4117846	0.2941248	0.9104541	0.931905
Smpd2	-0.53311294	-0.47145733	0.8311094	1.0138372
2810004N23Rik	1.364958	1.0806582	1.103885	0.96874255
Zrsr1	0.86542875	-0.16336492	0.0071831383	0.10868393
Asprv1	0.32195547	0.007509498	-0.045758076	-0.079542495
Mcm7	1.3002053	-0.8110482	-0.83263206	1.0773693
Abhd6	1.4033644	0.14219368	1.0126504	0.81680036
Kif27	0.5192753	-0.020068884	-0.050538294	-0.05226942
Slc25a51	1.5000849	0.96119344	1.2624023	0.1524698
Kat7	1.0923777	0.047198113	1.2515308	1.2781278
Unk	1.3735278	0.6877669	-0.37237462	-0.18110101
Ampd1	0.82681257	-0.1282178	0.37739936	-0.2755188
Cbr2	2.0812032	1.9449943	2.698911	2.3124576
Agpat4	1.3978229	-0.097692996	-0.17926033	1.3913013
Ampd2	1.0829284	0.38649347	-0.022094462	-0.0007670466
Btbd1	1.749275	1.0187786	1.2920581	1.750235
Abca2	0.45813867	-0.30579403	0.8273725	0.32114398
Asb3	0.9704204	0.5379836	0.26417863	1.0705223
Vac14	1.7285602	1.0061693	1.3421428	0.7847863
Rdh10	1.2824774	0.010825785	-0.7871397	0.7968285
Ptpn22	0.9523192	0.8039742	-0.5287202	1.1972013
Sec23b	1.5374774	0.950471	1.3123156	0.03668552
Fbrs	1.4225562	0.9159348	1.3921201	1.1708403
Pdrg1	1.7535201	1.0585941	0.93611795	1.0352786
Plagl2	1.2863455	0.7070297	1.0201973	0.91258466
Adam23	-0.10120627	-0.016642518	0.34302187	-0.05153068
Rwdd2a	0.064652815	0.42226774	0.80799496	-0.4059604
Ghitm	1.8391001	1.4541837	1.9710066	1.6377604
P2ry1	-0.2585619	-0.07822047	-0.2137458	0.2617002
Cd300lb	1.0942906	0.9225223	0.82598406	1.044283
Ash1l	2.1806388	1.6046646	1.3975163	1.8950508
Actl6a	1.2321588	0.25595346	1.120667	1.3321362
Ccdc47	2.0140016	1.5095223	1.3833704	1.5876335
Pcbp2	2.0460253	1.2754594	2.4344852	2.1834588
Tmem163	-0.32930493	0.36758506	-0.3294509	0.36382735
Ttll4	0.7387725	-0.2543116	0.43381295	-0.68434626
Asxl1	1.2241317	-0.6655952	1.220912	1.2016593
Eapp	1.8950559	1.3750832	1.5947316	0.539049
Cyp20a1	1.3372567	-0.310827	1.1475662	1.27981
Ubtd2	0.31394076	0.3987788	-0.29723507	0.35381272
Wwc2	1.541706	0.8581847	1.4414123	1.383831
Txnrd1	1.4701144	-0.5806932	1.5739367	1.8595004
Mob1a	2.2862089	1.4050354	1.8496512	2.1424272
Agbl1	-0.094592	0.21611977	-0.09595476	-0.07872908
Ripply3	0.23897046	-0.06484776	-0.05728313	-0.10951699
Slc16a1	0.35243738	0.34490314	-0.47600326	0.42871147
Srsf4	0.01171121	0.7621361	1.5935673	1.5882332
Mss51	0.90193707	-0.14219196	0.3867888	-0.29212353
Cd209c	0.33235532	-0.02965177	-0.07829979	0.006174033
Rapgef6	1.7331755	1.5579267	1.835743	1.6663018
B130046B21Rik	-0.10825926	-0.062301844	-0.043489307	0.16058892
Gm14325	-0.5381221	-0.1796474	0.42215297	0.50101227
Ilf3	1.6590606	-0.453631	1.3513335	1.4700279
Exog	-0.3383308	0.40890756	0.39204	0.3764124
Kansl2	1.2934825	0.90246975	1.0011991	0.9180253
Iqsec1	1.6703563	0.94839835	1.1770505	1.0802466
Rnaset2b	0.87027913	0.90439874	0.6332089	1.274496
Lrrc40	0.81951416	-0.28838605	0.5809909	0.7047945
Gm45464	0.23393501	-0.026157593	-0.057266925	-0.04866152
Tubgcp4	1.217548	0.5708597	0.88371086	1.2208836
Thap4	0.6976046	0.5727834	1.035219	0.2936137
Helz2	0.015180172	-0.2540734	1.008142	0.13766374
Gm10037	0.33333108	0.07034028	-0.18175024	-0.16150562
Cstf2t	0.87507755	0.3740144	1.3932085	0.6140198
Zfp772	0.6841832	0.16770972	0.25650862	-0.56692576
Pdlim3	0.79875356	0.4567771	-0.14676614	0.7447122
Ppp2r1a	1.7640663	1.0826393	1.5832125	1.5271626
2810405F17Rik	0.28299266	0.26271468	-0.22313273	0.36854765
Apaf1	1.7659249	1.244674	0.14112547	1.3989631
Ocrl	1.6373178	0.94160616	0.7707412	1.1731784
Gm14862	0.4402694	-0.027691893	-0.05469942	-0.0251071
Dnlz	1.3341566	1.3331879	1.2027309	1.4452707
Fbxo7	-0.34418675	0.54542536	1.1663356	0.9538363
Wnt11	0.26873085	0.3158104	-0.33752838	0.761304
Gm45805	0.28599545	-0.03748603	-0.045676406	-0.09913125
