gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.7450835	0.48433962	0.860998	0.6189059
Zdhhc12	1.2884943	0.14988637	0.88452786	0.92831266
Ly6i	0.11164014	0.19616897	0.32893932	0.3740632
Trmt11	0.91554236	0.45612165	0.88589543	0.96889645
Sec24d	1.3137991	0.53680986	1.1099753	0.9367506
Lama5	0.69254535	0.29252544	0.34677878	0.33025467
Slc13a3	1.1085657	0.68077207	0.8424713	0.5925696
4930563E22Rik	-0.13170882	0.15524071	0.2314112	0.18466842
Laptm5	2.6809812	2.1119683	2.3226023	2.4913013
Zfp622	1.3099965	1.0050465	1.4828448	1.2532057
Slc9b1	-0.015326197	0.086603835	0.25400987	0.22122331
Phactr2	1.970343	1.3138978	1.7352917	1.6041843
Coq2	1.4090556	0.6432105	1.2022588	1.1444017
Syt3	0.5568349	0.37422627	0.32087737	0.6055427
4833408A19Rik	0.38234892	0.19892886	-0.27359572	0.38332108
Arhgap39	1.3327312	0.5207565	1.1056336	0.9810979
Zfp667	0.6414519	0.40453663	0.7772955	0.62025917
9330159M07Rik	0.6861765	0.4040645	0.5114649	0.52842224
Ccdc34	1.5901936	0.7617921	1.367523	0.890518
Dlg4	1.6732248	1.0082396	1.3665332	1.4490974
Pak2	2.3132617	1.6243443	2.1946003	2.123237
Ndufb11	2.2734041	1.3652439	2.0556536	1.9892198
Pex19	1.18792	0.6341035	0.83324456	0.8671692
Shpk	0.45174253	0.26985827	0.445388	-0.037090488
Oxsm	0.7659766	0.4815059	0.8610093	-0.27196252
Aqr	1.6349225	0.89316934	1.419372	1.296612
Alg12	0.5445809	0.118772805	0.4944562	0.5539142
Pfdn6	1.7064925	1.1668458	1.5907837	1.6002668
D830050J10Rik	0.9581776	0.5862215	0.7392504	0.888294
Smpd2	0.7065179	0.435719	0.6452506	0.48296395
2810004N23Rik	1.589092	0.8487819	1.1901417	1.1388187
Zrsr1	0.46121863	0.3911102	0.5764323	0.42330414
Asprv1	-0.063715704	0.10618223	0.22001553	0.20936495
Mcm7	1.120039	0.4091349	0.63309216	0.83068156
Abhd6	1.3188093	0.7863503	1.2990217	1.1657639
Kif27	-0.079599045	0.093309246	0.2827645	0.188388
Slc25a51	1.4091768	0.91602373	1.386169	1.0682788
Kat7	1.4400812	0.6399784	1.307222	1.0888232
Unk	0.9477585	0.5907044	0.8610963	0.8836504
Ampd1	0.35509267	0.28783825	0.53260773	0.39729217
Cbr2	2.5375757	2.0893552	2.4302976	2.3279254
Agpat4	1.3753865	0.69799423	0.8988045	1.1184205
Ampd2	0.65085554	0.40586057	0.6914643	0.66033596
Btbd1	1.7936804	1.1676246	1.6248174	1.5138249
Abca2	0.88739324	0.44355634	0.64047676	0.57923543
Asb3	1.1046464	0.6240433	0.96022874	0.82741666
Vac14	1.7223529	0.9484092	1.5238771	1.2932514
Rdh10	0.88261694	0.6212128	0.6330208	0.78801996
Ptpn22	1.3847085	0.5143647	0.81016004	0.89538056
Sec23b	1.4462444	0.9522907	1.336387	1.0583348
Fbrs	1.579739	0.9359335	1.4644015	1.3580246
Pdrg1	1.4991795	1.0271425	1.4363959	1.347391
Plagl2	1.3591336	0.7637056	1.2683673	1.1973426
Adam23	0.27820566	0.11310364	-0.35796767	0.21910575
Rwdd2a	0.69274503	0.08953815	0.078677036	0.4383168
Ghitm	2.058678	1.3264763	1.8092623	1.7797794
P2ry1	0.4273088	0.23019114	0.33254153	-0.35843837
Cd300lb	1.5409844	0.5456072	1.2327281	1.3195102
Ash1l	2.182705	1.2605039	1.7811939	1.8739319
Actl6a	1.4833946	0.8399867	1.2266808	1.2581978
Ccdc47	1.9964292	1.2887315	1.6619768	1.7991518
Pcbp2	2.2874386	1.4661871	2.2485077	2.14644
Tmem163	0.42135662	-0.9965458	0.47200036	0.20704001
Ttll4	0.5156263	0.37759557	0.36142194	0.48199433
Asxl1	1.4832294	0.6589837	1.228665	1.163936
Eapp	1.7720647	1.101066	1.7295027	1.32779
Cyp20a1	1.4684635	0.7499578	1.3540831	1.1223089
Ubtd2	0.6287642	-0.09213141	0.4491968	0.40308446
Wwc2	1.7375678	1.0290668	1.5330158	1.4306648
Txnrd1	1.6518757	0.7204151	1.5715451	1.5387847
Mob1a	2.3587542	1.5958345	2.147684	2.0510864
Agbl1	0.2736611	-0.5399046	0.23370208	0.25407895
Ripply3	-0.17118797	0.13424554	0.28717718	0.20948619
Slc16a1	0.5266375	-0.2921925	0.48707673	0.47332096
Srsf4	1.1214911	0.92879176	1.3242816	1.3233936
Mss51	0.2835661	0.2978839	0.5980298	0.43367493
Cd209c	-0.1400375	0.05199535	0.2559987	0.18343596
Rapgef6	1.9756061	1.2495613	1.969729	1.6846833
B130046B21Rik	0.26768774	0.14072858	0.23267661	-0.34487996
Gm14325	0.47735727	0.34021193	0.5669999	-0.33217907
Ilf3	1.6043737	0.7074815	1.3945673	1.445169
Exog	0.43496174	0.0417313	0.26972705	0.35570773
Kansl2	1.3869098	0.66456795	1.2508422	1.2758695
Iqsec1	1.5556526	1.0324374	1.512763	1.2821105
Rnaset2b	1.334734	0.7545401	1.0631679	1.0207373
Lrrc40	0.9381376	0.33381972	0.5412515	0.7268091
Gm45464	-0.21554002	0.08412754	0.23970798	0.28590676
Tubgcp4	1.4738944	0.6956248	1.1697178	1.009664
Thap4	1.0149137	0.62351406	0.69604903	0.9201462
Helz2	0.85230595	0.26398504	0.45638597	0.7388189
Gm10037	0.28501126	-0.34947205	0.3648732	0.31734708
Cstf2t	1.1543846	0.56275797	0.9639355	1.1189024
Zfp772	0.6572082	0.22487819	0.43579507	0.48783636
Pdlim3	0.7788	0.47493675	0.60014886	0.7122761
Ppp2r1a	1.8688382	1.1562315	1.6216574	1.5676368
2810405F17Rik	0.35285446	-0.14693953	0.4176439	0.31414932
Apaf1	1.6056594	0.93497837	1.2111803	1.4530165
Ocrl	1.5217676	0.9487109	1.2878162	1.5217253
Gm14862	0.028967954	0.11682965	0.26454708	0.20407842
Dnlz	1.5765655	0.94120836	1.5964006	1.3892496
Fbxo7	0.84613955	0.39538866	0.8254564	0.85390204
Wnt11	0.55205	-0.20172161	0.40906534	0.335455
Gm45805	0.05714389	0.09561922	0.19719988	0.28530785
Atp13a2	2.100059	1.3149985	1.7760342	1.7513747
Olfr921	0.7781788	0.39599612	0.6450194	0.6192904
Tsen34	1.7714177	1.1093488	1.5762299	1.5480434
Manba	1.448217	0.86744726	1.2475265	1.2492831
Fbxo27	0.28182787	0.11044303	0.2557149	-0.44642904
Vangl2	0.257282	0.14095762	-0.24231341	0.17284906
Dmxl1	1.8751268	1.3019369	1.8330672	1.7535857
Wdr24	0.45410466	0.34209055	0.28166723	0.28052527
Rps14	2.8925211	2.1032245	2.3687937	2.5131283
Meak7	0.6978702	-0.28159285	0.6135878	0.36776623
Med23	1.1330482	0.65752834	0.8402276	0.69249886
Tlr6	0.7265982	0.45938465	0.4876597	0.5228189
Xirp1	0.59002775	0.3323351	0.46123645	0.37063098
Srd5a3	1.4517125	0.7677638	1.2636864	1.4353058
Psma2	2.1100454	1.4351737	1.9467366	1.931825
Tada3	1.3825663	0.8229201	1.3199186	1.2368878
Slc38a1	1.4278451	0.99636346	1.4051172	1.3453279
