gene	log_min	log_max
Lbx2	-13.223997	-9.770119
Zdhhc12	-13.155004	-9.701125
Ly6i	-15.169907	-11.716028
Trmt11	-13.090466	-9.636587
Sec24d	-12.685	-9.231122
Lama5	-14.47676	-11.0228815
Slc13a3	-13.223997	-9.770119
4930563E22Rik	-15.863054	-12.409176
Laptm5	-8.626715	-5.172837
Zfp622	-11.951031	-8.497152
Slc9b1	-15.863054	-12.409176
Phactr2	-11.374417	-7.9205394
Coq2	-12.495758	-9.04188
Syt3	-14.071295	-10.617416
4833408A19Rik	-15.169907	-11.716028
Arhgap39	-12.604958	-9.151079
Zfp667	-13.66583	-10.211951
9330159M07Rik	-14.071295	-10.617416
Ccdc34	-12.149482	-8.695603
Dlg4	-11.91181	-8.4579315
Pak2	-10.132955	-6.6790767
Ndufb11	-10.374116	-6.920238
Pex19	-12.918615	-9.464737
Shpk	-14.7644415	-11.310563
Oxsm	-13.560469	-10.10659
Aqr	-11.892762	-8.438884
Alg12	-13.66583	-10.211951
Pfdn6	-11.363244	-7.909366
D830050J10Rik	-13.155004	-9.701125
Smpd2	-13.560469	-10.10659
2810004N23Rik	-12.199492	-8.745614
Zrsr1	-14.071295	-10.617416
Asprv1	-15.863054	-12.409176
Mcm7	-12.972682	-9.518804
Abhd6	-12.366547	-8.912668
Kif27	-15.863054	-12.409176
Slc25a51	-12.101854	-8.647976
Kat7	-12.429067	-8.975188
Unk	-12.918615	-9.464737
Ampd1	-14.47676	-11.0228815
Cbr2	-8.59135	-5.137472
Agpat4	-12.307706	-8.853827
Ampd2	-13.66583	-10.211951
Btbd1	-11.572595	-8.118716
Abca2	-13.783612	-10.329734
Asb3	-13.02984	-9.575962
Vac14	-11.91181	-8.4579315
Rdh10	-13.02984	-9.575962
Ptpn22	-12.818531	-9.364653
Sec23b	-12.199492	-8.745614
Fbrs	-12.056392	-8.602513
Pdrg1	-11.87407	-8.420192
Plagl2	-12.461857	-9.007978
Adam23	-15.863054	-12.409176
Rwdd2a	-14.253616	-10.799738
Ghitm	-10.950399	-7.4965215
P2ry1	-15.169907	-11.716028
Cd300lb	-12.336694	-8.882815
Ash1l	-10.642698	-7.1888204
Actl6a	-12.336694	-8.882815
Ccdc47	-11.08393	-7.630052
Pcbp2	-9.80393	-6.3500524
Tmem163	-14.7644415	-11.310563
Ttll4	-13.917144	-10.463265
Asxl1	-12.225468	-8.771589
Eapp	-11.444213	-7.990335
Cyp20a1	-12.225468	-8.771589
Ubtd2	-14.7644415	-11.310563
Wwc2	-11.837703	-8.383824
Txnrd1	-11.532321	-8.078443
Mob1a	-10.302372	-6.848494
Agbl1	-15.863054	-12.409176
Ripply3	-15.863054	-12.409176
Slc16a1	-14.253616	-10.799738
Srsf4	-11.892762	-8.438884
Mss51	-14.47676	-11.0228815
Cd209c	-15.863054	-12.409176
Rapgef6	-10.943073	-7.4891953
B130046B21Rik	-15.863054	-12.409176
Gm14325	-14.47676	-11.0228815
Ilf3	-11.91181	-8.4579315
Exog	-14.7644415	-11.310563
Kansl2	-12.461857	-9.007978
Iqsec1	-11.951031	-8.497152
Rnaset2b	-12.461857	-9.007978
Lrrc40	-13.66583	-10.211951
Gm45464	-15.863054	-12.409176
Tubgcp4	-12.461857	-9.007978
Thap4	-13.223997	-9.770119
Helz2	-13.66583	-10.211951
Gm10037	-15.169907	-11.716028
Cstf2t	-12.772012	-9.318133
Zfp772	-14.071295	-10.617416
Pdlim3	-13.560469	-10.10659
Ppp2r1a	-11.506345	-8.052466
