gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.44	0.29	0.29	0.54	1.0	-159.17044	-155.08539	-158.14941	-155.3853	0.0	-1.6438658	-11.772152901557668	1.9741984206421996	0.05146036161335188	37
Zdhhc12	0.36	0.44	0.36	0.53	1.0	-139.69974	-135.58171	-137.56502	-136.78555	0.0	-1.2656143	-11.93396156838963	2.20071390542741	0.05006954102920723	36
Ly6i	0.11	0.1999999999999999	0.11	0.75	0.75	-53.9524	-56.721943	-53.873707	-56.814106	1.0	1.242823	-13.510296711071955	3.6101268062452214	0.006954102920723227	5
Trmt11	0.39	0.41	0.39	0.65	1.0	-192.5479	-187.95547	-191.90433	-188.50375	0.0	-1.7563492	-11.561383581215269	5.287715094503931	0.06258692628650904	45
Nckap5l	0.49	0.3199999999999999	0.3199999999999999	0.37	1.0	-100.33193	-96.98545	-99.199295	-97.62632	0.0	-1.1750324	-12.543113487419493	4.947334880187892	0.031988873435326845	23
Sec24d	0.48	0.41	0.41	0.39	1.0	-248.371	-243.28198	-245.76762	-246.12137	0.0	-0.9770035	-11.095685457313566	1.579216796149499	0.09040333796940195	65
Lama5	0.27	0.47	0.27	0.56	1.0	-20.846851	-20.621914	-21.196009	-20.406542	0.0	-0.191224	-14.44589273212833	0.2018138356159831	0.0013908205841446453	1
Slc13a3	0.03	0.4	0.03	0.72	0.84	-180.74344	-179.15314	-175.06528	-182.26028	0.0	0.6587577	-11.765327152859095	2.9696874181973927	0.055632823365785816	40
4930563E22Rik	0.39	0.44	0.39	0.41	1.0	-26.216507	-25.480995	-26.076685	-25.632864	0.0	-0.25347292	-14.165725445800271	0.2352429731489547	0.005563282336578581	4
Laptm5	0.44	0.37	0.37	0.5	1.0	-1798.4268	-1775.4369	-1789.5817	-1787.5127	0.0	-4.7399173	-7.081337126864421	4.203965472547415	0.8734353268428373	628
Il12rb2	0.2199999999999999	0.49	0.2199999999999999	0.64	1.0	-7.46094	-7.2879534	-7.3900833	-7.345112	0.0	-0.050303478	-15.468444144512093	0.06322292000120378	0.0013908205841446453	1
Zfp622	0.3299999999999999	0.41	0.3299999999999999	0.55	1.0	-453.0887	-443.93994	-449.77228	-446.7544	0.0	-2.75096	-10.18422147363047	5.434641026845191	0.21279554937413073	153
