gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.9427887	1.2818007	1.3642452	1.1289781
Zdhhc12	1.077851	1.1066134	1.3589926	0.99937165
Ly6i	-1.0002344	-0.508409	1.0853733	0.78189707
Trmt11	1.4457895	0.9615261	1.4439715	1.3678324
Nckap5l	1.0468006	-0.40178132	1.1707674	0.740682
Sec24d	1.397741	1.7155678	1.4762342	1.5869557
Lama5	0.63076156	-0.13014385	0.33744234	-0.2118806
Slc13a3	-0.89390284	1.2292796	1.8260734	1.0054812
4930563E22Rik	0.46515754	-0.21649313	0.60234344	-0.23694967
Laptm5	2.8971756	2.6683514	3.027878	2.7482424
Il12rb2	0.12653697	-0.014716716	-0.10524698	-0.03745883
Zfp622	2.0717106	1.8535593	1.7434603	2.147509
Phactr2	1.5921977	2.0480309	2.245565	1.9509673
Coq2	1.9423931	1.5415165	2.0917475	1.0547916
Syt3	0.9732864	0.30814627	0.718814	0.13437682
4833408A19Rik	0.9368099	0.25021794	0.8366422	-0.820927
Gm43403	0.52262753	0.48741335	0.5204171	0.120277
Shisal1	-0.08727776	-0.027653024	-0.09779301	0.38895017
Arhgap39	1.7317165	0.5608069	1.8369982	1.5557522
Zfp667	1.0862362	0.68637055	1.0675424	0.089674056
9330159M07Rik	0.85975605	0.40421474	0.8614942	0.92577994
Ccdc34	0.7167438	1.7059411	2.0628536	2.1085918
Dlg4	2.2484438	2.243914	2.1287665	0.6547646
Pak2	2.7096248	2.1439419	2.652443	2.5113997
Ndufb11	2.6184254	2.2853556	2.8520665	2.4779003
Pex19	1.8211644	1.564107	1.3867944	1.7453102
Shpk	0.028213345	0.6526086	0.6722336	0.07477087
Oxsm	1.3341678	1.2782459	1.2239324	0.6784036
Kif9	-0.054121397	0.4584881	0.78807336	0.38361335
Aqr	2.1785998	1.8007758	2.0875144	1.8950591
Alg12	1.1059997	0.3692209	-0.78438663	0.99440724
Pfdn6	2.0571988	2.0232534	2.49235	2.0471869
D830050J10Rik	0.36073074	0.9711429	1.2180986	1.1406931
Smpd2	1.454615	0.9769157	0.96370304	0.9781393
2810004N23Rik	1.5909821	1.7393492	2.0967364	1.0499744
Zrsr1	1.043799	0.626133	1.266743	0.97268444
Mcm7	1.2070936	1.252179	1.46292	1.8420315
Abhd6	1.5600045	1.053868	1.8866265	1.0322968
Tnfrsf19	-0.060711965	-0.13250676	-0.08862351	-0.06265409
Kif27	0.5039301	-0.056220204	-0.28069374	-0.13466081
Fendrr	0.18417214	-0.08721711	0.33340618	-0.14170158
Gm8909	-0.076104574	0.1946193	-0.07912274	-0.04540227
Slc25a51	1.7318457	1.7021309	2.1223412	1.8513147
Kat7	1.8900845	1.6206694	2.0080023	1.914902
Chrm1	-0.052035782	-0.05780634	-0.11383121	0.26080203
Stag3	-0.25347388	-0.12646075	0.6802393	-0.20919104
Unk	1.143172	0.065885	1.6677647	0.82250565
Ampd1	0.3695879	-0.27354077	0.8015321	-0.31914088
Cbr2	2.9008577	2.7449403	2.9681683	1.255681
Agpat4	1.7907828	-0.8135434	2.3056028	1.5839919
Ampd2	0.52982235	0.92509276	1.4562333	0.85968125
Btbd1	2.076843	1.963301	2.222773	1.8810635
Abca2	1.3707563	1.0072501	1.6363331	0.40789616
Asb3	1.3104696	1.1860906	1.731317	1.4054997
Vac14	1.8930672	1.4243628	2.178603	0.22593172
Rdh10	1.5419308	1.1948973	1.809766	0.48084444
Ptpn22	1.7018088	1.2906375	2.115373	1.7897291
Sec23b	1.4487199	1.4082905	1.8406668	1.7227155
Fbrs	1.5886222	1.8077601	2.341274	1.9244398
Pdrg1	2.0494497	1.9006999	2.2620234	1.7574883
Plagl2	1.0059073	0.619677	2.3196673	1.025082
Adam23	0.39358476	-0.09886626	-0.36417532	-0.2106794
Rwdd2a	-0.5958741	1.1236497	1.4040943	0.428313
Ghitm	2.0804272	2.186997	2.7009263	2.2100935
Gm16537	0.5007013	0.37466964	0.02093629	-0.27461487
Olfr1392	-0.047743324	-0.023225255	0.5267691	-0.043856442
P2ry1	-0.15262806	-0.09175728	0.5299572	-0.10203939
Cd300lb	1.4959857	-0.6220121	1.7884667	1.7185496
Eps8l2	0.25366902	-0.044079036	-0.10297912	-0.030679837
Ash1l	2.3799736	2.108279	2.5553498	2.2508814
Actl6a	1.561338	1.4558225	2.1435747	1.9938192
Ccdc47	2.3174937	1.7906872	2.5840676	1.9678539
Pcbp2	2.57862	2.4667442	2.8933127	2.680316
Tmem163	1.1986767	0.34899062	0.9781353	-1.1746702
Ttll4	0.3411603	0.52454346	1.5181843	1.3688381
Asxl1	1.6400156	1.0747243	2.2163084	1.6367896
Eapp	2.131275	1.9555081	2.29702	1.7199609
Gm45890	-0.31617525	-0.20375386	0.754198	0.39147642
Unc13a	0.51982677	-0.32244775	-0.2514748	0.5551509
Cyp20a1	0.73711014	1.7934116	2.291094	1.7574111
Ubtd2	-0.06941259	-0.02278012	-0.12355926	0.33446997
Wwc2	1.804562	1.6274755	2.1502812	0.9713589
Txnrd1	2.0074558	1.5102444	2.1539116	2.2872632
Mob1a	2.748078	2.23743	2.862191	1.9654136
Agbl1	-0.15403761	-0.08908653	0.517645	-0.08277137
Ripply3	0.045675963	0.88485587	0.15683118	0.9010543
Utf1	-0.06017604	-0.037865706	-0.10673793	0.33642456
Slc16a1	-0.25034228	0.9886463	1.6286913	1.3136642
Srsf4	2.0853992	1.0512042	2.1877913	1.6275679
Mss51	-0.24819137	0.29559594	1.1680743	0.12361079
Cd209c	0.2929796	-0.09727598	0.3060343	-0.11652655
Rapgef6	2.279127	2.3890667	2.6955564	1.2809608
B130046B21Rik	-0.14654845	0.20619792	-0.249016	0.36634737
Gm14325	-0.08897492	-0.27631006	0.7007966	0.68541366
Gm19585	0.8863445	-0.48656222	0.078581154	-0.7293463
Ilf3	1.6822954	2.1518366	2.5121987	1.5995036
Exog	-0.17116171	1.058363	1.3697646	0.6137135
Kansl2	1.8338927	1.4667039	2.0398726	1.2373861
Iqsec1	2.079805	1.8633401	2.2603757	0.6474374
Rnaset2b	2.379301	1.9572078	1.7500746	2.2797515
Lrrc40	1.2480525	1.1862862	-0.2594471	1.4497932
Fjx1	0.3396533	-0.036662664	-0.10719596	-0.01910068
Gm45464	0.49824083	0.1657403	-0.37626708	0.28750658
Tubgcp4	1.7658	0.61876166	1.9442866	1.3600125
Thap4	1.1170727	0.8638522	1.5021319	0.8336145
Helz2	1.4116876	-0.12658569	1.3930945	1.1805116
Gm10037	-0.062623724	-0.035410233	0.30751097	-0.0402739
Cstf2t	1.8441712	1.4061772	1.0414382	1.3744179
Zfp772	0.32797772	-0.6012763	0.85811555	0.74924654
Gm19569	-0.06465402	-0.04541019	0.246751	-0.030911416
Gm11613	0.29235655	-0.104663044	0.4127351	-0.2320552
Pdlim3	1.117393	0.7728512	0.9408092	0.07148588
Ppp2r1a	2.2276382	2.0078022	2.2419457	2.1010613
2810405F17Rik	0.9224946	0.7545709	0.58568937	0.9398408
Apaf1	1.9036325	1.8570126	1.9383456	1.8589492
Ocrl	2.228432	1.1324	1.9932483	1.9866567
Dnlz	1.981251	1.6243029	2.1721187	1.5066508
Fbxo7	1.6279126	1.10529	1.5860244	1.668445
Wnt11	0.14807716	-0.3510676	1.4582762	-0.05825451
