gene	bin_0	bin_1	bin_2	bin_3
Lbx2	1.393841	0.8561932	1.6123209	1.1706572
Zdhhc12	1.3747679	1.0802081	1.5533917	1.1115862
Ly6i	0.6005314	0.42021397	0.785831	0.8262204
Trmt11	1.5140393	1.1718283	1.6862549	1.3107638
Nckap5l	0.9289201	0.7686116	1.2259864	1.0740715
Sec24d	1.7189041	1.3075061	1.7935573	1.6290661
Lama5	0.072861925	0.3022272	0.5713661	0.39036196
Slc13a3	0.76200914	1.2259706	1.4924015	1.297536
4930563E22Rik	0.060680684	0.36927822	0.5204151	0.43258566
Laptm5	2.9074283	2.8303401	2.9722166	2.7916346
Il12rb2	-0.34448335	0.15942565	0.30764472	0.19230387
Zfp622	2.105373	1.899566	2.027758	1.9100807
Phactr2	1.9241399	1.8952014	2.3520658	2.0376213
Coq2	1.8678888	1.7018409	2.0623088	1.6093527
Syt3	0.7825325	0.504385	1.1290567	0.6945385
4833408A19Rik	0.51682264	0.5718588	0.9204067	0.51974076
Gm43403	0.7194501	0.35918579	0.81066203	0.49963117
Shisal1	0.22397764	0.15558991	0.27277213	-0.26841655
Arhgap39	1.7366978	1.3032455	1.9511658	1.6190599
Zfp667	0.82831025	0.94841826	1.277957	0.8925916
9330159M07Rik	1.0378623	0.6749475	1.120744	0.9747786
Ccdc34	1.5344875	1.7884386	2.1902008	1.8048542
Dlg4	2.2659364	1.770185	2.2634711	1.54595
Pak2	2.683283	2.3592553	2.7147048	2.4575472
Ndufb11	2.6359627	2.4439251	2.7904782	2.560538
Pex19	1.8282039	1.5435469	1.7830434	1.5610977
Shpk	0.67826635	-0.16783147	0.9575046	0.616031
Oxsm	1.2264041	1.0280269	1.5632038	1.1620442
Kif9	0.7114219	0.48265418	0.7789806	0.6105987
Aqr	2.1010308	1.8269062	2.2837918	1.9541576
Alg12	0.8143652	0.7406106	0.69462454	0.61562604
Pfdn6	2.1737514	2.0163856	2.5191576	2.2412815
D830050J10Rik	1.0877113	0.93853223	1.3583853	1.0842803
Smpd2	1.263369	0.9282657	1.4055413	1.2165962
2810004N23Rik	1.8911774	1.5816061	2.1355145	1.4771334
Zrsr1	1.1575084	1.1333886	1.4956121	0.94068754
Mcm7	1.5649827	1.5627222	1.7538829	1.6779122
Abhd6	1.6728845	1.3694391	1.7622875	1.4749792
Tnfrsf19	0.25105014	-0.48777658	0.27693874	0.21573155
Kif27	-0.49433354	0.26201972	0.4332309	0.3349753
Fendrr	-0.06100519	0.29093468	0.2951329	0.30146092
Gm8909	0.23274449	-0.5972449	0.26801237	0.18956621
Slc25a51	1.9288507	1.6529243	2.1904662	1.8416923
Kat7	1.9498413	1.6928415	2.193481	1.9095767
Chrm1	0.21880354	0.16080956	0.29777494	-0.2585827
Stag3	0.43718442	0.30911335	0.19273922	0.39050567
Unk	1.308971	1.00561	1.4280492	1.1965314
Ampd1	0.40885484	0.44559738	0.6671609	0.41552636
Cbr2	2.8580008	2.6563756	3.0140312	2.0631077
Agpat4	1.967144	0.91769713	2.0596857	1.8209078
Ampd2	1.1792698	1.1242661	1.228903	1.1979278
Btbd1	2.2559252	1.8666283	2.3373764	2.091391
Abca2	1.3613095	1.0260073	1.6753025	1.2332664
Asb3	1.4785942	1.3706443	1.8202991	1.5605454
Vac14	1.9505305	1.5132176	2.0803049	1.2634777
Rdh10	1.5487686	1.3002583	1.872454	1.254523
Ptpn22	1.8882502	1.6270525	2.141296	1.6787432
Sec23b	1.827043	1.4429303	1.9979331	1.6919168
Fbrs	1.870805	1.7346002	2.3150456	2.0179973
Pdrg1	2.054106	1.8619001	2.350574	2.0199964
Plagl2	1.5777353	1.2937223	1.9339797	1.5073967
Adam23	-0.3215446	0.29978728	0.4465927	0.39272586
Rwdd2a	0.742854	0.7398218	1.3966681	1.0256253
Ghitm	2.2999444	2.2119853	2.6090786	2.2843366
Gm16537	0.18923461	0.1135703	0.56832814	0.4573531
Olfr1392	0.23305535	0.17117684	0.019874949	0.18984942
P2ry1	0.33710676	0.28359765	-0.086902075	0.2985719
Cd300lb	1.6290685	0.8201449	1.9150807	1.5482908
Eps8l2	-0.2971417	0.15705897	0.29443344	0.1667068
Ash1l	2.4823444	2.281688	2.5671744	2.3317785
Actl6a	1.840004	1.6398807	2.2302349	1.8001186
Ccdc47	2.3262033	1.9093822	2.523724	2.161136
Pcbp2	2.6971786	2.545969	2.941426	2.7235692
Tmem163	0.6490292	0.8991341	1.1567563	0.5845511
Ttll4	1.0965573	1.0992374	1.4912635	1.0464867
Asxl1	1.8279886	1.5249987	2.142509	1.8831321
Eapp	2.1493533	1.7960504	2.348257	1.8943256
Gm45890	0.42492732	0.3777483	0.27559397	0.36976892
Unc13a	0.537755	0.4803502	0.64934385	0.10005411
Cyp20a1	1.567938	1.6319702	2.1687603	1.8407769
Ubtd2	0.22061533	0.15346628	0.30563042	-0.43143058
Wwc2	1.8857415	1.6073663	2.0340705	1.6035314
Txnrd1	2.129531	1.8435735	2.341692	2.0396974
Mob1a	2.6751542	2.318773	2.8025432	2.3079228
Agbl1	0.34883463	0.2934161	-0.21253349	0.26733834
Ripply3	0.8770512	0.15454207	0.9944497	0.7355581
Utf1	0.21691617	0.1536659	0.27799183	-0.09483853
Slc16a1	0.9148167	1.005298	1.375459	1.4345275
Srsf4	2.0371425	1.5794969	2.2512841	1.7780944
Mss51	0.6780318	0.7765062	0.68294024	0.6976246
Cd209c	0.030754717	0.28118548	0.28355348	0.30185515
Rapgef6	2.4213645	2.1917472	2.5895565	1.8119111
B130046B21Rik	0.31476068	-0.21892777	0.44610715	0.027955057
Gm14325	0.5043344	0.43559352	0.7384479	0.40214977
Gm19585	-0.42874748	0.44437942	0.6723252	0.5029984
Ilf3	2.012811	1.8700582	2.3587832	1.9813374
Exog	1.0878235	0.86654085	1.2804582	0.8254351
Kansl2	1.772626	1.5267178	2.109286	1.590787
Iqsec1	2.0501604	1.7688999	2.2779663	1.5556331
Rnaset2b	2.292015	2.040884	2.1074908	2.1242657
Lrrc40	1.3921062	1.0548642	0.9831295	1.065484
