gene	log_min	log_max
Lbx2	-13.431581	-9.977702
Zdhhc12	-13.536942	-10.083063
Ly6i	-14.817875	-11.3639965
Trmt11	-13.188634	-9.7347555
Nckap5l	-13.984965	-10.531087
Sec24d	-12.763751	-9.309873
Lama5	-16.021847	-12.567969
Slc13a3	-13.208437	-9.754559
4930563E22Rik	-15.734166	-12.280288
Laptm5	-8.773818	-5.31994
Il12rb2	-17.120459	-13.666581
Zfp622	-11.884018	-8.43014
Phactr2	-11.749822	-8.295943
Coq2	-12.332969	-8.87909
Syt3	-14.635553	-11.181675
4833408A19Rik	-14.817875	-11.3639965
Gm43403	-15.0410185	-11.58714
Shisal1	-17.120459	-13.666581
Arhgap39	-12.72601	-9.272132
Zfp667	-14.075937	-10.622059
9330159M07Rik	-14.41241	-10.958531
Ccdc34	-11.889352	-8.435473
Dlg4	-11.426728	-7.9728503
Pak2	-10.331489	-6.8776107
Ndufb11	-10.383493	-6.9296155
Pex19	-12.429112	-8.975234
Shpk	-14.923236	-11.4693575
Oxsm	-13.536942	-10.083063
Kif9	-14.817875	-11.3639965
Aqr	-11.938677	-8.484798
Alg12	-14.287247	-10.833368
Pfdn6	-11.406727	-7.952849
D830050J10Rik	-13.824623	-10.370745
Smpd2	-13.482874	-10.0289955
2810004N23Rik	-12.393072	-8.939194
Zrsr1	-13.824623	-10.370745
Mcm7	-12.384261	-8.930383
Abhd6	-12.8863535	-9.432475
Tnfrsf19	-17.120459	-13.666581
Kif27	-16.427313	-12.973434
Fendrr	-16.427313	-12.973434
Gm8909	-17.120459	-13.666581
Slc25a51	-12.1717005	-8.717822
Kat7	-12.09658	-8.642701
Chrm1	-17.120459	-13.666581
Stag3	-16.021847	-12.567969
Unk	-13.431581	-9.977702
Ampd1	-15.511022	-12.057143
Cbr2	-8.900865	-5.4469867
Agpat4	-12.178818	-8.724939
Ampd2	-13.654724	-10.200846
Btbd1	-11.740562	-8.286684
Abca2	-13.382791	-9.928912
Asb3	-13.042923	-9.589045
Vac14	-12.401961	-8.948083
Rdh10	-12.977325	-9.523447
Ptpn22	-12.284178	-8.830299
Sec23b	-12.62065	-9.166772
Fbrs	-11.862965	-8.409086
Pdrg1	-11.873436	-8.419558
Plagl2	-12.50534	-9.051461
Adam23	-16.021847	-12.567969
Rwdd2a	-13.984965	-10.531087
Ghitm	-11.0970125	-7.6431346
Gm16537	-15.734166	-12.280288
Olfr1392	-17.120459	-13.666581
P2ry1	-16.427313	-12.973434
Cd300lb	-12.843794	-9.389915
Eps8l2	-17.120459	-13.666581
Ash1l	-10.895902	-7.4420238
Actl6a	-12.130028	-8.676149
Ccdc47	-11.377457	-7.9235787
Pcbp2	-9.783523	-6.3296447
Tmem163	-14.287247	-10.833368
Ttll4	-13.654724	-10.200846
Asxl1	-12.341336	-8.887458
Eapp	-11.85777	-8.403892
Gm45890	-15.734166	-12.280288
Unc13a	-15.3287	-11.874822
Cyp20a1	-12.2376585	-8.78378
Ubtd2	-17.120459	-13.666581
Wwc2	-12.41093	-8.957051
Txnrd1	-11.482105	-8.028227
Mob1a	-10.402656	-6.9487777
Agbl1	-16.427313	-12.973434
Ripply3	-14.481402	-11.027524
Utf1	-17.120459	-13.666581
Slc16a1	-13.33627	-9.882392
Srsf4	-12.130028	-8.676149
Mss51	-14.722565	-11.268686
Cd209c	-16.427313	-12.973434
Rapgef6	-11.040526	-7.5866485
