gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.43	0.36	0.36	0.39	1.0	-56.42866	-54.42082	-54.97777	-55.611187	0.0	-0.3550246	-12.490559906910153	5.431617463974016	0.028368794326241134	12
Zdhhc12	0.27	0.36	0.27	0.6	1.0	-115.60437	-108.78874	-113.12327	-110.64327	0.0	-2.1545773	-11.578498483098072	3.633178151841163	0.06382978723404255	27
Trmt11	0.3	0.4399999999999999	0.3	0.61	1.0	-99.32332	-97.14956	-99.38589	-96.08189	0.0	-1.4077361	-11.860490540657286	6.009887870085047	0.05200945626477541	22
Nckap5l	0.4	0.34	0.34	0.5	1.0	-49.58376	-48.852142	-48.739838	-49.23355	0.0	-0.15209353	-12.656701475176881	2.0576911041215737	0.026004728132387706	11
Sec24d	0.12	0.48	0.12	0.66	1.0	-180.89899	-178.06473	-178.3422	-180.63231	0.0	-0.11581672	-10.832562356252701	6.17011006770626	0.13002364066193853	55
Lama5	0.49	0.13	0.13	0.51	1.0	-23.837688	-24.42538	-24.38249	-23.73602	0.072981305	-0.04415442	-13.619065378054657	4.829843740093198	0.009456264775413711	4
Slc13a3	0.39	0.3199999999999999	0.3199999999999999	0.57	1.0	-77.825836	-74.48134	-77.282455	-75.308334	0.0	-1.0933372	-12.111402232813061	4.333747349963935	0.03546099290780142	15
4930563E22Rik	0.36	0.3299999999999999	0.3299999999999999	0.64	1.0	-11.599106	-11.405087	-11.420906	-11.519066	0.0	-0.03476092	-14.278937058736215	4.175883715522948	0.004728132387706856	2
Laptm5	0.47	0.43	0.43	0.57	1.0	-1055.8531	-1029.6865	-1053.5681	-1033.6608	0.0	-9.638029	-7.04247185673995	3.935845816094876	0.8723404255319149	369
Il12rb2	0.46	0.32	0.32	0.63	1.0	-6.6972647	-6.3482637	-6.593254	-6.416991	0.0	-0.12172121	-14.98260387496027	1.486514822848508	0.002364066193853428	1
Mpig6b	0.49	0.29	0.29	0.59	1.0	-7.2409134	-7.4482675	-7.1344748	-7.555215	1.0	0.1364994	-14.938225478920888	1.3858221794879952	0.002364066193853428	1
Zfp622	0.42	0.46	0.42	0.58	1.0	-268.55463	-259.05292	-264.34872	-263.62714	0.0	-2.1399817	-10.17175192414065	6.142857515069186	0.21513002364066194	91
Phactr2	0.3399999999999999	0.25	0.25	0.55	1.0	-302.17792	-296.5506	-299.22568	-299.5157	0.0	-1.1561924	-9.967255282371568	5.142085038307439	0.25295508274231676	107
Coq2	0.41	0.4499999999999999	0.41	0.52	1.0	-205.37842	-200.28682	-203.14714	-202.63657	0.0	-1.1907711	-10.660625290753991	3.5042322907669763	0.1607565011820331	68
Syt3	0.3199999999999999	0.47	0.3199999999999999	0.37	1.0	-64.02835	-63.477203	-64.7118	-61.90334	0.0	-0.9228807	-12.477713642744282	0.29753408297602135	0.03546099290780142	15
4833408A19Rik	0.36	0.43	0.36	0.61	1.0	-36.87548	-35.358788	-35.75089	-36.563206	0.0	-0.13561928	-13.076522243082543	3.1061913319062837	0.016548463356973995	7
Gm43403	0.19	0.4499999999999999	0.19	0.74	0.7799999999999999	-32.445263	-31.620861	-31.651882	-31.867691	0.0	-0.25083628	-13.293003863884225	3.082559638124962	0.014184397163120567	6
Arhgap39	0.43	0.28	0.28	0.52	1.0	-136.89244	-134.34512	-136.96771	-134.77005	0.0	-0.92174256	-11.294468299630763	1.2905211100761775	0.09219858156028368	39
Zfp667	0.27	0.46	0.27	0.63	1.0	-46.39594	-46.73284	-46.745667	-46.396843	0.0	0.00039263835	-12.642549990214228	6.154525788743687	0.02364066193853428	10
9330159M07Rik	0.39	0.28	0.28	0.58	1.0	-39.652077	-37.986816	-38.48602	-39.147514	0.0	-0.21912865	-12.911989659910397	4.145889506536023	0.018912529550827423	8
Ccdc34	0.3399999999999999	0.32	0.32	0.61	1.0	-256.9669	-248.98975	-254.30576	-251.79068	0.0	-2.2479987	-10.333026601635428	0.38327796272475556	0.17494089834515367	74
